year,county,cause,sex,age_code,N
84,0101,01,2,12,1
84,0101,01,1,17,1
84,0101,01,1,18,1
84,0101,03,1,13,2
84,0101,03,2,13,1
84,0101,03,1,15,1
84,0101,03,1,16,1
84,0101,03,1,17,1
84,0101,03,2,17,1
84,0101,03,1,19,2
84,0101,03,2,20,1
84,0101,03,1,20,1
84,0101,04,2,17,1
84,0101,04,1,18,1
84,0101,04,2,20,1
84,0101,05,1,12,1
84,0101,05,1,13,1
84,0101,05,2,14,2
84,0101,05,1,16,1
84,0101,05,2,17,1
84,0101,05,2,20,1
84,0101,05,1,20,4
84,0101,05,2,21,1
84,0101,05,1,21,1
84,0101,05,1,22,1
84,0101,05,1,23,2
84,0101,06,1,20,1
84,0101,06,1,22,1
84,0101,07,2,11,1
84,0101,07,1,13,2
84,0101,07,2,16,1
84,0101,07,1,17,1
84,0101,07,2,17,2
84,0101,07,2,18,3
84,0101,07,1,18,1
84,0101,07,2,19,1
84,0101,07,1,19,1
84,0101,07,1,20,4
84,0101,07,2,20,3
84,0101,07,1,21,4
84,0101,07,2,21,2
84,0101,07,1,22,5
84,0101,07,2,23,2
84,0101,07,2,25,1
84,0101,08,1,14,1
84,0101,08,1,15,1
84,0101,08,1,16,3
84,0101,08,2,16,1
84,0101,08,2,17,2
84,0101,08,1,17,3
84,0101,08,1,18,3
84,0101,08,2,18,2
84,0101,08,1,19,4
84,0101,08,2,20,2
84,0101,08,1,20,6
84,0101,08,1,21,1
84,0101,08,1,22,1
84,0101,08,1,23,2
84,0101,08,2,23,2
84,0101,09,2,15,1
84,0101,09,2,18,1
84,0101,09,1,19,1
84,0101,09,2,21,2
84,0101,09,1,21,1
84,0101,10,1,14,1
84,0101,10,2,14,1
84,0101,10,1,16,1
84,0101,10,2,17,1
84,0101,10,2,18,1
84,0101,10,2,19,1
84,0101,10,1,20,2
84,0101,13,1,19,1
84,0101,13,1,20,1
84,0101,13,1,21,1
84,0101,14,1,15,2
84,0101,14,1,16,1
84,0101,14,1,17,5
84,0101,14,2,17,2
84,0101,14,1,18,2
84,0101,14,2,18,2
84,0101,14,1,19,4
