year,county,cause,sex,age_code,N
89,0101,01,1,13,1
89,0101,01,1,14,2
89,0101,01,1,15,2
89,0101,01,1,16,2
89,0101,01,2,16,1
89,0101,01,1,17,1
89,0101,01,1,18,1
89,0101,01,2,20,1
89,0101,01,1,21,1
89,0101,01,2,23,1
89,0101,02,1,23,1
89,0101,02,1,24,1
89,0101,03,1,16,1
89,0101,03,1,17,1
89,0101,03,2,18,2
89,0101,03,1,19,2
89,0101,04,1,14,1
89,0101,04,1,19,2
89,0101,04,1,21,2
89,0101,05,2,11,1
89,0101,05,1,13,1
89,0101,05,2,14,2
89,0101,05,1,14,1
89,0101,05,1,15,1
89,0101,05,2,15,1
89,0101,05,1,16,2
89,0101,05,2,18,2
89,0101,05,2,19,1
89,0101,05,2,20,2
89,0101,05,1,21,6
89,0101,05,2,21,2
89,0101,05,1,22,3
89,0101,05,2,22,2
89,0101,05,1,23,2
89,0101,06,1,15,1
89,0101,06,1,17,1
89,0101,07,1,12,2
89,0101,07,2,13,1
89,0101,07,2,14,2
89,0101,07,1,14,1
89,0101,07,2,15,1
89,0101,07,1,15,1
89,0101,07,1,17,1
89,0101,07,2,17,3
89,0101,07,1,18,2
89,0101,07,2,18,1
89,0101,07,2,19,3
89,0101,07,1,19,3
89,0101,07,1,20,2
89,0101,07,2,21,3
89,0101,07,1,21,3
89,0101,07,2,22,2
89,0101,07,1,22,3
89,0101,07,1,23,2
89,0101,08,1,07,1
89,0101,08,2,10,1
89,0101,08,1,12,3
89,0101,08,1,13,1
89,0101,08,2,14,1
89,0101,08,1,14,1
89,0101,08,1,15,3
89,0101,08,1,16,3
89,0101,08,1,17,6
89,0101,08,2,17,1
89,0101,08,2,18,1
89,0101,08,1,18,6
89,0101,08,2,19,6
89,0101,08,1,19,3
89,0101,08,2,20,1
89,0101,08,1,20,2
89,0101,08,1,21,4
89,0101,08,2,21,3
89,0101,08,1,22,1
89,0101,08,1,23,3
89,0101,09,2,18,1
89,0101,09,2,20,2
89,0101,09,1,20,2
89,0101,09,1,22,1
89,0101,09,2,23,1
89,0101,10,1,15,1
