consumption,region,population,year
39351976,宜蘭縣,429844,2013
26999919,花蓮縣,281476,2013
4454128,金門縣,110466,2013
35703409,南投縣,404085,2013
35831659,屏東縣,396319,2013
36892271,苗栗縣,439840,2013
183928631,桃園市,1936965,2013
261115595,高雄市,2652724,2013
39045875,基隆市,373576,2013
694778,連江縣,11315,2013
58467556,雲林縣,666662,2013
410703453,新北市,3847661,2013
46748569,新竹市,422168,2013
37925577,新竹縣,428658,2013
27255910,嘉義市,270470,2013
39290036,嘉義縣,475762,2013
88091992,彰化縣,1203824,2013
247056871,臺中市,2513025,2013
325023045,臺北市,2672953,2013
16040207,臺東縣,178858,2013
171901125,臺南市,1862293,2013
7467207,澎湖縣,92888,2013
