consumption,region,population,year
39987501,宜蘭縣,431271,2014
28033998,花蓮縣,281240,2014
4826427,金門縣,117376,2014
36533602,南投縣,402528,2014
36507759,屏東縣,402014,2014
37969001,苗栗縣,445990,2014
189290596,桃園市,1951533,2014
264805556,高雄市,2655691,2014
39593162,基隆市,371595,2014
713866,連江縣,11762,2014
59024369,雲林縣,664685,2014
418016885,新北市,3862949,2014
47526880,新竹市,425628,2014
39481772,新竹縣,437681,2014
27549531,嘉義市,270405,2014
40224131,嘉義縣,472475,2014
90045532,彰化縣,1203136,2014
253403867,臺中市,2541593,2014
327020637,臺北市,2687780,2014
16648480,臺東縣,177790,2014
174298049,臺南市,1864431,2014
7581201,澎湖縣,94295,2014
