consumption,region,population,year
424657637,新北市,3881990,2016
325896575,臺北市,2693804,2016
194153086,桃園市,2028825,2016
262928285,臺中市,2628828,2016
176552710,臺南市,1867718,2016
259686226,高雄市,2661270,2016
42097702,宜蘭縣,433279,2016
41614295,新竹縣,456787,2016
40018757,苗栗縣,452275,2016
93961031,彰化縣,1204381,2016
37250542,南投縣,400145,2016
60917980,雲林縣,656762,2016
41883823,嘉義縣,465843,2016
38547449,屏東縣,409318,2016
17868441,臺東縣,177285,2016
28457550,花蓮縣,282387,2016
7909424,澎湖縣,95980,2016
40049461,基隆市,369811,2016
48264247,新竹市,431094,2016
28141504,嘉義市,269750,2016
5285316,金門縣,126626,2016
740067,連江縣,12146,2016
