consumption,region,population,year
41329516,宜蘭縣,431815,2015
28418183,花蓮縣,281212,2015
5238528,金門縣,123113,2015
37467286,南投縣,400567,2015
37493401,屏東縣,405145,2015
38878777,苗栗縣,451001,2015
185805000,桃園市,1983411,2015
258891831,高雄市,2658268,2015
39849030,基隆市,370244,2015
695693,連江縣,12101,2015
59937971,雲林縣,661260,2015
419262076,新北市,3873128,2015
47454881,新竹市,428418,2015
39984563,新竹縣,447156,2015
27722884,嘉義市,270207,2015
40801044,嘉義縣,469122,2015
91806708,彰化縣,1203239,2015
257653522,臺中市,2584283,2015
324974084,臺北市,2697137,2015
17187821,臺東縣,177196,2015
174220687,臺南市,1866276,2015
7554640,澎湖縣,95225,2015
