consumption,region,population,year
38503863,宜蘭縣,427481,2011
26940917,花蓮縣,281874,2011
4008354,金門縣,95069,2011
35478438,南投縣,411009,2011
33920744,屏東縣,391442,2011
37557187,苗栗縣,429831,2011
181107074,桃園市,1902497,2011
256504055,高雄市,2642651,2011
39641069,基隆市,379452,2011
648536,連江縣,9877,2011
57572482,雲林縣,670511,2011
403607367,新北市,3804157,2011
45788329,新竹市,412884,2011
34619638,新竹縣,412580,2011
27376782,嘉義市,271192,2011
38581737,嘉義縣,481756,2011
87293645,彰化縣,1205742,2011
238742648,臺中市,2458037,2011
325748244,臺北市,2626712,2011
15759997,臺東縣,180761,2011
175072691,臺南市,1854034,2011
7331085,澎湖縣,90412,2011
