year,台電,民間
97,3410.73,872.28
98,2956.85,772.48
99,3432.88,735.95
100,3094.65,880.76
101,4687.25,960.87
102,4539.06,861.46
103,3601.17,693.8
104,3748.46,699.07
105,5516.74,1018.03
106 Sep,3645.07,695.41
