year,台電,民間
97,272.69,329.69
98,371.68,476.5
99,515.2,506.65
100,802.97,792.68
101,736.54,752.97
102,747.79,869.49
103,706.54,779.96
104,716.46,787.2
105,645.74,800.8
106 Sep,432.65,523.24
