"表07 青年勞工初次
",,,,,,,,"就業時的起薪
,,,,,, 中華民國 ,, 101年10月 ,,,, 單位：人，％，元 ,
項目別,樣本數,合計,"未滿18,780元","18,780~未滿
2萬元","2萬~未滿
2萬5千元","2萬5千~
未滿3萬元",,"3萬~未滿
3萬5千元","3萬5千元~
未滿4萬元","4萬~未滿
4萬5千元","4萬5千元~
未滿5萬元","5萬元
及以上",平均每月薪資
,,,,,,,,,,,,,
總計," 4,064 ", 100.00 , 14.75 , 15.67 , 27.42 , 20.15 ,, 11.07 , 4.68 , 3.66 , 1.01 , 1.59 ," 23,984 "
職業,,,,,,,,,,,,,
民意代表、主管及經理人員, 35 , 100.00 , 7.38 , 6.54 , 29.75 , 10.91 ,, 27.07 , 9.25 , 7.81 , 1.30 , - ," 26,817 "
專業人員, 664 , 100.00 , 3.73 , 5.90 , 14.81 , 22.58 ,, 18.12 , 11.30 , 12.70 , 4.64 , 6.21 ," 31,640 "
技術員及助理專業人員, 879 , 100.00 , 9.19 , 12.46 , 30.58 , 22.89 ,, 13.09 , 5.62 , 3.67 , 0.87 , 1.63 ," 25,217 "
事務支援人員," 1,170 ", 100.00 , 11.88 , 15.28 , 32.24 , 27.00 ,, 8.58 , 4.01 , 0.76 , 0.11 , 0.14 ," 23,046 "
服務及銷售工作人員, 659 , 100.00 , 30.83 , 19.74 , 26.34 , 12.52 ,, 6.88 , 1.31 , 1.46 , 0.12 , 0.79 ," 19,911 "
農林漁牧業生產人員, 25 , 100.00 , 4.89 , 20.95 , 37.88 , 4.33 ,, 27.42 , - , - , 4.53 , - ," 24,095 "
技藝有關工作人員, 176 , 100.00 , 9.94 , 26.00 , 32.96 , 16.51 ,, 9.41 , 3.89 , 1.29 , - , 0.01 ," 22,227 "
機械設備操作及組裝人員, 205 , 100.00 , 10.57 , 20.92 , 37.03 , 15.90 ,, 10.80 , 1.66 , 2.55 , 0.04 , 0.54 ," 22,664 "
基層技術工及勞力工, 251 , 100.00 , 24.83 , 26.02 , 23.30 , 14.75 ,, 8.87 , 1.38 , 0.80 , 0.05 , - ," 19,952 "
工作地區,,,,,,,,,,,,,
北部地區," 1,748 ", 100.00 , 14.80 , 12.28 , 25.25 , 22.76 ,, 11.63 , 5.35 , 4.45 , 1.27 , 2.21 ," 24,759 "
