表39、曾轉換工作之青年勞工初次就業時的起薪,,,,,,,─按性別、年齡、教育程度別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%，元
  不動產及租賃業, 51 , 100.00 , 21.59 , 9.48 , 20.98 ,, 21.13 , 9.99 , 9.01 , 3.50 , 0.22 , 4.10 ," 25,208 "
  專業科學及技術服務業, 244 , 100.00 , 10.02 , 10.21 , 21.77 ,, 24.67 , 14.20 , 4.75 , 7.32 , 3.43 , 3.62 ," 27,203 "
  教育服務業, 32 , 100.00 , 13.39 , 9.41 , 15.44 ,, 21.14 , 13.83 , 16.95 , 8.19 , 0.80 , 0.86 ," 27,040 "
  醫療保健及社會福利服務業, 138 , 100.00 , 11.88 , 5.55 , 17.34 ,, 17.27 , 21.17 , 10.26 , 9.13 , 2.88 , 4.52 ," 29,334 "
  文化運動及休閒服務業, 82 , 100.00 , 25.42 , 12.33 , 17.14 ,, 23.81 , 15.11 , 2.41 , 1.10 , 0.79 , 1.89 ," 23,458 "
  其他服務業, 212 , 100.00 , 26.23 , 15.66 , 20.31 ,, 20.37 , 14.36 , 2.07 , 1.00 , - , - ," 21,552 "
  公共行政業, 37 , 100.00 , 17.47 , 22.86 , 16.74 ,, 19.76 , 12.49 , 5.01 , 3.31 , 1.30 , 1.06 ," 23,560 "
  規模別,,,,,,,,,,,,,
  29人以下," 1,388 ", 100.00 , 21.74 , 14.18 , 25.67 ,, 20.73 , 10.62 , 3.88 , 1.06 , 1.20 , 0.92 ," 22,876 "
  30人～49人, 304 , 100.00 , 19.96 , 10.35 , 26.00 ,, 20.65 , 12.37 , 5.38 , 2.57 , 1.02 , 1.69 ," 23,799 "
  50人～199人, 678 , 100.00 , 13.67 , 10.23 , 29.08 ,, 23.67 , 11.31 , 5.57 , 3.86 , 1.72 , 0.89 ," 24,575 "
  200人～499人, 434 , 100.00 , 15.80 , 11.98 , 21.78 ,, 23.91 , 15.16 , 5.96 , 3.14 , 1.24 , 1.04 ," 24,869 "
  500人以上," 1,208 ", 100.00 , 13.76 , 7.29 , 17.19 ,, 20.47 , 18.46 , 8.59 , 7.14 , 3.52 , 3.58 ," 27,977 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表57、青年勞工初次就業時的起薪,,,,,,,─按職業、工作性質、工作年資別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%，元
項    目    別,樣 本 數,合    計,"未滿17,280元","17,280~
未滿2萬元","2萬~未滿
2萬5千元",,"2萬5千~未滿
3萬元","3萬~未滿
3萬5千元","3萬5千元~
未滿4萬元","4萬~未滿
4萬5千元","4萬5千元~
未滿5萬元",5萬元及以上,"平均
每月薪資"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 17.19 , 10.91 , 23.30 ,, 21.48 , 13.72 , 5.92 , 3.71 , 1.98 , 1.79 ," 24,984 "
  職業別,,,,,,,,,,,,,
  行政、企業主管及經理人員, 62 , 100.00 , 7.45 , 7.62 , 19.06 ,, 16.55 , 6.18 , 8.65 , 3.35 , 15.09 , 16.05 ," 42,749 "
  專業人員, 548 , 100.00 , 3.60 , 3.04 , 9.04 ,, 19.59 , 23.76 , 13.64 , 14.94 , 6.67 , 5.72 ," 33,487 "
  技術員及助理專業人員, 862 , 100.00 , 12.17 , 8.95 , 23.41 ,, 27.73 , 15.21 , 6.77 , 2.91 , 1.37 , 1.46 ," 25,619 "
  事務工作人員," 1,072 ", 100.00 , 11.53 , 12.14 , 31.32 ,, 24.92 , 12.75 , 3.80 , 2.33 , 0.51 , 0.71 ," 24,075 "
  服務工作人員及售貨員, 858 , 100.00 , 36.54 , 13.46 , 20.17 ,, 14.68 , 9.25 , 4.27 , 0.91 , 0.48 , 0.24 ," 20,172 "
  農林漁牧工作人員, 7 , 100.00 , 3.24 , 19.90 , 29.06 ,, 31.70 , 16.10 , - , - , - , - ," 23,735 "
  技術工及有關工作人員, 226 , 100.00 , 19.04 , 13.16 , 20.16 ,, 25.39 , 12.45 , 3.97 , 1.23 , 3.39 , 1.21 ," 24,176 "
  機械設備操作及組裝工, 244 , 100.00 , 17.47 , 15.41 , 32.44 ,, 13.94 , 12.53 , 3.76 , 1.32 , 0.86 , 2.26 ," 23,270 "
  非技術工及體力工, 133 , 100.00 , 28.27 , 18.51 , 27.01 ,, 13.94 , 7.15 , 2.75 , 0.71 , 1.65 , - ," 20,516 "
  工作型態,,,,,,,,,,,,,
  全日工作," 3,571 ", 100.00 , 11.97 , 10.66 , 24.25 ,, 23.26 , 14.98 , 6.57 , 4.11 , 2.22 , 1.97 ," 26,100 "
  部分工時工作, 441 , 100.00 , 59.50 , 12.92 , 15.57 ,, 7.10 , 3.52 , 0.67 , 0.42 , - , 0.30 ," 15,944 "
  僱用類型,,,,,,,,,,,,,
  一般員工," 3,833 ", 100.00 , 16.67 , 10.50 , 23.59 ,, 21.67 , 13.84 , 5.98 , 3.88 , 2.04 , 1.82 ," 25,147 "
  派遣員工, 179 , 100.00 , 28.34 , 19.67 , 17.12 ,, 17.50 , 11.12 , 4.61 , 0.02 , 0.49 , 1.13 ," 21,500 "
  工作年資別,,,,,,,,,,,,,
  未滿1年, 247 , 100.00 , 19.77 , 15.25 , 24.78 ,, 21.58 , 11.01 , 3.52 , 3.21 , 0.50 , 0.39 ," 22,862 "
  1~未滿3年," 1,340 ", 100.00 , 18.64 , 8.41 , 18.21 ,, 23.08 , 16.04 , 6.21 , 5.08 , 2.12 , 2.21 ," 25,791 "
  3~未滿6年," 1,448 ", 100.00 , 14.00 , 10.63 , 24.39 ,, 21.15 , 15.42 , 6.74 , 3.41 , 2.45 , 1.79 ," 25,645 "
  6~未滿10年, 766 , 100.00 , 17.79 , 12.34 , 29.68 ,, 20.97 , 8.77 , 4.85 , 2.50 , 1.68 , 1.41 ," 23,755 "
  10年及以上, 211 , 100.00 , 24.75 , 18.36 , 23.20 ,, 15.37 , 8.49 , 5.16 , 1.92 , 0.63 , 2.11 ," 22,282 "
  每月工作收入別  ,,,,,,,,,,,,,
"  未滿17,280元", 337 , 100.00 , 85.29 , 4.56 , 7.33 ,, 1.41 , 1.08 , 0.33 , - , - , - ," 13,236 "
"  17,280 ~未滿2萬元", 309 , 100.00 , 31.44 , 53.98 , 10.69 ,, 2.66 , 0.58 , 0.24 , - , 0.04 , 0.38 ," 17,256 "
  2萬~未滿2萬5千元, 792 , 100.00 , 17.63 , 12.90 , 59.32 ,, 7.44 , 1.69 , 0.76 , 0.18 , 0.08 , - ," 20,441 "
  2萬5千~未滿3萬元," 1,021 ", 100.00 , 9.44 , 9.53 , 22.52 ,, 51.27 , 4.34 , 1.98 , 0.38 , 0.24 , 0.31 ," 24,039 "
  3萬~未滿3萬元5千元, 785 , 100.00 , 5.40 , 5.03 , 14.49 ,, 20.84 , 49.14 , 3.10 , 1.06 , 0.65 , 0.28 ," 27,667 "
  3萬5千元~未滿4萬元, 357 , 100.00 , 4.72 , 3.03 , 10.85 ,, 17.65 , 17.86 , 41.74 , 3.31 , 0.84 , - ," 30,752 "
  4萬~未滿4萬5千元, 204 , 100.00 , 2.17 , 1.90 , 5.63 ,, 11.71 , 8.81 , 10.89 , 56.65 , 1.39 , 0.85 ," 36,111 "
  4萬5千元~未滿5萬元, 100 , 100.00 , 2.63 , 0.60 , 8.30 ,, 9.23 , 8.57 , 3.54 , 2.69 , 64.44 , - ," 39,422 "
  5萬元以上, 107 , 100.00 , 2.66 , 0.96 , 4.48 ,, 6.40 , 10.69 , 9.59 , 4.75 , 0.84 , 59.63 ," 53,490 "
