type,month,value
ticket,1,2405404
ticket,2,2296257
ticket,3,2436108
ticket,4,2486228
ticket,5,2477679
ticket,6,2328607
ticket,7,2663036
ticket,8,2645829
ticket,9,2325183
ticket,10,2676542
ticket,11,2608324
ticket,12,2871155
one_way,1,1222201
one_way,2,1793938
one_way,3,1058459
one_way,4,1133180
one_way,5,1112566
one_way,6,1083191
one_way,7,1446423
one_way,8,1467855
one_way,9,1041525
one_way,10,1144454
one_way,11,1044543
one_way,12,1224863
other,1,99202
other,2,253303
other,3,56729
other,4,63026
other,5,63343
other,6,54709
other,7,96337
other,8,93365
other,9,45699
other,10,50248
other,11,48685
other,12,92017
