type,month,value
ticket,1,2975992
ticket,2,3070912
ticket,3,3057629
ticket,4,3074643
ticket,5,3163598
ticket,6,3090922
ticket,7,3403046
ticket,8,3250913
ticket,9,3249859
ticket,10,3467772
ticket,11,3391193
ticket,12,3934930
one_way,1,1859905
one_way,2,1517673
one_way,3,1151016
one_way,4,1254200
one_way,5,1194628
one_way,6,1194628
one_way,7,1655578
one_way,8,1526074
one_way,9,1286702
one_way,10,1261837
one_way,11,1173791
one_way,12,1688247
other,1,67126
other,2,50673
other,3,29884
other,4,31755
other,5,32565
other,6,26546
other,7,54216
other,8,46871
other,9,24909
other,10,29041
other,11,29434
other,12,161673
