type,month,value
ticket,1,3450109
ticket,2,3305369
ticket,3,3544040
ticket,4,3399723
ticket,5,3471062
ticket,6,3391251
ticket,7,3566171
ticket,8,3630644
ticket,9,3280179
ticket,10,3793991
ticket,11,3639375
ticket,12,4038653
one_way,1,1298963
one_way,2,1950937
one_way,3,1273552
one_way,4,1277987
one_way,5,1194015
one_way,6,1421536
one_way,7,1598684
one_way,8,1732345
one_way,9,1732345
one_way,10,1511352
one_way,11,1213056
one_way,12,1433541
other,1,43574
other,2,83008
other,3,31746
other,4,28036
other,5,25712
other,6,33775
other,7,53757
other,8,58931
other,9,33011
other,10,52070
other,11,37777
other,12,76026
