type,month,value
ticket,1,3752278
ticket,2,3781245
ticket,3,3736451
ticket,4,3711380
ticket,5,4109618
ticket,6,3974208
ticket,7,4511546
ticket,8,4786123
ticket,9,3921020
ticket,10,0
ticket,11,0
ticket,12,0
one_way,1,1269748
one_way,2,1627298
one_way,3,1050908
one_way,4,1167273
one_way,5,1287513
one_way,6,1355507
one_way,7,1021339
one_way,8,969981
one_way,9,732536
one_way,10,0
one_way,11,0
one_way,12,0
other,1,37654
other,2,41593
other,3,33968
other,4,25759
other,5,38365
other,6,27541
other,7,37125
other,8,42679
other,9,22810
other,10,0
other,11,0
other,12,0
