type,month,value
ticket,1,2646047
ticket,2,2582503
ticket,3,2585882
ticket,4,2588271
ticket,5,2614610
ticket,6,2549807
ticket,7,2838181
ticket,8,2826934
ticket,9,2750325
ticket,10,2947769
ticket,11,2884264
ticket,12,3180126
one_way,1,1297281
one_way,2,1889913
one_way,3,1020672
one_way,4,1228222
one_way,5,1122694
one_way,6,1220822
one_way,7,1573227
one_way,8,1459899
one_way,9,1192026
one_way,10,1277328
one_way,11,1156232
one_way,12,1390107
other,1,61837
other,2,150873
other,3,41239
other,4,58008
other,5,42856
other,6,51218
other,7,88694
other,8,79551
other,9,48233
other,10,57731
other,11,51085
other,12,82164
