年份,編號,中文名稱,英文名稱,侵臺路徑分類,警報期間,近臺強度,生命期近中心最低氣壓(hPa),近臺近中心最大風速(m/s),近臺7級風暴風半徑,近臺10級風暴風半徑,警報發布報數
2005,200515,卡努,KHANUN,---,"2005-09-09 17:30
2005-09-11 14:30",中度,950,43,200,80,16
2005,200513,泰利,TALIM,3,"2005-08-30 08:30
2005-09-01 23:30",強烈,920,53,250,100,22
2005,200510,珊瑚,SANVU,---,"2005-08-11 16:00
2005-08-13 20:30",輕度,985,25,200,---,19
2005,200509,馬莎,MATSA,1,"2005-08-03 08:30
2005-08-06 08:30",中度,955,40,250,80,25
2005,200505,海棠,HAITANG,3,"2005-07-16 14:30
2005-07-20 02:30",強烈,912,55,280,120,29
2004,200427,南瑪都,NANMADOL,9,"2004-12-03 02:30
2004-12-04 14:30",中度,940,38,250,80,13
2004,200424,納坦,NOCK-TEN,6,"2004-10-23 20:30
2004-10-26 02:30",中度,945,43,250,100,19
2004,200421,米雷,MEARI,---,"2004-09-26 08:30
2004-09-27 14:30",中度,940,40,200,80,11
2004,200420,海馬,HAIMA,6,"2004-09-11 23:30
2004-09-13 08:30",輕度,998,18,100,---,12
2004,200417,艾利,AERE,1,"2004-08-23 02:30
2004-08-26 11:30",中度,960,38,200,50,28
2004,200413,蘭寧,RANANIM,---,"2004-08-10 23:30
2004-08-13 02:30",中度,955,40,250,100,18
2004,200409,康柏斯,KOMPASU,---,"2004-07-14 09:30
2004-07-15 11:30",輕度,995,20,100,---,10
2004,200407,敏督利,MINDULLE,6,"2004-06-28 17:30
2004-07-03 11:30",中度,942,45,250,100,39
2004,200404,康森,CONSON,---,"2004-06-07 17:30
2004-06-09 23:30",中度,970,33,150,50,19
2003,200319,米勒,MELOR,8,"2003-11-02 05:30
2003-11-03 23:30",輕度,975,25,150,---,15
2003,200313,杜鵑,DUJUAN,5,"2003-08-31 12:30
2003-09-02 17:30",中度,950,43,250,100,19
2003,200312,科羅旺,KROVANH,---,"2003-08-22 08:30
2003-08-23 14:30",中度,970,33,250,100,11
2003,200311,梵高,VAMCO,---,"2003-08-19 12:30
2003-08-20 11:30",輕度,998,18,100,---,9
