年份,編號,中文名稱,英文名稱,侵臺路徑分類,警報期間,近臺強度,生命期近中心最低氣壓(hPa),近臺近中心最大風速(m/s),近臺7級風暴風半徑,近臺10級風暴風半徑,警報發布報數
1977,197707,愛美,AMY,7,"1977-08-18 22:00
1977-08-22 21:00",輕度,985,21,150,---,17
1977,197705,薇拉,VERA,2,"1977-07-28 21:30
1977-08-01 16:00",強烈,930,55,200,50,16
1977,197704,賽洛瑪,THELMA,7,"1977-07-22 22:00
1977-07-25 21:30",中度,950,40,250,70,13
1977,197702,魯絲,RUTH,---,"1977-06-15 16:30
1977-06-17 08:30",輕度,980,30,150,50,8
1976,197623,瑪芝,MARGE,---,"1976-11-08 16:00
1976-11-10 09:30",中度,975,33,100,30,8
1976,197622,魯依絲,LOUISE,---,"1976-11-03 16:00
1976-11-05 21:50",強烈,895,68,300,100,10
1976,197620,艾瑞絲,IRIS,---,"1976-09-16 10:30
1976-09-18 05:00",中度,975,35,200,50,8
1976,197617,芙安,FRAN,---,"1976-09-07 16:00
1976-09-09 15:00",強烈,910,68,400,100,9
1976,197615,戴特,DOT,---,"1976-08-20 05:30
1976-08-21 09:30",輕度,990,23,150,---,6
1976,197613,畢莉,BILLIE,2,"1976-08-08 21:30
1976-08-10 15:00",強烈,910,55,300,150,8
1976,197607,魯碧,RUBY,---,"1976-06-27 16:30
1976-06-30 10:30",中度,935,33,180,30,12
1975,197516,芙勞西,FLOSSIE,---,"1975-10-21 21:15
1975-10-22 15:06",輕度,970,30,200,70,3
1975,197515,艾爾西,ELSIE,5,"1975-10-11 09:30
1975-10-13 20:30",強烈,990,70,200,50,10
1975,197512,貝蒂,BETTY,4,"1975-09-21 09:30
1975-09-23 21:30",中度,950,45,250,100,11
1975,197504,婀拉,ORA,---,"1975-08-10 17:00
1975-08-12 16:00",中度,970,35,250,50,8
1975,197503,妮娜,NINA,2,"1975-08-02 09:00
1975-08-04 05:00",強烈,900,65,250,90,8
1974,197428,葛樂禮,GLORIA,---,"1974-11-05 21:30
1974-11-09 05:30",強烈,930,55,300,100,12
1974,197426,艾琳,ELAINE,---,"1974-10-27 21:30
1974-10-29 09:40",強烈,940,51,300,80,4
1974,197425,黛拉,DELLA,---,"1974-10-23 10:40
1974-10-24 15:40",中度,960,40,150,50,4
1974,197423,貝絲,BESS,5,"1974-10-10 22:30
1974-10-12 22:00",中度,970,38,300,150,5
1974,197421,范迪,WENDY,6,"1974-09-26 16:30
1974-09-29 10:30",輕度,980,30,150,30,12
1974,197413,露西,LUCY,---,"1974-08-09 22:40
1974-08-10 22:30",輕度,994,20,120,---,5
1974,197411,琴恩,JEAN,2,"1974-07-18 16:50
1974-07-19 22:00",輕度,995,25,80,---,6
1974,197406,鶯瑪,EMMA,---,"1974-06-15 22:30
1974-06-17 15:30",輕度,985,28,150,---,5
1973,197317,白西,PATSY,---,"1973-10-11 10:30
1973-10-12 15:30",強烈,890,65,300,100,4
1973,197315,娜拉,NORA,7,"1973-10-07 22:30
1973-10-10 15:00",強烈,875,63,350,150,12
1973,197311,瓊安,JOAN,---,"1973-08-19 21:00
1973-08-20 22:00",輕度,990,23,150,---,5
1973,197307,芙安,FRAN,---,"1973-07-29 16:00
1973-07-30 14:30",輕度,1000,18,90,---,3
1973,197303,畢莉,BILLIE,---,"1973-07-13 15:30
1973-07-17 09:40",強烈,920,60,220,100,14
1973,197301,魏達,WILDA,7,"1973-07-02 10:30
1973-07-03 22:00",輕度,980,28,200,---,6
1972,197213,貝蒂,BETTY,1,"1972-08-14 21:30
1972-08-17 14:30",強烈,910,65,400,300,11
1972,197211,溫妮,WINNIE,---,"1972-08-01 08:00
1972-08-02 06:00",輕度,990,18,60,---,4
1972,197208,蘇珊,SUSAN,---,"1972-07-11 14:10
1972-07-13 10:40",中度,980,35,250,---,7
1972,197207,莉泰,RITA,---,"1972-07-22 11:00
1972-07-24 10:20",中度,910,33,250,100,9
1971,197127,貝絲,BESS,2,"1971-09-20 21:30
1971-09-23 10:30",強烈,905,65,300,200,10
1971,197126,艾妮絲,AGNES,3,"1971-09-17 10:10
1971-09-19 15:30",中度,975,33,200,---,10
1971,197118,娜定,NADINE,4,"1971-07-24 10:20
1971-07-26 21:00",強烈,900,70,350,200,11
1971,197116,露西,LUCY,5,"1971-07-18 22:30
1971-07-21 22:30",強烈,915,55,350,150,11
1971,197106,寶佩,BABE,---,"1971-05-05 10:30
1971-05-06 10:30",輕度,990,25,---,---,3
1970,197015,芙安,FRAN,1,"1970-09-06 10:40
1970-09-07 16:00",輕度,975,25,200,---,6
1970,197009,魏達,WILDA,---,"1970-08-10 10:30
1970-08-12 10:20",中度,940,40,300,---,5
1970,197002,歐加,OLGA,---,"1970-07-01 10:30
1970-07-03 21:30",強烈,904,55,200,---,8
1969,196912,芙勞西,FLOSSIE,6,"1969-09-30 22:00
1969-10-03 22:30",中度,946,33,200,---,14
1969,196911,艾爾西,ELSIE,2,"1969-09-25 16:00
1969-09-27 15:40",強烈,895,65,400,---,9
1969,196909,寇拉,CORA,---,"1969-08-18 10:20
1969-08-19 15:20",中度,934,40,250,---,5
1969,196908,貝蒂,BETTY,1,"1969-08-07 09:40
1969-08-08 21:20",中度,973,35,150,---,7
1969,196906,溫妮,WINNIE,---,"1969-07-31 10:20
1969-08-01 10:10",輕度,984,25,100,---,3
1969,196905,衛歐拉,VIOLA,5,"1969-07-25 10:20
1969-07-28 21:20",強烈,895,60,350,---,12
1968,196817,艾琳,ELAINE,5,"1968-09-27 10:20
1968-10-01 10:20",強烈,910,60,400,---,16
1968,196816,黛拉,DELLA,---,"1968-09-21 16:30
1968-09-22 21:30",強烈,930,51,250,---,4
1968,196812,范迪,WENDY,5,"1968-09-02 22:00
1968-09-07 22:00",中度,915,45,300,---,19
1968,196809,雪莉,SHIRLEY,---,"1968-08-18 21:40
1968-08-21 10:00",輕度,955,30,250,---,6
1968,196808,玻莉,POLLY,---,"1968-08-14 10:00
1968-08-15 21:20",輕度,965,30,150,---,4
1968,196807,羅絲,ROSE,---,"1968-08-10 11:00
1968-08-11 21:20",輕度,968,30,200,---,4
1968,196805,娜定,NADINE,---,"1968-07-22 22:00
1968-07-26 22:10",輕度,960,25,200,---,14
,,,,,"1968-07-28 12:30
1968-07-28 21:50",輕度,960,25,100,---,3
1967,196733,吉達,GILDA,3,"1967-11-15 22:10
1967-11-18 21:40",強烈,910,60,400,---,12
1967,196730,黛納,DINAH,---,"1967-10-24 22:40
1967-10-26 16:00",中度,950,45,350,---,7
1967,196729,解拉,CARLA,5,"1967-10-15 22:30
1967-10-18 22:00",強烈,900,60,400,---,11
1967,196719,娜拉,NORA,2,"1967-08-28 22:40
1967-08-30 10:20",中度,982,33,200,---,11
1967,196718,瑪芝,MARGE,---,"1967-08-26 22:20
1967-08-30 10:20",強烈,935,60,200,---,11
1967,196708,葛萊拉,CLARA,3,"1967-07-09 10:30
1967-07-12 09:10",中度,960,40,200,---,11
1967,196707,畢莉,BILLIE,---,"1967-07-04 22:30
1967-07-07 10:20",中度,980,35,200,---,6
1967,196706,艾妮達,ANITA,---,"1967-06-27 23:20
1967-06-30 10:30",中度,972,35,250,---,9
1967,196704,衛萊特,VIOLET,---,"1967-04-07 10:40
1967-04-11 16:20",強烈,930,51,250,---,12
1966,196622,海倫,HELEN,---,"1966-09-20 16:00
1966-09-22 15:40",輕度,978,25,200,---,6
1966,196619,艾爾西,ELSIE,9,"1966-09-14 15:50
1966-09-17 05:00",強烈,943,51,200,---,6
1966,196617,寇拉,CORA,1,"1966-09-03 22:20
1966-09-07 10:30",強烈,917,60,200,---,15
1966,196615,艾麗絲,ALICE,---,"1966-09-01 22:30
1966-09-03 21:55",中度,936,40,150,---,7
1966,196612,蒂絲,TESS,1,"1966-08-14 16:50
1966-08-17 10:00",中度,965,38,200,---,10
1966,196611,蘇珊,SUSAN,---,"1966-08-14 16:50
1966-08-17 10:00",中度,985,35,100,---,10
1966,196607,妮娜,NINA,---,"1966-07-18 09:00
1966-07-19 15:30",中度,995,35,150,---,7
1966,196606,瑪美,MAMIE,---,"1966-07-16 15:40
1966-07-17 10:00",中度,993,35,100,---,3
1966,196603,裘迪,JUDY,9,"1966-05-28 10:30
1966-05-31 10:00",中度,970,40,150,---,12
1966,196602,伊瑪,IRMA,---,"1966-05-19 22:10
1966-05-21 10:10",中度,960,40,150,---,4
1965,196533,費依,FAYE,---,"1965-11-23 23:00
1965-11-24 22:30",強烈,930,65,---,---,3
1965,196525,崔絲,TRIX,---,"1965-09-14 23:00
1965-09-16 10:00",強烈,930,60,---,---,4
1965,196523,羅絲,ROSE,---,"1965-09-01 23:00
1965-09-03 22:00",中度,990,45,---,---,5
1965,196519,瑪麗,MARY,2,"1965-08-17 10:00
1965-08-19 21:50",強烈,950,75,---,---,9
1965,196516,琴恩,JEAN,---,"1965-08-01 22:20
1965-08-04 21:45",強烈,950,55,250,---,7
1965,196515,艾葳,IVY,---,"1965-07-28 22:35
1965-07-30 09:45",中度,990,35,200,---,4
1965,196514,哈莉,HARRIET,4,"1965-07-24 22:50
1965-07-27 09:40",強烈,970,51,300,---,11
1965,196512,芙瑞達,FREDA,---,"1965-07-12 16:30
1965-07-14 10:45",強烈,922,70,300,---,6
1965,196511,鶯瑪,EMMA,---,"1965-06-23 23:00
1965-06-25 22:00",輕度,990,30,120,---,8
1965,196510,黛納,DINAH,6,"1965-06-16 10:15
1965-06-19 10:15",強烈,932,65,200,---,12
1965,196508,寶佩,BABE,---,"1965-06-04 09:30
1965-06-04 22:10",中度,990,33,150,---,2
1964,196437,歐珀,OPAL,---,"1964-12-14 10:00
1964-12-15 10:20",強烈,920,75,450,---,3
1964,196426,戴特,DOT,---,"1964-10-09 16:30
1964-10-10 10:20",中度,972,35,150,---,3
1964,196420,蒂達,TILDA,---,"1964-09-14 10:40
1964-09-15 22:00",中度,970,45,150,---,8
1964,196419,沙莉,SALLY,---,"1964-09-07 16:20
1964-09-10 10:40",強烈,885,75,300,---,12
1964,196418,魯碧,RUBY,---,"1964-09-02 11:10
1964-09-04 10:20",中度,970,35,150,---,7
1964,196416,梅瑞,MARIE,---,"1964-08-16 23:00
1964-08-20 10:00",中度,980,35,200,---,13
1964,196414,凱西,KATHY,---,"1964-08-16 23:00
1964-08-20 10:00",強烈,945,55,250,---,13
1964,196413,裘恩,JUNE,---,"1964-08-11 23:30
1964-08-13 10:30",輕度,996,20,120,---,4
1964,196412,艾達,IDA,---,"1964-08-05 22:30
1964-08-08 10:10",強烈,925,65,300,---,8
1964,196409,芙勞西,FLOSSIE,---,"1964-07-26 22:20
1964-07-27 16:45",輕度,975,30,150,---,3
1964,196407,都麗絲,DORIS,---,"1964-07-13 22:30
1964-07-15 16:00",中度,980,40,200,---,7
1964,196405,貝蒂,BETTY,---,"1964-07-03 06:00
1964-07-05 11:00",中度,958,45,200,---,10
1964,196403,溫妮,WINNIE,---,"1964-06-28 22:40
1964-06-30 10:20",中度,950,45,350,---,4
1964,196402,衛歐拉,VIOLA,---,"1964-05-26 16:20
1964-05-27 22:10",中度,980,33,250,---,4
1963,196314,葛樂禮,GLORIA,1,"1963-09-08 11:00
1963-09-12 10:30",強烈,920,68,400,---,15
1963,196313,費依,FAYE,---,"1963-09-03 22:00
1963-09-05 22:10",強烈,960,51,300,---,8
1963,196308,艾妮絲,AGNES,---,"1963-07-19 10:10
1963-07-21 16:00",中度,995,43,200,---,8
1963,196307,范迪,WENDY,2,"1963-07-14 10:50
1963-07-17 09:40",強烈,930,65,300,---,11
1963,196305,崔絲,TRIX,---,"1963-06-27 22:30
1963-07-01 22:10",中度,985,33,300,---,16
1963,196304,雪莉,SHIRLEY,---,"1963-06-16 11:00
1963-06-18 23:00",強烈,935,60,300,---,7
1963,196303,羅絲,ROSE,---,"1963-06-08 16:30
1963-06-11 22:40",輕度,995,25,150,---,8
1962,196226,凱倫,KAREN,---,"1962-11-13 22:25
1962-11-15 21:55",強烈,---,70,400,---,7
1962,196222,吉達,GILDA,---,"1962-10-25 22:20
1962-10-27 21:50",強烈,---,53,350,---,5
1962,196219,黛納,DINAH,5,"1962-10-01 07:30
1962-10-03 22:00",強烈,950,51,350,---,12
1962,196216,愛美,AMY,2,"1962-09-01 16:15
1962-09-06 09:45",強烈,910,70,400,---,19
1962,196215,萬達,WANDA,5,"1962-08-28 22:30
1962-08-31 21:40",中度,945,48,350,---,11
1962,196212,莎拉,SARAH,---,"1962-08-15 20:00
1962-08-19 10:00",強烈,---,55,150,---,16
1962,196209,歐珀,OPAL,2,"1962-08-03 10:00
1962-08-06 22:00",強烈,905,75,350,---,12
1962,196208,娜拉,NORA,---,"1962-07-29 10:15
1962-08-01 15:40",中度,---,35,400,---,10
1962,196205,凱蒂,KATE,6,"1962-07-19 17:00
1962-07-23 21:50",中度,965,38,200,---,18
1962,196204,瓊安,JOAN,---,"1962-07-07 22:30
1962-07-09 22:00",中度,---,40,200,---,5
1962,196203,艾瑞絲,IRIS,---,"1962-05-28 07:30
1962-05-29 10:00",中度,---,33,100,---,4
1962,196202,賀普,HOPE,---,"1962-05-19 10:00
1962-05-20 15:25",中度,---,33,200,---,6
1961,196123,蒂達,TILDA,---,"1961-10-01 22:00
1961-10-04 10:00",強烈,925,65,400,---,11
1961,196122,沙莉,SALLY,4,"1961-09-26 22:30
1961-09-29 11:00",中度,980,40,300,---,10
1961,196120,波密拉,PAMELA,2,"1961-09-11 10:00
1961-09-12 22:00",強烈,915,65,250,---,7
1961,196118,南施,NANCY,---,"1961-09-13 11:30
1961-09-15 10:30",強烈,846,100,650,---,7
1961,196116,勞娜,LORNA,4,"1961-08-23 22:30
1961-08-26 10:30",強烈,947,60,300,---,9
1961,196114,裘恩,JUNE,2,"1961-08-04 23:00
1961-08-08 11:30",中度,960,50,150,---,12
1961,196110,芙勞西,FLOSSIE,---,"1961-07-16 23:30
1961-07-19 11:00",輕度,992,20,150,---,6
1961,196109,艾爾西,ELSIE,5,"1961-07-13 00:30
1961-07-15 10:00",中度,975,45,150,---,9
1961,196108,都麗絲,DORIS,---,"1961-06-30 11:00
1961-07-01 23:00",輕度,990,20,150,---,5
1961,196104,貝蒂,BETTY,6,"1961-05-24 18:00
1961-05-27 22:00",強烈,945,60,300,---,13
1961,196103,艾麗絲,ALICE,---,"1961-05-19 10:30
1961-05-20 23:00",中度,985,40,250,---,4
1960,196018,葛樂禮,GLORIA,---,"1960-09-02 13:00
1960-09-03 12:00",輕度,1002,18,100,---,3
1960,196015,艾琳,ELAINE,特殊,"1960-08-20 18:00
1960-08-24 23:00",中度,975,40,150,---,18
1960,196014,卡門,CARMEN,---,"1960-08-16 00:00
1960-08-20 18:00",中度,975,35,200,---,10
1960,196012,艾妮絲,AGNES,2,"1960-08-13 13:00
1960-08-15 12:00",輕度,994,25,200,---,6
1960,196009,崔絲,TRIX,1,"1960-08-07 00:00
1960-08-09 11:00",強烈,930,60,300,---,9
1960,196008,雪莉,SHIRLEY,2,"1960-07-30 00:00
1960-08-02 17:00",強烈,920,55,250,---,15
1960,196006,玻莉,POLLY,---,"1960-07-18 13:00
1960-07-21 10:00",中度,950,40,250,---,12
,,,,,"1960-07-22 00:00
1960-07-27 10:00",強烈,950,55,300,---,13
1960,196005,歐莉芙,OLIVE,---,"1960-06-26 00:00
1960-06-30 00:00",中度,950,45,200,---,9
1960,196004,娜定,NADINE,---,"1960-06-05 00:00
1960-06-06 13:00",中度,985,35,250,---,4
1960,196003,瑪麗,MARY,9,"1960-06-07 01:00
1960-06-11 12:00",中度,980,35,300,---,11
1960,196001,凱倫,KAREN,---,"1960-04-25 18:00
1960-04-27 00:00",輕度,990,25,150,---,4
1959,195921,芙瑞達,FREDA,6,"1959-11-17 12:00
1959-11-19 23:00",中度,945,40,250,---,9
1959,195920,鶯瑪,EMMA,---,"1959-11-10 23:00
1959-11-13 12:00",中度,960,45,250,---,6
1959,195918,夏綠蒂,CHARLOTTE,---,"1959-10-12 11:00
1959-10-16 23:00",強烈,905,55,250,---,15
1959,195917,巴布絲,BABS,8,"1959-10-08 00:00
1959-10-09 22:00",輕度,1000,18,150,---,9
1959,195916,愛美,AMY,---,"1959-10-03 18:00
1959-10-06 12:00",中度,990,35,250,---,8
1959,195914,莎拉,SARAH,---,"1959-09-14 00:00
1959-09-16 23:00",強烈,905,60,400,---,11
1959,195912,娜拉,NORA,---,"1959-09-08 00:00
1959-09-09 18:00",輕度,990,18,150,---,5
,,,,,"1959-09-11 09:00
1959-09-12 12:00",輕度,990,25,200,---,4
1959,195911,魯依絲,LOUISE,3,"1959-09-02 01:00
1959-09-05 12:00",中度,965,45,250,---,12
1959,195910,凱蒂,KATE,---,"1959-08-26 18:00
1959-08-28 12:00",輕度,998,20,150,---,4
1959,195909,瓊安,JOAN,3,"1959-08-28 12:00
1959-08-31 12:00",強烈,885,75,600,---,13
1959,195908,艾瑞絲,IRIS,5,"1959-08-20 18:00
1959-08-23 12:00",中度,960,45,250,---,12
1959,195906,艾倫,ELLEN,---,"1959-08-04 00:00
1959-08-06 00:00",中度,965,45,300,---,6
1959,195905,畢莉,BILLIE,1,"1959-07-13 00:00
1959-07-16 18:00",中度,965,45,300,---,11
1959,195904,魏達,WILDA,---,"1959-07-04 23:00
1959-07-06 12:00",輕度,995,25,150,---,4
1958,195814,海倫,HELEN,---,"1958-09-12 00:00
1958-09-15 12:00",強烈,920,55,300,---,8
1958,195813,葛瑞絲,GRACE,1,"1958-09-01 12:00
1958-09-04 23:00",強烈,910,75,350,---,13
1958,195807,溫妮,WINNIE,3,"1958-07-13 12:00
1958-07-17 00:00",強烈,925,50,350,---,12
1958,195805,蒂絲,TESS,---,"1958-07-05 00:00
1958-07-06 00:00",中度,995,30,150,---,3
