表010、青年勞工平均每週工作時數─按性別、年齡、教育程度、                      大專以上科系別分,,,,,,,,
,,,中華民國九十五年七月,,,,,單位：人，%，小時
項    目    別,加  權  後        樣  本  數,合    計,40小時     以    下,40小時,"40小時以上~未滿
42小時",42小時,42小時     以    上,"平  均
10年以上, 56 , 100.00 , 5.82 , 48.93 , 4.30 , 3.86 , 37.09 , 42.89 
  每 月 收 入    ,,,,,,,,
"未滿15,840元", 222 , 100.00 , 59.47 , 21.32 , - , 1.79 , 17.42 , 32.09 
"15,840 ~未滿2萬元", 356 , 100.00 , 10.71 , 44.61 , 2.08 , 4.97 , 37.62 , 41.69 
2萬~未滿2萬5千元, 923 , 100.00 , 9.56 , 41.24 , 1.10 , 5.31 , 42.79 , 42.12 
2萬5千~未滿3萬元," 1,134 ", 100.00 , 7.05 , 43.62 , 1.86 , 6.81 , 40.66 , 42.37 
3萬~未滿3萬5千元," 1,089 ", 100.00 , 5.69 , 46.06 , 1.16 , 5.31 , 41.78 , 42.74 
3萬5千~未滿4萬元, 538 , 100.00 , 4.32 , 38.94 , 1.56 , 6.84 , 48.34 , 43.91 
4萬~未滿4萬5千元, 378 , 100.00 , 3.85 , 42.67 , 0.92 , 10.22 , 42.35 , 43.06 
4萬5千~未滿5萬元, 147 , 100.00 , 5.44 , 41.85 , - , 7.66 , 45.04 , 44.20 
5萬元以上, 181 , 100.00 , 5.25 , 39.79 , 2.18 , 12.99 , 39.79 , 43.89 
  職          業    ,,,,,,,,
企業主管及經理人員, 75 , 100.00 , 8.21 , 40.31 , - , 3.70 , 47.78 , 43.64 
專業人員, 863 , 100.00 , 3.73 , 47.10 , 0.81 , 10.22 , 38.14 , 42.63 
技術員及助理專業人員," 1,523 ", 100.00 , 6.24 , 44.32 , 1.50 , 6.54 , 41.41 , 42.76 
事務工作人員," 1,107 ", 100.00 , 9.00 , 48.26 , 2.16 , 5.40 , 35.18 , 41.32 
服務工作人員及售貨員, 638 , 100.00 , 23.26 , 24.00 , 0.77 , 5.13 , 46.85 , 42.03 
農林漁牧工作人員, 13 , 100.00 , 8.28 , 55.48 , - , 1.52 , 34.73 , 44.29 
技術工及有關工作人員, 267 , 100.00 , 4.40 , 39.26 , - , 5.01 , 51.34 , 43.59 
機械設備操作及組裝工, 268 , 100.00 , 7.16 , 35.05 , 2.13 , 4.70 , 50.96 , 42.28 
非技術工及體力工, 214 , 100.00 , 19.78 , 38.51 , 1.30 , 3.17 , 37.23 , 39.63 
,,,,,,,,
-13-,,,,,,,,
