表3 青年勞工每週,,,,,,,正常工作時數,,,,,
,,,,, 中華民國 ,, 103年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30~未滿35
小時","35~未滿40
小時",,"40~未滿41
小時","41~未滿42
小時","42~未滿44
小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,,,,
機械設備操作及組裝人員, 222 , 100.00 , 0.98 , 2.63 , - ,, 47.64 , 1.19 , 3.77 , 43.78 , 5.31 , 8.18 
基層技術工及勞力工, 167 , 100.00 , 6.25 , 2.19 , 1.74 ,, 53.06 , - , 1.77 , 34.99 , 5.34 , 7.84 
說明：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,
表3 青年勞工每週,,,,,,,正常工作時數(續),,,,,
,,,,, 中華民國 ,, 103年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30~未滿35
小時","35~未滿40
小時",,"40~未滿41
小時","41~未滿42
小時","42~未滿44
小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,,,,
總計," 4,034 ", 100.00 , 2.55 , 2.08 , 1.27 ,, 58.07 , 0.37 , 4.41 , 31.27 , 5.18 , 8.14 
工作地區,,,,,,,,,,,,
工作地區," 1,782 ", 100.00 , 2.45 , 2.12 , 1.13 ,, 60.87 , 0.53 , 4.94 , 27.96 , 5.13 , 8.17 
中部地區," 1,049 ", 100.00 , 3.07 , 1.94 , 1.39 ,, 53.49 , 0.08 , 3.96 , 36.08 , 5.25 , 8.07 
南部地區, 911 , 100.00 , 2.32 , 2.17 , 1.63 ,, 54.67 , 0.22 , 3.13 , 35.86 , 5.28 , 8.10 
東部地區, 292 , 100.00 , 2.09 , 0.45 , - ,, 56.97 , - , 7.24 , 33.25 , 5.26 , 8.11 
規模,,,,,,,,,,,,
29人以下," 1,414 ", 100.00 , 3.96 , 2.11 , 1.62 ,, 51.59 , 0.44 , 3.05 , 37.24 , 5.27 , 8.06 
30~49人, 518 , 100.00 , 1.14 , 2.79 , 1.30 ,, 59.83 , - , 3.83 , 31.12 , 5.18 , 8.09 
50~199人, 851 , 100.00 , 2.84 , 0.87 , 1.33 ,, 65.61 , 0.68 , 4.88 , 23.78 , 5.15 , 8.05 
200~499人, 634 , 100.00 , 1.55 , 1.69 , 1.82 ,, 64.96 , 0.33 , 5.15 , 24.50 , 5.13 , 8.13 
500人及以上, 617 , 100.00 , 1.31 , 2.65 , 0.57 ,, 59.27 , 0.21 , 5.78 , 30.22 , 5.11 , 8.30 
總工作年資,,,,,,,,,,,,
未滿1年, 381 , 100.00 , 5.46 , 2.45 , 1.28 ,, 56.35 , 0.81 , 4.28 , 29.38 , 5.17 , 8.01 
1~未滿3年," 1,420 ", 100.00 , 2.96 , 2.30 , 1.78 ,, 58.89 , 0.23 , 3.37 , 30.47 , 5.18 , 8.12 
3~未滿6年," 1,536 ", 100.00 , 1.74 , 2.12 , 1.06 ,, 59.56 , 0.31 , 4.89 , 30.31 , 5.17 , 8.17 
6~未滿10年, 589 , 100.00 , 0.98 , 1.23 , 0.24 ,, 54.91 , 0.54 , 6.63 , 35.48 , 5.23 , 8.21 
10年及以上, 108 , 100.00 , 0.78 , - , 1.59 ,, 46.97 , - , 2.38 , 48.28 , 5.38 , 8.20 
每月收入,,,,,,,,,,,,
"未滿19,273元", 228 , 100.00 , 31.55 , 21.36 , 11.51 ,, 26.92 , - , 0.93 , 7.73 , 4.86 , 6.63 
"19,273~未滿2萬元", 76 , 100.00 , - , 0.03 , 3.97 ,, 71.84 , - , 0.92 , 23.24 , 5.22 , 8.06 
2萬~未滿2萬5千元, 880 , 100.00 , 0.29 , 1.92 , 0.98 ,, 55.91 , 0.31 , 3.88 , 36.71 , 5.29 , 8.16 
2萬5千~未滿3萬元," 1,121 ", 100.00 , 0.09 , 0.18 , 0.47 ,, 60.41 , 0.19 , 4.42 , 34.24 , 5.23 , 8.25 
3萬~未滿3萬5千元, 914 , 100.00 , 0.32 , 0.05 , - ,, 64.17 , 0.51 , 5.08 , 29.87 , 5.16 , 8.28 
3萬5千~未滿4萬元, 385 , 100.00 , 0.25 , - , - ,, 70.54 , - , 3.46 , 25.74 , 5.15 , 8.30 
4萬~未滿4萬5千元, 233 , 100.00 , - , - , - ,, 61.11 , 1.02 , 4.09 , 33.78 , 5.12 , 8.39 
4萬5千~未滿5萬元, 93 , 100.00 , - , - , - ,, 43.33 , 0.62 , 9.07 , 46.99 , 5.23 , 8.60 
5萬元以上, 104 , 100.00 , - , - , - ,, 49.24 , 1.98 , 12.83 , 35.95 , 5.14 , 8.39 
勞工工作型態,,,,,,,,,,,,
全日工時," 3,696 ", 100.00 , - , - , - ,, 61.61 , 0.41 , 4.66 , 33.31 , 5.21 , 8.28 
部分工時, 338 , 100.00 , 22.43 , 18.25 , 11.14 ,, 30.42 , - , 2.41 , 15.35 , 4.98 , 7.01 
勞動契約性質,,,,,,,,,,,,
定期勞動契約, 734 , 100.00 , 3.66 , 4.11 , 1.19 ,, 55.75 , 0.20 , 3.19 , 31.90 , 5.20 , 8.04 
不定期勞動契約," 3,300 ", 100.00 , 2.32 , 1.66 , 1.28 ,, 58.54 , 0.40 , 4.65 , 31.14 , 5.18 , 8.16 
勞工工作性質,,,,,,,,,,,,
一般僱用," 3,938 ", 100.00 , 2.25 , 2.09 , 1.16 ,, 58.38 , 0.38 , 4.50 , 31.24 , 5.19 , 8.15 
承攬, 28 , 100.00 , 32.80 , 1.27 , 5.55 ,, 33.63 , - , 1.04 , 25.72 , 4.92 , 7.45 
派遣人力, 68 , 100.00 , 3.82 , 1.74 , 4.64 ,, 53.30 , - , 1.25 , 35.25 , 5.19 , 8.08 
