表3 青年勞工每週,,,,,,,工作時數,,,,,
,,,,, 中華民國 ,, 105年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30~未滿
35小時","35~未滿
40小時",,"40~未滿
41小時","41~未滿
42小時","42~未滿
44小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,,,,
技藝有關工作人員, 121 , 100.00 , 4.02 , 2.71 , 1.87 ,, 77.30 , -   , 0.24 , 13.86 , 5.05 , 7.88 
機械設備操作及組裝人員, 149 , 100.00 , 2.70 , 1.82 , 2.15 ,, 82.06 , -   , 1.31 , 9.96 , 5.03 , 8.05 
基層技術工及勞力工, 143 , 100.00 , 11.16 , 4.23 , 5.08 ,, 62.92 , -   , 1.37 , 15.24 , 4.94 , 7.54 
說明：專科以上科系可複選。,,,,,,,,,,,,
表3 青年勞工每週,,,,,,,工作時數(續),,,,,
,,,,, 中華民國 ,, 105年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30~未滿
35小時","35~未滿
40小時",,"40~未滿
41小時","41~未滿
42小時","42~未滿
44小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,,,,
總計," 4,047 ", 100.00 , 6.46 , 2.76 , 3.77 ,, 70.19 , 0.06 , 1.86 , 14.89 , 5.01 , 7.89 
工作地區,,,,,,,,,,,,
北部地區," 1,726 ", 100.00 , 7.35 , 3.12 , 3.55 ,, 70.91 , 0.09 , 1.92 , 13.06 , 4.97 , 7.86 
中部地區," 1,044 ", 100.00 , 3.43 , 2.52 , 4.20 ,, 71.13 , -   , 2.09 , 16.62 , 5.08 , 7.96 
南部地區, 951 , 100.00 , 6.99 , 1.98 , 3.93 ,, 67.34 , -   , 1.35 , 18.40 , 5.04 , 7.88 
東部地區, 326 , 100.00 , 5.71 , 1.27 , 5.33 ,, 61.79 , 0.98 , 2.82 , 22.08 , 5.16 , 7.92 
規模,,,,,,,,,,,,
29人以下," 1,107 ", 100.00 , 7.47 , 3.25 , 3.38 ,, 63.63 , -   , 2.54 , 19.74 , 5.04 , 7.84 
30~49人, 494 , 100.00 , 7.91 , 2.61 , 2.29 ,, 70.87 , -   , 1.81 , 14.51 , 4.99 , 7.89 
50~199人, 911 , 100.00 , 6.23 , 1.56 , 3.65 ,, 77.53 , 0.03 , 1.08 , 9.91 , 5.02 , 7.78 
200~499人, 670 , 100.00 , 5.96 , 2.83 , 2.20 ,, 76.31 , 0.05 , 0.81 , 11.85 , 4.96 , 7.97 
500人及以上, 865 , 100.00 , 5.04 , 2.81 , 5.32 ,, 72.43 , 0.18 , 1.77 , 12.45 , 4.97 , 7.98 
總工作年資,,,,,,,,,,,,
未滿1年, 491 , 100.00 , 15.14 , 4.62 , 3.42 ,, 64.26 , -   , 1.68 , 10.87 , 4.90 , 7.47 
