year,county,cause,sex,age_code,N
91,0101,01,1,16,1
91,0101,01,1,19,2
91,0101,03,1,14,1
91,0101,03,1,18,1
91,0101,03,1,21,1
91,0101,04,1,16,1
91,0101,04,1,17,1
91,0101,04,1,18,1
91,0101,04,1,19,2
91,0101,04,1,22,2
91,0101,05,2,14,2
91,0101,05,1,15,1
91,0101,05,2,15,1
91,0101,05,2,16,2
91,0101,05,2,17,2
91,0101,05,1,17,1
91,0101,05,1,18,1
91,0101,05,2,19,2
91,0101,05,1,20,2
91,0101,05,2,20,2
91,0101,05,1,21,2
91,0101,05,2,21,1
91,0101,05,2,22,1
91,0101,05,1,23,2
91,0101,05,2,23,1
91,0101,05,2,24,1
91,0101,05,1,24,1
91,0101,07,2,14,1
91,0101,07,1,16,2
91,0101,07,1,17,3
91,0101,07,1,18,1
91,0101,07,2,18,1
91,0101,07,2,19,3
91,0101,07,2,20,1
91,0101,07,1,20,4
91,0101,07,1,21,2
91,0101,07,1,22,2
91,0101,07,2,22,2
91,0101,07,1,23,2
91,0101,07,2,23,2
91,0101,07,1,24,2
91,0101,07,2,24,3
91,0101,07,1,25,1
91,0101,08,1,12,1
91,0101,08,1,14,1
91,0101,08,1,15,4
91,0101,08,2,15,1
91,0101,08,1,16,3
91,0101,08,1,17,1
91,0101,08,2,17,1
91,0101,08,2,18,1
91,0101,08,1,18,2
91,0101,08,2,19,2
91,0101,08,1,19,4
91,0101,08,1,20,5
91,0101,08,2,20,3
91,0101,08,2,21,1
91,0101,08,1,21,5
91,0101,08,1,22,2
91,0101,08,2,22,1
91,0101,08,1,23,3
91,0101,09,1,13,1
91,0101,09,2,16,1
91,0101,09,2,17,1
91,0101,09,1,19,1
91,0101,09,1,20,1
91,0101,09,2,21,1
91,0101,09,1,23,1
91,0101,10,1,15,2
91,0101,10,2,15,2
91,0101,10,1,19,3
91,0101,10,1,22,1
91,0101,10,2,22,1
91,0101,10,1,23,1
91,0101,12,1,16,1
91,0101,14,1,12,1
91,0101,14,2,14,1
91,0101,14,2,15,1
91,0101,14,1,15,1
91,0101,14,1,16,2
91,0101,14,2,16,1
91,0101,14,2,17,3
91,0101,14,2,18,3
91,0101,14,1,18,4
91,0101,14,1,19,1
91,0101,14,2,19,5
91,0101,14,2,20,4
91,0101,14,1,20,15
91,0101,14,1,21,12
91,0101,14,2,21,3
91,0101,14,1,22,4
91,0101,14,2,22,2
91,0101,14,1,23,8
91,0101,14,2,23,3
91,0101,16,1,18,1
91,0101,17,1,20,1
91,0101,19,1,23,1
91,0101,20,2,12,1
91,0101,20,2,14,1
91,0101,20,2,15,1
91,0101,20,2,16,2
91,0101,20,2,17,3
91,0101,20,2,18,2
91,0101,20,2,20,3
91,0101,20,2,21,1
91,0101,20,2,23,1
91,0101,20,2,25,1
91,0101,22,2,16,1
91,0101,22,2,18,1
91,0101,22,2,19,1
91,0101,22,2,20,1
91,0101,22,2,21,1
91,0101,25,2,19,1
91,0101,25,2,20,1
91,0101,25,2,22,1
91,0101,26,1,19,1
91,0101,26,1,20,1
91,0101,26,1,21,1
91,0101,26,1,22,2
91,0101,26,1,23,2
91,0101,29,1,18,1
91,0101,29,1,21,1
91,0101,29,1,22,1
91,0101,30,1,16,1
91,0101,30,2,19,1
91,0101,30,1,20,1
91,0101,30,2,23,2
91,0101,32,2,14,1
91,0101,32,2,15,1
91,0101,32,1,16,1
91,0101,32,1,19,1
91,0101,32,2,20,1
91,0101,32,1,21,1
91,0101,33,2,15,1
91,0101,34,2,21,2
91,0101,35,1,07,1
91,0101,35,1,18,1
91,0101,35,2,20,2
91,0101,35,1,20,1
91,0101,35,2,22,3
91,0101,35,1,24,1
91,0101,36,1,24,1
91,0101,37,1,10,1
91,0101,37,2,15,1
91,0101,37,2,19,1
91,0101,37,1,21,1
91,0101,37,1,23,2
91,0101,38,1,13,1
91,0101,38,1,14,1
91,0101,38,2,15,1
91,0101,38,2,18,1
91,0101,38,2,21,2
91,0101,38,1,21,2
91,0101,38,2,23,1
91,0101,38,2,24,1
91,0102,01,2,14,1
91,0102,01,1,15,1
91,0102,01,1,16,1
91,0102,01,1,17,2
91,0102,01,1,18,1
91,0102,01,1,20,2
91,0102,01,1,21,1
91,0102,02,1,19,2
91,0102,03,1,14,1
91,0102,03,1,18,1
91,0102,04,1,14,3
91,0102,04,1,15,2
91,0102,04,1,16,1
91,0102,04,1,19,1
91,0102,04,1,20,1
91,0102,04,1,22,1
91,0102,04,2,22,1
91,0102,05,2,14,1
91,0102,05,1,14,2
91,0102,05,1,17,1
91,0102,05,2,18,2
91,0102,05,1,20,4
91,0102,05,2,20,2
91,0102,05,1,21,8
91,0102,05,2,21,2
91,0102,05,1,22,7
91,0102,05,2,22,1
91,0102,05,1,23,3
91,0102,05,2,23,4
91,0102,05,1,24,2
91,0102,06,2,13,1
91,0102,06,1,22,1
91,0102,06,1,23,1
91,0102,07,1,12,1
91,0102,07,1,14,1
91,0102,07,1,15,2
91,0102,07,1,16,1
91,0102,07,2,16,1
91,0102,07,1,17,1
91,0102,07,2,17,1
91,0102,07,2,18,2
91,0102,07,1,18,4
91,0102,07,1,19,4
91,0102,07,1,20,4
91,0102,07,2,20,3
