year,county,cause,sex,age_code,N
100,0101,01,1,13,1
100,0101,01,1,14,2
100,0101,01,1,16,1
100,0101,01,1,18,1
100,0101,01,1,21,2
100,0101,01,1,23,1
100,0101,01,2,24,1
100,0101,02,2,23,1
100,0101,03,2,15,1
100,0101,03,1,16,1
100,0101,03,2,17,1
100,0101,03,1,18,1
100,0101,03,1,20,1
100,0101,04,1,14,1
100,0101,04,2,15,1
100,0101,04,1,15,1
100,0101,04,1,16,1
100,0101,04,1,17,2
100,0101,04,1,19,1
100,0101,04,2,21,1
100,0101,04,1,22,1
100,0101,04,1,23,1
100,0101,05,1,12,1
100,0101,05,1,14,1
100,0101,05,1,15,1
100,0101,05,2,17,1
100,0101,05,1,17,2
100,0101,05,1,18,2
100,0101,05,2,18,1
100,0101,05,2,19,1
100,0101,05,1,19,1
100,0101,05,2,20,1
100,0101,05,1,20,1
100,0101,05,2,21,1
100,0101,05,2,22,3
100,0101,05,1,22,3
100,0101,05,2,23,1
100,0101,05,1,23,1
100,0101,05,1,24,3
100,0101,05,1,26,1
100,0101,06,2,18,1
100,0101,07,1,14,2
100,0101,07,1,16,1
100,0101,07,1,17,4
100,0101,07,2,17,3
100,0101,07,2,18,5
100,0101,07,1,18,4
100,0101,07,1,19,4
100,0101,07,2,19,3
100,0101,07,2,20,1
100,0101,07,1,20,3
100,0101,07,2,21,3
100,0101,07,1,21,5
100,0101,07,2,22,2
100,0101,07,1,22,5
100,0101,07,1,23,4
100,0101,07,2,23,1
100,0101,07,2,24,1
100,0101,07,1,24,1
100,0101,07,2,25,1
100,0101,07,1,25,1
100,0101,08,1,13,1
100,0101,08,1,14,1
100,0101,08,1,15,2
100,0101,08,1,16,5
100,0101,08,1,17,5
100,0101,08,2,17,1
100,0101,08,1,18,2
100,0101,08,2,18,1
100,0101,08,2,19,5
100,0101,08,1,19,6
100,0101,08,1,20,7
100,0101,08,1,21,2
100,0101,08,2,21,5
100,0101,08,2,22,4
100,0101,08,1,22,3
100,0101,08,2,23,2
100,0101,08,1,23,3
100,0101,08,1,24,2
100,0101,09,1,16,1
100,0101,09,1,19,1
100,0101,09,1,21,1
100,0101,10,2,17,1
100,0101,10,1,17,1
100,0101,10,2,18,1
100,0101,10,1,18,1
100,0101,10,2,19,3
100,0101,10,1,20,1
100,0101,10,2,20,2
100,0101,10,1,21,1
100,0101,10,2,21,3
100,0101,10,1,22,2
100,0101,10,2,23,1
100,0101,12,1,20,1
100,0101,12,1,22,1
100,0101,13,1,15,3
100,0101,13,2,15,1
100,0101,13,2,16,2
100,0101,13,1,16,3
100,0101,13,2,17,2
100,0101,13,1,17,6
100,0101,13,2,18,4
100,0101,13,1,18,3
100,0101,13,2,19,3
100,0101,13,1,19,6
100,0101,13,2,20,5
100,0101,13,1,20,5
100,0101,13,2,21,6
100,0101,13,1,21,8
100,0101,13,1,22,11
100,0101,13,2,23,2
100,0101,13,1,23,5
100,0101,13,2,24,2
100,0101,13,1,24,4
100,0101,14,1,20,1
100,0101,17,2,16,1
100,0101,17,2,21,2
100,0101,18,1,15,1
100,0101,18,1,17,1
100,0101,19,2,12,2
100,0101,19,2,13,1
100,0101,19,2,14,2
100,0101,19,2,15,5
100,0101,19,2,16,6
100,0101,19,2,17,1
100,0101,19,2,18,3
100,0101,19,2,19,1
100,0101,19,2,21,1
100,0101,20,2,14,1
100,0101,20,2,19,1
100,0101,20,2,22,1
100,0101,21,2,18,1
100,0101,22,2,14,1
100,0101,22,2,16,1
100,0101,22,2,18,1
100,0101,22,2,21,1
100,0101,23,1,17,1
100,0101,23,1,20,1
100,0101,23,1,21,3
100,0101,23,1,22,1
100,0101,23,1,23,5
100,0101,23,1,24,3
