code,discipline,master_salary,碩士在職專班 ,university_salary
8101,餐旅服務學類,42816,63229,29143
8102,觀光休閒學類,43880,77737,29032
8103,競技運動學類,65291,78753,37390
8104,運動科技學類,48511,55852,28255
8105,運動休閒及休閒管理學類,50942,77795,29458
8106,生活應用科學學類,40371,79667,28232
8107,服飾學類,42519,65060,30793
8108,美容學類,34498,42747,29181
8199,其他民生學類,41129,77287,29236
