code,discipline,master_salary,碩士在職專班 ,university_salary
7601,身心障礙服務學類,56721,0,0
7602,老年服務學類,46272,85794,33114
7603,社會工作學類,47556,70088,32770
7604,兒童保育學類,49013,68167,26541
7699,其他社會服務學類,0,0,0
