表32、青年勞工初次尋職期間─按性別、年齡、教育程度、工作年資別分,,,,,,,,,,
,,,,中華民國,97年10月,,,,,單位：人，%，月
項    目    別,樣 本 數,合    計,立即就業,1個月內,1~3個月(含),3~6個月(含),6~ 9個月(含),9~12個月(含),1年以上,"平均尋職
期間"
,,,,,,,,,,
,,,,,,,,,,
  50人～199人, 678 , 100.00 , 9.41 , 46.54 , 31.41 , 8.54 , 2.65 , 0.85 , 0.61 , 1.78 
  200人～499人, 434 , 100.00 , 7.76 , 49.34 , 32.59 , 7.29 , 1.79 , 0.72 , 0.52 , 1.68 
  500人以上," 1,208 ", 100.00 , 9.30 , 42.67 , 33.60 , 11.54 , 1.59 , 1.28 , 0.02 , 1.74 
註：1~3個月(含)係指超過1個月至3個月，3~6個月(含)為超過3個月以上至6個月者，餘類推。,,,,,,,,,,
,,,,,,,,,,
"表36、青年勞工初次尋職期間─按職業、工作性質、工作年資、
每月收入別分",,,,,,,,,,
,,,,中華民國,97年10月,,,,,單位：人，%，月
項    目    別,樣 本 數,合    計,立即就業,1個月內,1~3個月(含),3~6個月(含),6~ 9個月(含),9~12個月(含),1年以上,"平均尋職
期間"
,,,,,,,,,,
,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 8.88 , 46.41 , 30.91 , 10.02 , 2.22 , 1.03 , 0.52 , 1.78 
  職業別,,,,,,,,,,
  行政、企業主管及經理人員, 62 , 100.00 , 8.37 , 56.31 , 23.38 , 7.46 , 4.47 , - , - , 1.20 
  專業人員, 548 , 100.00 , 10.78 , 46.44 , 30.95 , 10.57 , 0.63 , 0.45 , 0.18 , 1.61 
  技術員及助理專業人員, 862 , 100.00 , 9.12 , 44.30 , 30.49 , 11.80 , 2.50 , 1.01 , 0.78 , 1.97 
  事務工作人員," 1,072 ", 100.00 , 8.09 , 42.77 , 34.44 , 10.52 , 2.65 , 0.96 , 0.57 , 1.83 
  服務工作人員及售貨員, 858 , 100.00 , 8.80 , 52.47 , 28.42 , 6.71 , 1.47 , 1.47 , 0.66 , 1.54 
  農林漁牧工作人員, 7 , 100.00 , 23.75 , 41.01 , 4.62 , 30.23 , 0.39 , - , - , 2.27 
  技術工及有關工作人員, 226 , 100.00 , 5.56 , 51.96 , 25.55 , 11.72 , 4.32 , 0.80 , 0.10 , 1.83 
  機械設備操作及組裝工, 244 , 100.00 , 9.41 , 40.77 , 33.72 , 11.11 , 3.22 , 1.72 , 0.06 , 2.16 
  非技術工及體力工, 133 , 100.00 , 10.59 , 46.81 , 30.14 , 8.66 , 2.04 , 1.09 , 0.66 , 1.83 
  工作型態,,,,,,,,,,
  全日工作," 3,571 ", 100.00 , 8.79 , 45.81 , 31.07 , 10.75 , 2.25 , 0.90 , 0.44 , 1.79 
  部分工時工作, 441 , 100.00 , 9.67 , 51.28 , 29.67 , 4.11 , 2.03 , 2.12 , 1.13 , 1.68 
  僱用類型,,,,,,,,,,
  一般員工," 3,833 ", 100.00 , 9.16 , 46.08 , 31.07 , 9.94 , 2.26 , 0.96 , 0.53 , 1.77 
  派遣員工, 179 , 100.00 , 2.86 , 53.48 , 27.58 , 11.68 , 1.49 , 2.73 , 0.19 , 1.89 
  工作年資別,,,,,,,,,,
