七股里
十份里
三股里
大埕里
大寮里
大潭里
中寮里
永吉里
玉成里
竹港里
竹橋里
西寮里
城內里
後港里
看坪里
頂山里
溪南里
義合里
樹林里
篤加里
龍山里
糠榔里
鹽埕里
下營里
大屯里
大埤里
中營里
仁里里
甲中里
宅內里
西連里
後街里
紅厝里
茅港里
賀建里
開化里
新興里
營前里
二溪里
大內里
內江里
內郭里
石林里
石城里
石湖里
曲溪里
頭社里
環湖里
山上里
平陽里
玉峰里
明和里
南洲里
新莊里
豐德里
一甲里
二行里
三甲里
上崙里
土庫里
大甲里
中生里
中洲里
仁和里
仁愛里
仁義里
仁德里
太子里
田厝里
成功里
保安里
後壁里
新田里
七甲里
二甲里
大丘里
中社里
六甲里
水林里
王爺里
甲東里
甲南里
菁埔里
龍湖里
龜港里
三光里
中樞里
仁里里
北門里
永華里
永隆里
玉港里
東壁里
保吉里
慈安里
錦湖里
雙春里
鯤江里
二寮里
中正里
內庄里
左鎮里
光和里
岡林里
草山里
睦光里
榮和里
澄山里
二王里
三民里
三合里
大橋里
大灣里
中華里
中興里
五王里
六合里
王行里
北灣里
正強里
永康里
甲頂里
光復里
安康里
成功里
西勢里
西橋里
西灣里
尚頂里
東橋里
東灣里
南灣里
建國里
埔園里
烏竹里
神洲里
崑山里
勝利里
復國里
復華里
復興里
新樹里
網寮里
蔦松里
龍潭里
鹽行里
鹽洲里
三和里
三埔里
中正里
玉井里
玉田里
竹圍里
沙田里
望明里
層林里
豐里里
大竹里
大林里
內角里
六溪里
仙草里
外角里
永安里
玉豐里
甘宅里
白河里
竹門里
庄內里
汴頭里
秀祐里
昇安里
河東里
虎山里
崁頭里
草店里
崎內里
詔安里
廣安里
蓮潭里
關嶺里
中沙里
中榮里
六嘉里
安加里
安定里
保西里
南安里
海寮里
港口里
港尾里
港南里
新吉里
管寮里
蘇林里
蘇厝里
永樂里
竹林里
西港里
金砂里
南海里
後營里
港東里
新復里
劉厝里
慶安里
營西里
檨林里
三協里
子龍里
六安里
民安里
安西里
佳化里
忠仁里
東寧里
建南里
海澄里
蚶寮里
通興里
頂部里
溪洲里
嘉福里
漳洲里
興化里
龍安里
營頂里
禮化里
鎮山里
二鎮里
大崎里
西庄里
官田里
拔林里
東庄里
社子里
南部里
渡頭里
湖山里
隆本里
隆田里
嘉南里
三榮里
大客里
水雲里
東山里
東中里
東正里
東河里
東原里
林安里
青山里
南勢里
南溪里
科里里
高原里
聖賢里
嶺南里
小崙里
中坑里
北平里
北寮里
玉山里
西埔里
東和里
南化里
關山里
土溝里
仕安里
平安里
竹新里
長安里
侯伯里
後部里
後壁里
崁頂里
烏樹里
頂安里
頂長里
菁豊里
菁寮里
新東里
新嘉里
嘉民里
嘉田里
嘉苳里
福安里
墨林里
人和里
八翁里
士林里
大農里
中埕里
太康里
光福里
旭山里
東昇里
果毅里
重溪里
神農里
篤農里
三吉里
仁和里
北埔里
平沙里
玉山里
西和里
西華里
忠興里
長沙里
長榮里
保源里
苓和里
將富里
將貴里
嘉昌里
廣山里
鯤溟里
鯤鯓里
大山里
大埕里
小埤里
中民里
中興里
北勢里
安正里
安西里
安東里
安業里
東角里
油車里
保安里
南勢里
巷口里
晉江里
海埔里
埤頭里
莊禮里
麻口里
港尾里
新建里
寮部里
穀興里
磚井里
興農里
龍泉里
總榮里
謝安里
小新里
什乃里
六分里
六德里
文正里
文昌里
牛庄里
北關里
田寮里
光文里
西關里
坐駕里
東昌里
東隆里
東關里
南關里
胡厝里
胡家里
溪美里
嘉北里
嘉南里
大坑里
山腳里
中央里
太平里
北勢里
全興里
竹林里
羊林里
那拔里
協興里
東榮里
武安里
知義里
崙頂里
清水里
唪口里
礁坑里
豐榮里
護國里
觀音里
三舍里
大社里
大洲里
大營里
永就里
社內里
港墘里
新市里
新和里
潭頂里
豐華里
三仙里
土庫里
大宏里
中營里
五興里
太北里
太南里
王公里
民生里
民榮里
民權里
永生里
好平里
角帶里
姑爺里
延平里
忠政里
南紙里
南興里
埤寮里
新北里
新南里
嘉芳里
興安里
興業里
舊部里
護鎮里
鐵線里
東勢里
密枝里
鹿田里
楠西里
照興里
龜丹里
灣丘里
一秀里
大安里
仁得里
文化里
平西里
平東里
民吉里
白渚里
光明里
光華里
宅港里
百福里
西明里
西進里
宜民里
紅茄里
美和里
美豐里
頂洲里
慈生里
新生里
新芳里
新榮里
煥昌里
達明里
頭港里
土崎里
大坪里
中坑里
牛埔里
石嘈里
崎頂里
楠坑里
龍船里
七甲里
八甲里
大廟里
大潭里
六甲里
文化里
西埔里
沙崙里
武東里
南保里
南興里
後市里
看西里
看東里
崙頂里
許厝里
辜厝里
媽廟里
新厝里
歸仁里
歸南里
下湖里
山西里
五甲里
北花里
布袋里
田中里
東勢里
松腳里
南花里
香洋里
埤頭里
深坑里
新光里
新埔里
龜洞里
關廟里
三生里
下中里
下林里
大莊里
大豐里
中境里
水仙里
水正里
水秀里
田寮里
竹埔里
汫水里
岸內里
武廟里
河南里
南港里
後宅里
孫厝里
桐寮里
飯店里
義稠里
福得里
橋南里
舊營里
歡雅里
大同里
大同里
三民里
大南里
小西里
五妃里
公正里
天后里
仙草里
永華里
永福里
赤嵌里
法華里
青年里
建國里
郡王里
進學里
開山里
萬昌里
福安里
銀同里
力行里
三德里
大山里
大仁里
大和里
大港里
大道里
大豐里
小康里
中樓里
五福里
仁愛里
元寶里
六甲里
公園里
文元里
文成里
正風里
正覺里
永祥里
玉皇里
光武里
安民里
成功里
成德里
和順里
延平里
東興里
長榮里
長德里
重興里
振興里
國姓里
國興里
勝安里
華興里
開元里
新勝里
裕民里
實踐里
賢北里
興北里
興南里
文平里
平安里
平通里
石門里
西門里
育平里
怡平里
金城里
建平里
海頭里
國平里
港仔里
華平里
漁光里
億載里
大安里
公塭里
公親里
四草里
布袋里
安西里
安和里
安東里
安富里
安順里
安慶里
州北里
州南里
佃西里
佃東里
幸福里
東和里
長安里
青草里
南興里
城中里
城北里
城西里
城東里
城南里
砂崙里
原佃里
海西里
海佃里
海東里
海南里
國安里
梅花里
淵中里
淵西里
淵東里
理想里
頂安里
鹿耳里
塭南里
新順里
溪心里
溪北里
溪東里
溪頂里
溪墘里
鳳凰里
學東里
總頭里
顯宮里
鹽田里
三合里
大涼里
中正里
元安里
文賢里
水仙里
民主里
民生里
民權里
光賢里
安海里
西湖里
西賢里
協和里
協進里
保安里
郡西里
普濟里
藥王里
大同里
大智里
大福里
大德里
大學里
小東里
中西里
中興里
仁和里
成大里
自強里
和平里
忠孝里
東光里
東安里
東明里
東門里
東智里
東聖里
虎尾里
後甲里
泉南里
崇文里
崇成里
崇明里
崇信里
崇善里
崇誨里
崇德里
崇學里
莊敬里
圍下里
富強里
富裕里
復國里
復興里
新東里
裕聖里
裕農里
路東里
德光里
德高里
衛國里
龍山里
關聖里
大成里
大忠里
大林里
大恩里
文南里
文華里
日新里
永寧里
田寮里
白雪里
光明里
再興里
同安里
竹溪里
佛壇里
府南里
明亮里
明德里
明興里
松安里
金華里
南都里
南華里
建南里
省躬里
荔宅里
郡南里
國宅里
喜北里
喜東里
喜南里
開南里
新生里
新昌里
新興里
彰南里
廣州里
興中里
興農里
