"ら戳","代","代兜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","キ马","AMB_TEMP","9.6","9.8","9.8","9.9","9.9","9.9","9.8","9.8","11","12","13","13","13","12","12","12","11","10","10","10","10","11","11","11"
"2011/01/01","キ马","CO",".33",".33",".33",".35",".33",".32",".34",".42",".45",".38",".34",".32",".31",".29",".29",".3",".33",".35",".38",".4",".4",".43",".45",".41"
"2011/01/01","キ马","NO","1.6","1.5","1.4","1.7","1.9","1.7","2.2","3.9","9.9","5.1","4.9","4.8","4.9","5.1","4.8","4.5","3.9","2.7","2.8","3.1","2.6","2.5","2.6","2.2"
"2011/01/01","キ马","NO2","14","13","12","14","13","12","14","19","23","13","11","11","11","12","12","14","18","18","23","24","20","21","22","19"
"2011/01/01","キ马","NOx","15","14","13","15","14","14","16","23","32","18","16","16","16","17","17","19","22","21","26","27","23","23","24","21"
"2011/01/01","キ马","O3","29","29","27","26","27","25","23","18","17","27","29","30","32","32","31","27","23","23","18","17","19","17","16","18"
"2011/01/01","キ马","PM10","81","73","55","66","89","82","67","66","68","71","84","90","78","71","62","54","66","65","47","54","68","62","63","68"
"2011/01/01","キ马","PM2.5","14","15","14","15","18","18","18","17","16","17","18","16","14","15","16","14","14","15","16","16","16","17","15","17"
"2011/01/01","キ马","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","キ马","RH","56","56","57","57","58","58","58","59","57","53","50","50","50","52","53","56","58","59","60","59","58","59","59","60"
"2011/01/01","キ马","SO2","5.9","5.4","5.6","6","5.6","5.1","5.5","7.2","8.8","4.5","3.9","4.4","4","4","3.3","3","3.2","3.6","4.3","5.6","5.2","5.1","4.7","3.9"
"2011/01/01","キ马","WD_HR","64","58","60","60","51","51","50","50","53","61","62","55","54","46","49","49","47","50","46","50","54","56","62","60"
"2011/01/01","キ马","WIND_DIREC","65","60","65","61","48","53","51","49","58","52","56","62","43","45","52","53","47","42","48","53","56","69","60","57"
"2011/01/01","キ马","WIND_SPEED","3.2","3.5","3","2.8","4.3","3.8","3.6","3.4","4.6","4.5","5.3","4.6","5.7","5.2","5.5","5.2","5.3","5.8","3.9","4.5","4.2","2.5","3.5","3.1"
"2011/01/01","キ马","WS_HR","3.1","3.1","2.9","2.8","3.3","3.6","3.5","3.4","3.7","3.8","4.3","4.6","4.4","5","4.8","4.7","4.5","4.5","4","3.7","3.8","3.4","3.2","3"
"2011/01/02","キ马","AMB_TEMP","11","11","11","11","11","12","12","12","13","14","15","15","16","16","16","16","15","15","14","14","15","15","15","14"
"2011/01/02","キ马","CO",".39",".37",".34",".33",".33",".31",".32",".4",".44",".4",".39",".39",".37",".35",".34",".34",".41",".48",".5",".49",".43",".43",".41",".45"
"2011/01/02","キ马","NO","2.2","1.5","1.8",".6",".3",".4",".6","1","2.6","3.1","3.3","3","2.8","2.6","2.2","1.8","1.7","1.3","1.2","1.1",".8","1",".9","1"
"2011/01/02","キ马","NO2","16","13","14","13","11","9.9","12","14","14","12","12","12","11","11","11","11","16","23","22","20","17","17","21","22"
"2011/01/02","キ马","NOx","19","15","16","14","12","10","12","15","17","16","15","15","14","14","13","13","17","24","23","22","17","18","21","23"
"2011/01/02","キ马","O3","21","21","22","23","24","27","26","25","26","29","30","32","35","34","34","33","29","22","21","21","25","24","19","18"
"2011/01/02","キ马","PM10","59","54","54","52","49","52","58","56","55","53","57","66","60","62","57","57","53","49","52","48","53","48","46","51"
"2011/01/02","キ马","PM2.5","17","15","15","17","18","17","18","17","17","18","19","19","19","19","21","22","22","23","24","23","21","21","20","21"
"2011/01/02","キ马","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","キ马","RH","60","61","62","62","62","63","63","63","61","59","58","56","54","54","54","56","59","62","66","68","66","65","70","72"
"2011/01/02","キ马","SO2","4.1","5.4","5.4","5.3","4.6","3.7","4.3","4","3.8","3.8","3.7","3","2.1","3","3.1","2.7","2.6","4.6","3.4","2.3","1.9","2.1","3.3","3.4"
"2011/01/02","キ马","WD_HR","59","53","58","59","49","52","58","50","52","58","57","53","58","51","61","51","59","55","53","55","60","53","45","63"
"2011/01/02","キ马","WIND_DIREC","57","55","60","55","51","56","60","50","53","60","61","61","68","43","59","45","60","50","48","59","56","42","43","68"
"2011/01/02","キ马","WIND_SPEED","3.6","3.8","3.3","2.5","3.7","3.1","2.9","3.1","3","3.7","4.4","3.7","4","4.8","4.2","4.3","2.9","3.5","2.9","3.4","2.6","3","2.6","1.5"
"2011/01/02","キ马","WS_HR","2.9","3.4","3","2.1","3.3","3.2","2.4","2.8","2.9","3.7","4.2","4.3","4","3.8","3.7","3.5","3","2.7","2.8","2.7","2.4","2.1","2.3","1.7"
"2011/01/03","キ马","AMB_TEMP","15","14","14","14","14","14","14","14","13","12","12","12","12","12","12","12","12","12","12","12","11","11","11","11"
"2011/01/03","キ马","CO",".38",".38",".36",".39",".41",".52",".32",".45",".39",".34",".34",".36",".38",".44",".4",".42",".44",".5",".48",".46",".42",".4",".39",".38"
"2011/01/03","キ马","NO",".4",".5",".6",".9","1.2","7.3","6.1","3.3","3.8","3.3","3.6","4.2","4.8","4.8#","6.7#","6.5","4.8","5.6","3.9","3.4","3","2.6","2","1.6"
"2011/01/03","キ马","NO2","14","15","20","17","26","27","17","25","20","20","21","22","22","27#","26#","27","27","28","23","23","21","19","19","16"
"2011/01/03","キ马","NOx","15","15","20","18","27","34","23","28","24","24","25","26","27","31#","33#","33","31","33","27","27","24","22","21","17"
"2011/01/03","キ马","O3","24","23","17","15","11","4.1","22","17","17","18","18","16","16","10","13","14","13","12","17","18","21","22","23","29"
"2011/01/03","キ马","PM10","51","37","30","34","40","50","44","38","28","28","36","33","26","","8x","19x","32","30","38","45","46","29","44","49"
"2011/01/03","キ马","PM2.5","19","16","13","12","15","14","13","13","14","13","14","15","12","","10","5","12","11","14","15","17","16","19","21"
"2011/01/03","キ马","RAINFALL","NR","NR","NR","NR","NR","NR","NR",".4","2","1",".4","1",".6",".2","NR","NR","NR","NR","NR",".2",".2",".2","NR","NR"
"2011/01/03","キ马","RH","72","73","75","76","75","77","82","85","87","88","87","88","88","88","88","86","85","85","86","87","88","88","87","85"
"2011/01/03","キ马","SO2","3.2","2.9","4.3","3.3","5.7","5.1","3.4","3.6","2","1.7","1.7","2","3.3","4.5#","4.8","4.1","3.6","3.8","3.6","5","5.3","5","5","4.5"
"2011/01/03","キ马","WD_HR","70","54","60","85","73","159","46","42","48","50","47","45","43","46","47","45","44","47","45","45","44","45","47","46"
