"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"64年 3月","  8,213,366","  7,149,261","  1,842,479","  1,760,943","          －","          －","     10,762","          －","          －","  1,104,376","     10,051","          －","          －","          －","    411,251","         55","    331,814","     26,296","     61,554","    243,964","     10,732","    626,456","    102,939","    251,998","     30,060","          －","    376,233","     71,891","     36,412","    155,291","     15,518","          －","          －","  1,064,105","          －"
"64年 4月","  8,644,330","  7,572,644","  2,097,928","  1,513,167","          －","          －","     10,964","          －","          －","  1,255,433","     11,989","          －","          －","          －","    504,376","         43","    854,398","     13,760","    598,805","    241,833","     10,572","    198,622","    106,063","    298,770","     21,164","          －","    381,175","     74,791","     35,217","    178,468","     19,504","          －","          －","  1,071,686","          －"
"64年 5月","  9,280,291","  8,189,990","  2,234,942","  2,462,102","          －","          －","     14,740","          －","          －","  1,335,548","     25,119","          －","          －","          －","    519,913","        186","    325,443","      7,834","     24,864","    292,745","     76,055","     27,180","    117,615","    310,345","     26,997","          －","    388,946","     77,207","     36,226","    193,494","     17,932","          －","          －","  1,090,301","          －"
"64年 6月"," 10,397,320","  8,778,883","  2,426,260","  1,111,594","          －","          －","     22,075","          －","          －","  1,275,644","     27,669","          －","          －","          －","    571,587","      2,085","    428,026","     17,934","     14,935","    395,157","  1,363,567","     16,601","    117,805","    332,355","     29,433","          －","    458,727","    120,018","     38,414","    416,614","     20,410","          －","          －","  1,618,437","          －"
"64年 7月","  9,954,426","  8,746,633","  2,198,940","  2,820,070","          －","          －","      8,870","          －","          －","  1,343,416","     20,266","          －","          －","          －","    589,991","         33","    412,284","    136,510","      6,183","    269,591","     40,748","     16,897","    126,471","    332,037","     32,751","          －","    404,894","    117,175","     37,911","    226,321","     17,558","          －","          －","  1,207,793","          －"
"64年 8月","  8,225,153","  7,023,243","  1,967,278","    689,020","          －","          －","     12,597","          －","          －","  1,368,423","     26,286","          －","          －","          －","    529,629","        102","  1,132,240","    815,983","      6,014","    310,243","     19,328","     14,793","    135,603","    331,894","     33,440","          －","    356,655","    132,236","     40,542","    211,829","     21,348","          －","          －","  1,201,910","          －"
"64年 9月"," 10,888,026","  9,724,370","  2,469,342","  2,757,634","          －","          －","     15,110","          －","          －","  1,414,080","     17,201","          －","          －","          －","    593,932","         88","    949,353","    577,723","     54,290","    317,340","     14,152","     70,591","    133,833","    343,435","     31,936","          －","    500,077","    132,213","     40,527","    230,446","     10,420","          －","          －","  1,163,656","          －"
"64年 10月","  9,574,064","  8,350,839","  2,443,657","    667,340","          －","          －","     16,874","          －","          －","  1,507,344","     15,329","          －","          －","          －","    553,858","        242","  1,611,096","     45,149","  1,243,560","    322,387","     14,297","     54,670","    139,935","    348,272","     31,028","          －","    525,980","    144,356","     42,281","    222,432","     11,848","          －","          －","  1,223,225","          －"
"64年 11月","  8,076,562","  6,893,779","  2,334,783","    458,481","          －","          －","     14,531","          －","          －","  1,427,915","     12,239","          －","          －","          －","    571,500","        100","    585,313","     30,946","     90,411","    463,956","     64,047","      6,477","    140,971","    366,516","     31,439","          －","    430,628","    159,737","     43,349","    236,514","      9,239","          －","          －","  1,182,783","          －"
"64年 12月"," 10,797,324","  9,554,957","  2,389,125","  1,101,603","          －","          －","     25,834","          －","          －","  1,376,284","     18,737","          －","          －","          －","    591,808","      2,142","    869,536","    272,851","     45,210","    551,475","  1,436,411","      4,290","    173,688","    375,193","     33,492","          －","    477,000","    164,613","     43,820","    451,923","     19,458","          －","          －","  1,242,367","          －"
"65年","130,155,324","114,419,245"," 30,583,530"," 19,574,099","          －","          －","    336,563","          －","          －"," 18,567,098","    235,150","          －","          －","          －","  7,670,468","      6,486"," 12,635,162","  2,707,716","  3,493,402","  6,434,044","  3,634,196","  1,305,529","  2,020,916","  4,854,955","    447,269","          －","  5,793,626","  2,167,627","    571,708","  3,831,466","    183,397","          －","          －"," 15,736,079","          －"
"65年 1月"," 10,989,342","  9,581,481","  2,523,740","  1,793,557","          －","          －","     21,122","          －","          －","  1,448,724","     24,857","          －","          －","          －","    677,335","        250","  1,274,859","    648,249","     14,472","    612,138","     76,518","     46,932","    166,842","    414,691","     32,839","          －","    505,023","    218,373","     44,717","    296,412","     14,690","          －","          －","  1,407,861","          －"
"65年 2月","  8,286,837","  7,204,095","  1,952,236","  1,167,352","          －","          －","     15,425","          －","          －","  1,350,356","     16,971","          －","          －","          －","    564,595","        134","    720,790","     50,942","      8,186","    661,662","     19,806","     44,166","    157,419","    369,330","     41,965","          －","    408,541","     87,489","     40,309","    230,448","     16,763","          －","          －","  1,082,742","          －"
"65年 3月"," 11,141,126","  9,911,279","  2,815,287","  2,000,113","          －","          －","     28,687","          －","          －","  1,415,852","     27,480","          －","          －","          －","    632,936","         67","    774,395","     12,748","     84,559","    677,088","     20,220","    762,459","    154,084","    332,424","     34,030","          －","    426,909","    157,203","     45,295","    268,158","     15,680","          －","          －","  1,229,847","          －"
"65年 4月"," 10,960,487","  9,671,780","  2,398,468","  1,558,861","          －","          －","     25,584","          －","          －","  1,428,178","     22,802","          －","          －","          －","    587,500","        210","  1,852,517","     10,748","  1,318,051","    523,718","     14,152","    215,173","    157,771","    394,009","     36,720","          －","    478,780","    170,629","     48,234","    259,552","     22,640","          －","          －","  1,288,707","          －"
"65年 5月"," 10,910,427","  9,577,598","  2,574,950","  2,445,944","          －","          －","     36,752","          －","          －","  1,633,982","     18,926","          －","          －","          －","    605,368","        369","    542,647","      9,630","     74,142","    458,875","     90,555","     32,072","    167,432","    393,851","     35,307","          －","    463,671","    191,909","     47,408","    280,200","     16,255","          －","          －","  1,332,829","          －"
"65年 6月"," 11,963,440"," 10,742,826","  3,010,277","    912,812","          －","          －","     41,622","          －","          －","  1,850,940","     19,674","          －","          －","          －","    606,911","      2,213","    585,911","     17,052","     42,820","    526,039","  1,568,828","     23,031","    194,558","    434,397","     35,370","          －","    634,807","    242,090","     46,683","    520,075","     12,627","          －","          －","  1,220,614","          －"
"65年 7月"," 12,105,231"," 10,719,229","  2,555,873","  3,484,604","          －","          －","     24,645","          －","          －","  1,438,448","     14,898","          －","          －","          －","    758,650","         51","    714,239","    168,019","     14,495","    531,725","     55,098","     18,557","    184,225","    425,099","     40,242","          －","    470,211","    160,430","     46,683","    315,639","     11,637","          －","          －","  1,386,002","          －"
"65年 8月"," 10,035,646","  8,685,687","  2,642,903","    845,072","          －","          －","     29,779","          －","          －","  1,579,287","     19,336","          －","          －","          －","    619,831","        164","  1,249,399","    695,606","     13,768","    540,025","     28,581","     15,365","    186,918","    403,196","     37,909","          －","    493,532","    186,764","     48,838","    285,931","     12,882","          －","          －","  1,349,959","          －"
"65年 9月"," 10,584,432","  9,236,111","  2,456,506","  1,797,206","          －","          －","     27,535","          －","          －","  1,515,886","      9,930","          －","          －","          －","    640,379","        162","  1,096,427","    586,795","     82,760","    426,872","     12,339","     83,845","    165,509","    404,428","     38,455","          －","    472,278","    175,013","     48,810","    277,166","     14,237","          －","          －","  1,348,321","          －"
"65年 10月"," 10,860,604","  9,436,921","  2,373,496","    743,651","          －","          －","     21,626","          －","          －","  1,625,535","      9,899","          －","          －","          －","    746,481","        218","  2,257,963","     85,742","  1,737,191","    435,030","     11,709","     49,709","    152,650","    407,222","     39,549","          －","    456,873","    173,451","     50,742","    302,257","     13,890","          －","          －","  1,423,683","          －"
"65年 11月","  9,860,650","  8,569,670","  2,518,571","  1,347,278","          －","          －","     32,724","          －","          －","  1,707,476","     18,011","          －","          －","          －","    625,311","         28","    580,789","     48,555","     66,486","    465,748","     97,804","      8,468","    150,798","    428,132","     38,118","          －","    460,594","    202,317","     52,064","    288,133","     13,054","          －","          －","  1,290,980","          －"
"65年 12月"," 12,457,102"," 11,082,568","  2,761,223","  1,477,649","          －","          －","     31,062","          －","          －","  1,572,434","     32,366","          －","          －","          －","    605,171","      2,620","    985,226","    373,630","     36,472","    575,124","  1,638,586","      5,752","    182,710","    448,176","     36,765","          －","    522,407","    201,959","     51,925","    507,495","     19,042","          －","          －","  1,374,534","          －"
"66年","150,954,692","133,001,891"," 35,090,449"," 23,880,910","          －","          －","    486,375","          －","          －"," 21,603,744","    279,333","          －","          －","          －","  8,971,525","      6,103"," 14,157,348","  2,016,501","  4,457,431","  7,683,416","  4,249,053","  1,529,513","  2,173,382","  5,679,386","    521,444","          －","  6,819,044","  2,453,614","    638,026","  4,356,545","    106,097","          －","          －"," 17,952,800","          －"
"66年 1月"," 11,605,191"," 10,163,487","  2,440,846","  2,153,921","          －","          －","     28,900","          －","          －","  1,523,085","     31,164","          －","          －","          －","    922,530","         65","  1,089,268","    520,620","     14,511","    554,137","     66,784","     48,911","    196,750","    494,376","     40,291","          －","    471,115","    209,545","     52,896","    375,831","     17,209","          －","          －","  1,441,704","          －"
"66年 2月","  9,153,404","  7,721,530","  2,110,593","    864,939","          －","          －","     20,430","          －","          －","  1,544,080","     17,381","          －","          －","          －","    643,275","         47","    852,214","     78,363","     16,396","    757,455","     19,431","     56,548","    152,526","    427,212","     43,425","          －","    394,410","    215,921","     52,607","    292,595","     13,896","          －","          －","  1,431,874","          －"
"66年 3月"," 12,798,142"," 11,572,694","  3,068,099","  2,751,475","          －","          －","     23,565","          －","          －","  1,485,963","     20,749","          －","          －","          －","    621,269","         80","    914,401","     13,865","    112,708","    787,828","     18,038","    912,485","    176,312","    408,594","     42,319","          －","    564,060","    212,793","     45,795","    288,475","     18,222","          －","          －","  1,225,448","          －"
"66年 4月"," 13,133,056"," 11,704,458","  2,605,252","  2,040,955","          －","          －","     49,656","          －","          －","  1,904,897","     18,086","          －","          －","          －","    787,326","        185","  2,266,935","      8,750","  1,747,103","    511,082","     13,712","    243,933","    170,154","    463,671","     47,893","          －","    513,364","    177,959","     52,907","    317,593","     29,980","          －","          －","  1,428,598","          －"
"66年 5月"," 12,961,777"," 11,523,350","  2,700,382","  3,537,661","          －","          －","     37,005","          －","          －","  1,880,706","     22,048","          －","          －","          －","    700,306","        124","    676,087","      6,375","     74,371","    595,341","    114,264","     31,258","    190,000","    471,295","     40,022","          －","    508,059","    223,381","     52,418","    320,999","     17,335","          －","          －","  1,438,427","          －"
"66年 6月"," 13,749,985"," 12,281,813","  3,789,731","  1,482,693","          －","          －","     29,686","          －","          －","  1,760,572","     18,500","          －","          －","          －","    658,616","      2,530","    577,510","     25,985","     34,147","    517,378","  1,836,000","     23,593","    197,210","    489,164","     41,502","          －","    524,179","    230,466","     50,190","    560,216","      9,455","          －","          －","  1,468,171","          －"
"66年 7月"," 12,449,390"," 11,030,721","  2,807,102","  2,857,151","          －","          －","     25,786","          －","          －","  1,812,275","     14,997","          －","          －","          －","    877,316","         45","    781,014","    122,077","     25,455","    633,482","     50,759","     21,144","    184,474","    468,404","     42,736","          －","    567,748","    136,524","     50,800","    332,446","          －","          －","          －","  1,418,669","          －"
"66年 8月"," 11,233,697","  9,815,028","  2,778,875","  1,470,037","          －","          －","     52,932","          －","          －","  1,872,305","     18,675","          －","          －","          －","    685,775","        119","  1,052,801","    536,488","     14,316","    501,997","     25,092","     18,869","    214,084","    477,036","     45,465","          －","    542,277","    198,560","     53,591","    308,535","          －","          －","          －","  1,418,669","          －"
"66年 9月"," 13,900,639"," 11,849,597","  2,928,626","  2,935,367","          －","          －","     40,419","          －","          －","  2,013,912","     28,762","          －","          －","          －","    736,855","         88","  1,225,222","    584,502","    109,200","    531,520","     18,198","     86,629","    181,267","    464,645","     43,102","          －","    576,266","    200,351","     53,166","    316,722","          －","          －","          －","  2,051,042","          －"
"66年 10月"," 13,212,682"," 11,674,978","  3,004,980","    909,808","          －","          －","     65,620","          －","          －","  1,868,178","     25,774","          －","          －","          －","    828,264","        171","  3,019,300","    104,069","  2,185,091","    730,140","     14,037","     70,972","    157,019","    469,415","     45,530","          －","    591,533","    212,453","     56,250","    335,674","          －","          －","          －","  1,537,704","          －"
"66年 11月"," 10,850,084","  9,354,145","  3,039,057","    832,463","          －","          －","     65,883","          －","          －","  1,870,058","     27,474","          －","          －","          －","    733,601","        489","    721,330","      8,732","     83,243","    629,355","    106,708","      8,852","    170,402","    505,469","     44,761","          －","    623,334","    222,647","     59,781","    321,836","          －","          －","          －","  1,495,939","          －"
"66年 12月"," 15,906,645"," 14,310,090","  3,816,906","  2,044,440","          －","          －","     46,493","          －","          －","  2,067,713","     35,723","          －","          －","          －","    776,392","      2,160","    981,266","      6,675","     40,890","    933,701","  1,966,030","      6,319","    183,184","    540,105","     44,398","          －","    942,699","    213,014","     57,625","    585,623","          －","          －","          －","  1,596,555","          －"
"67年","191,175,943","170,964,139"," 46,225,335"," 30,169,861","  9,623,465","  4,247,027","    753,809","          －","          －"," 27,435,172","    606,836","          －","          －","          －"," 10,994,627","      6,956"," 20,225,600","    884,878","  6,783,232"," 12,557,490","  5,109,029","  1,825,540","  2,812,937","  7,139,785","    619,418","          －","  8,723,228","  2,444,383","    784,902","  5,086,721","          －","          －","          －"," 20,211,804","          －"
"67年 1月"," 14,295,842"," 12,670,812","  3,289,792","  3,398,969","          －","          －","     32,169","          －","          －","  1,921,391","     40,228","          －","          －","          －","    997,683","         12","    742,828","      9,105","     24,942","    708,781","     74,453","     70,756","    198,576","    594,940","     44,653","          －","    614,878","    202,703","     61,732","    385,049","          －","          －","          －","  1,625,030","          －"
"67年 2月"," 11,048,250","  9,377,658","  2,782,751","  1,011,948","          －","          －","     40,047","          －","          －","  1,672,454","     33,992","          －","          －","          －","    812,536","        102","  1,002,196","      5,810","     15,370","    981,016","     22,371","     71,512","    171,775","    540,787","     55,521","          －","    552,311","    216,351","     58,217","    332,787","          －","          －","          －","  1,670,592","          －"
"67年 3月"," 15,228,828"," 13,801,231","  3,442,652","  3,564,117","          －","          －","     47,154","          －","          －","  1,938,864","     34,085","          －","          －","          －","    662,414","         28","  1,127,822","      6,160","     62,578","  1,059,084","     23,601","  1,032,481","    189,562","    460,340","     50,540","          －","    683,893","    189,565","     60,157","    293,956","          －","          －","          －","  1,427,597","          －"
