"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"71年 6月"," 35,191,775"," 32,084,296","  4,861,733","  6,106,136","  3,935,727","  2,170,409","    257,892","          －","          －","  4,267,056","     38,691","          －","          －","          －","  2,056,545","      9,767","  3,786,734","      2,432","     99,136","  3,685,166","  5,769,408","    102,193","    636,709","  1,237,535","     87,582","          －","  1,088,328","    274,861","         -6","  1,503,132","          －","          －","          －","  3,107,479","          －"
"71年 7月"," 27,111,779"," 24,223,506","  4,389,457","  6,920,372","  4,696,291","  2,224,081","    126,158","          －","          －","  3,773,981","     30,727","          －","          －","          －","  2,252,235","        123","  2,875,927","    232,720","     48,369","  2,594,838","    189,496","     86,906","    325,073","  1,106,274","     81,936","          －","  1,195,690","    150,375","          －","    718,776","          －","          －","          －","  2,888,273","          －"
"71年 8月"," 22,626,463"," 19,444,322","  3,803,081","  2,500,599","  1,214,180","  1,286,419","    154,490","          －","          －","  3,859,273","     34,922","          －","          －","          －","  1,898,563","        484","  3,971,211","    634,308","     36,064","  3,300,839","     82,120","     76,770","    317,049","  1,089,279","     95,588","          －","    752,525","    184,211","          －","    624,157","          －","          －","          －","  3,182,141","          －"
"71年 9月"," 24,249,846"," 20,838,732","  3,915,906","  4,583,122","  2,986,137","  1,596,985","    262,840","          －","          －","  3,741,973","     50,991","          －","          －","          －","  1,888,851","        303","  2,850,237","    300,074","    295,447","  2,254,716","     89,853","    238,773","    283,548","  1,074,622","     97,999","          －","    912,306","    212,831","          －","    634,577","          －","          －","          －","  3,411,114","          －"
"71年 10月"," 26,250,929"," 23,097,814","  4,268,129","  2,547,996","    335,197","  2,212,799","    104,407","          －","          －","  3,746,525","     39,648","          －","          －","          －","  2,354,697","        425","  6,438,528","     79,816","  4,629,058","  1,729,654","     46,202","    174,075","    297,289","  1,120,740","     90,688","          －","    914,590","    217,137","          －","    736,738","          －","          －","          －","  3,153,115","          －"
"71年 11月"," 22,355,787"," 19,349,243","  4,364,352","  2,345,891","    274,320","  2,071,571","    161,523","          －","          －","  4,069,551","     50,254","          －","          －","          －","  1,981,967","        611","  2,568,866","     14,139","    175,015","  2,379,712","    484,823","     42,766","    334,505","  1,128,854","     96,065","          －","    853,408","    191,807","          －","    674,000","          －","          －","          －","  3,006,544","          －"
"71年 12月"," 31,345,508"," 28,685,370","  4,924,546","  5,061,183","  2,506,209","  2,554,974","    215,308","          －","          －","  3,817,813","     41,650","          －","          －","          －","  1,997,318","      5,394","  2,227,566","     16,427","     86,492","  2,124,647","  6,046,830","     33,031","    377,941","  1,163,454","     89,998","          －","  1,025,782","    222,414","          －","  1,435,142","          －","          －","          －","  2,660,138","          －"
"72年","360,769,969","321,105,746"," 62,817,869"," 64,118,410"," 30,071,716"," 34,046,694","  1,987,128","          －","          －"," 51,564,394","  1,153,828","          －","          －","          －"," 26,831,468","     28,146"," 43,581,675","  1,127,003"," 10,729,896"," 31,724,776"," 14,982,671","  6,695,931","  4,578,934"," 14,910,412","  1,125,063","          －"," 13,689,808","  2,569,151","          －"," 10,470,858","          －","          －","          －"," 39,664,223","          －"
"72年 1月"," 27,749,710"," 24,628,932","  5,081,478","  5,822,273","  2,749,615","  3,072,658","    130,568","          －","          －","  4,154,800","     31,137","          －","          －","          －","  2,631,024","      5,814","  2,489,226","     16,150","     48,133","  2,424,943","    250,700","    220,332","    406,629","  1,300,820","     86,205","          －","    943,280","    227,267","          －","    847,379","          －","          －","          －","  3,120,778","          －"
"72年 2月"," 21,890,896"," 18,957,951","  3,556,034","  4,334,471","  1,604,456","  2,730,015","    142,562","          －","          －","  3,584,471","     40,813","          －","          －","          －","  1,941,831","        375","  1,983,265","      3,892","     36,268","  1,943,105","     83,942","    175,910","    254,583","  1,099,897","     91,983","          －","    799,913","    227,710","          －","    640,191","          －","          －","          －","  2,932,945","          －"
"72年 3月"," 32,060,438"," 28,980,537","  4,944,451"," 11,674,050","  3,666,022","  8,008,028","    109,995","          －","          －","  3,726,980","    149,165","          －","          －","          －","  1,712,393","        294","  2,616,093","     12,959","    363,704","  2,239,430","     72,603","    696,116","    333,647","    971,672","    103,401","          －","  1,072,983","    204,459","          －","    592,235","          －","          －","          －","  3,079,901","          －"
"72年 4月"," 36,747,019"," 32,883,561","  5,289,539","  6,293,710","  1,684,865","  4,608,845","    215,514","          －","          －","  4,000,207","    196,447","          －","          －","          －","  2,365,093","        578","  6,822,699","      2,453","  4,677,609","  2,142,637","     64,617","  3,850,432","    378,456","  1,140,372","     95,741","          －","  1,188,060","    224,183","          －","    757,913","          －","          －","          －","  3,863,458","          －"
"72年 5月"," 31,814,034"," 27,616,719","  5,433,338","  6,983,480","  4,651,020","  2,332,460","    181,138","          －","          －","  4,683,198","    142,337","          －","          －","          －","  2,077,072","      1,115","  2,827,311","      2,355","    149,842","  2,675,114","    608,279","    816,429","    413,175","  1,222,925","     97,401","          －","  1,208,335","    196,524","          －","    724,662","          －","          －","          －","  4,197,315","          －"
"72年 6月"," 38,176,558"," 33,771,471","  5,599,747","  5,949,167","  2,625,708","  3,323,459","    289,217","          －","          －","  5,011,940","    109,887","          －","          －","          －","  2,186,986","      8,433","  3,379,804","      2,443","    117,635","  3,259,726","  6,286,135","    170,466","    413,401","  1,303,950","     92,371","          －","  1,222,179","    218,904","          －","  1,528,884","          －","          －","          －","  4,405,087","          －"
"72年 7月"," 25,280,301"," 23,629,135","  4,436,170","  5,183,718","  3,890,541","  1,293,177","    101,019","          －","          －","  3,942,374","    119,483","          －","          －","          －","  2,507,457","        123","  3,247,380","    226,249","     40,709","  2,980,422","    225,370","    120,255","    425,230","  1,291,703","     88,456","          －","    966,354","    169,392","          －","    804,651","          －","          －","          －","  1,651,166","          －"
"72年 8月"," 28,357,885"," 24,655,406","  5,441,438","  3,173,635","  2,878,726","    294,909","    199,226","          －","          －","  5,008,698","     64,952","          －","          －","          －","  2,131,282","        229","  4,498,421","    540,000","     40,443","  3,917,978","     96,923","    101,320","    424,205","  1,285,630","    104,398","          －","  1,204,601","    206,263","          －","    714,185","          －","          －","          －","  3,702,479","          －"
"72年 9月"," 25,875,951"," 22,491,914","  5,225,032","  3,518,711","  2,076,461","  1,442,250","    108,140","          －","          －","  4,249,031","     90,448","          －","          －","          －","  2,216,295","        247","  2,914,311","    251,107","    309,519","  2,353,685","     62,323","    264,958","    351,614","  1,323,879","     99,564","          －","  1,148,977","    201,693","          －","    716,691","          －","          －","          －","  3,384,037","          －"
"72年 10月"," 29,403,101"," 26,019,684","  5,311,792","  2,470,925","    311,038","  2,159,887","    149,127","          －","          －","  4,253,190","     55,436","          －","          －","          －","  2,567,896","        511","  6,987,084","     45,950","  4,676,463","  2,264,671","     62,838","    185,503","    359,726","  1,291,163","     91,592","          －","  1,190,497","    232,049","          －","    810,355","          －","          －","          －","  3,383,417","          －"
"72年 11月"," 26,943,144"," 23,565,739","  6,252,230","  2,388,380","    348,176","  2,040,204","    120,070","          －","          －","  4,774,733","     57,065","          －","          －","          －","  2,206,782","        595","  2,895,247","     13,136","    169,002","  2,713,109","    604,899","     53,848","    392,220","  1,303,431","     92,767","          －","  1,425,962","    242,329","          －","    755,181","          －","          －","          －","  3,377,405","          －"
"72年 12月"," 36,470,932"," 33,904,697","  6,246,620","  6,325,890","  3,585,088","  2,740,802","    240,552","          －","          －","  4,174,772","     96,658","          －","          －","          －","  2,287,357","      9,832","  2,920,834","     10,309","    100,569","  2,809,956","  6,564,042","     40,362","    426,048","  1,374,970","     81,184","          －","  1,318,667","    218,378","          －","  1,578,531","          －","          －","          －","  2,566,235","          －"
"73年","390,149,312","348,785,035"," 69,437,750"," 71,844,237"," 36,549,029"," 35,295,208","  3,211,493","          －","          －"," 54,991,003","  1,095,269","          －","          －","          －"," 30,188,181","     20,732"," 51,788,381","  1,127,028"," 15,490,341"," 35,171,012","  8,626,904","  7,437,040","  4,779,719"," 16,634,079","    938,357","          －"," 14,640,472","  2,641,637","          －"," 10,509,781","          －","          －","          －"," 41,364,277","          －"
"73年 1月"," 32,787,479"," 28,494,202","  6,365,481","  5,944,357","  2,827,389","  3,116,968","    221,070","          －","          －","  5,012,098","    102,811","          －","          －","          －","  2,949,504","        370","  2,906,589","      1,797","     50,278","  2,854,514","    257,514","    306,559","    393,065","  1,493,818","     79,443","          －","  1,307,263","    231,664","          －","    922,596","          －","          －","          －","  4,293,277","          －"
"73年 2月"," 26,205,048"," 23,742,124","  5,213,157","  5,427,546","  2,137,593","  3,289,953","    129,588","          －","          －","  3,816,822","    142,386","          －","          －","          －","  2,327,093","        269","  2,504,894","      6,297","     41,176","  2,457,421","     82,920","    170,215","    293,309","  1,397,345","     75,427","          －","  1,173,555","    247,172","          －","    740,426","          －","          －","          －","  2,462,924","          －"
"73年 3月"," 34,506,709"," 31,272,365","  5,705,592"," 11,499,706","  4,225,039","  7,274,667","    165,388","          －","          －","  4,201,320","    162,835","          －","          －","          －","  1,980,588","        283","  3,331,490","     17,363","    408,495","  2,905,632","     77,692","    435,790","    384,399","  1,140,704","     94,144","          －","  1,203,139","    222,578","          －","    666,717","          －","          －","          －","  3,234,344","          －"
"73年 4月"," 40,584,576"," 36,764,172","  5,579,458","  7,423,999","  2,790,381","  4,633,618","    189,362","          －","          －","  4,853,863","    101,609","          －","          －","          －","  2,754,147","        146","  7,356,121","      1,749","  4,653,830","  2,700,542","     60,510","  4,331,956","    382,759","  1,401,641","     76,176","          －","  1,186,454","    219,909","          －","    846,062","          －","          －","          －","  3,820,404","          －"
"73年 5月"," 36,448,219"," 32,110,752","  5,870,367","  8,676,237","  6,205,079","  2,471,158","    216,537","          －","          －","  4,855,015","    160,948","          －","          －","          －","  2,352,495","      1,092","  4,079,281","      2,046","    174,490","  3,902,745","    667,474","  1,188,571","    429,692","  1,390,240","     74,311","          －","  1,144,232","    211,602","          －","    792,658","          －","          －","          －","  4,337,467","          －"
"73年 6月"," 40,501,074"," 36,562,047","  5,974,673","  5,923,605","  2,574,921","  3,348,684","    905,371","          －","          －","  5,329,010","     92,140","          －","          －","          －","  2,515,095","      8,629","  3,554,471","     -1,167","     91,413","  3,464,225","  6,889,090","    168,953","    420,016","  1,491,311","     75,740","          －","  1,252,963","    278,319","          －","  1,682,661","          －","          －","          －","  3,939,027","          －"
"73年 7月"," 33,662,916"," 31,424,032","  5,919,140","  9,670,783","  8,558,176","  1,112,607","    183,172","          －","          －","  4,610,608","     39,158","          －","          －","          －","  2,828,573","        105","  3,714,426","    218,973","     43,937","  3,451,516","    206,690","    134,681","    422,631","  1,434,984","     66,566","          －","  1,173,041","    147,948","          －","    871,526","          －","          －","          －","  2,238,884","          －"
"73年 8月"," 28,014,543"," 24,036,800","  5,881,761","  1,998,133","  1,429,535","    568,598","    124,198","          －","          －","  4,487,534","     55,482","          －","          －","          －","  2,403,156","        377","  4,716,960","    524,601","     56,073","  4,136,286","     97,049","    107,583","    442,737","  1,395,977","     83,940","          －","  1,246,670","    212,980","          －","    782,263","          －","          －","          －","  3,977,743","          －"
"73年 9月"," 25,204,473"," 21,910,378","  5,114,766","  3,363,057","  1,577,450","  1,785,607","    402,114","          －","          －","  4,075,790","     39,744","          －","          －","          －","  2,383,465","        167","  2,387,292","    296,135","     28,934","  2,062,223","    102,839","    199,397","    370,674","  1,375,653","     81,777","          －","  1,048,039","    201,940","          －","    763,664","          －","          －","          －","  3,294,095","          －"
"73年 10月"," 26,863,494"," 23,425,829","  5,737,128","  2,753,125","    374,236","  2,378,889","    272,410","          －","          －","  4,934,362","     44,459","          －","          －","          －","  2,772,672","        360","  2,529,753","     52,500","     42,318","  2,434,935","     67,056","    282,230","    384,294","  1,325,731","     79,460","          －","  1,167,347","    215,075","          －","    860,367","          －","          －","          －","  3,437,665","          －"
"73年 11月"," 26,830,524"," 23,466,255","  6,250,802","  2,815,915","    363,073","  2,452,842","    201,923","          －","          －","  4,349,131","     49,552","          －","          －","          －","  2,466,666","        812","  2,879,749","      5,374","    578,486","  2,295,889","     62,013","     61,716","    430,651","  1,397,348","     79,724","          －","  1,393,109","    233,530","          －","    793,614","          －","          －","          －","  3,364,269","          －"
"73年 12月"," 38,540,257"," 35,576,079","  5,825,425","  6,347,774","  3,486,157","  2,861,617","    200,360","          －","          －","  4,465,450","    104,145","          －","          －","          －","  2,454,727","      8,122"," 11,827,355","      1,360","  9,320,911","  2,505,084","     56,057","     49,389","    425,492","  1,389,327","     71,649","          －","  1,344,660","    218,920","          －","    787,227","          －","          －","          －","  2,964,178","          －"
"74年","388,350,665","346,213,528"," 62,093,550"," 77,658,909"," 37,770,375"," 39,888,534","  2,601,081","          －","          －"," 52,905,555","    250,032","          －","          －","          －"," 30,568,086","     21,582"," 45,686,148","    970,485"," 10,819,226"," 33,896,437"," 16,844,520","  8,264,378","  5,025,915"," 16,427,045","    937,118","          －"," 12,722,973","  2,629,596","          －"," 11,577,040","          －","          －","          －"," 42,137,137","          －"
"74年 1月"," 33,226,428"," 30,003,009","  5,864,013","  8,134,273","  4,429,590","  3,704,683","    259,349","          －","          －","  4,329,907","     46,111","          －","          －","          －","  3,115,325","        303","  3,631,909","     -1,708","    438,800","  3,194,817","     39,264","    247,016","    433,462","  1,524,319","     74,113","          －","  1,128,909","    227,291","          －","    947,445","          －","          －","          －","  3,223,419","          －"
"74年 2月"," 23,789,366"," 20,484,296","  4,174,937","  3,880,810","    613,486","  3,267,324","    124,655","          －","          －","  3,948,806","     31,950","          －","          －","          －","  2,308,922","        131","  2,294,175","      1,815","    108,456","  2,183,904","     26,958","    199,593","    357,269","  1,296,431","     76,191","          －","    862,116","    183,322","          －","    718,030","          －","          －","          －","  3,305,070","          －"
"74年 3月"," 34,590,987"," 30,784,987","  6,105,419"," 10,834,467","  2,988,268","  7,846,199","    462,572","          －","          －","  3,976,088","     68,392","          －","          －","          －","  2,152,345","        294","  2,858,960","      1,730","    100,768","  2,756,462","     28,337","    314,994","    399,116","  1,198,765","     78,230","          －","  1,311,448","    277,034","          －","    718,526","          －","          －","          －","  3,806,000","          －"
"74年 4月"," 40,265,112"," 36,349,816","  5,619,404"," 10,484,775","  3,845,770","  6,639,005","    180,203","          －","          －","  4,885,543","     42,710","          －","          －","          －","  2,778,267","        347","  3,195,342","      2,394","     66,791","  3,126,157","     44,032","  4,996,188","    445,051","  1,326,941","     83,868","          －","  1,196,951","    207,492","          －","    862,702","          －","          －","          －","  3,915,296","          －"
"74年 5月"," 48,869,070"," 44,764,936","  5,428,106","  9,377,805","  6,428,439","  2,949,366","    171,476","          －","          －","  5,016,004","     33,070","          －","          －","          －","  2,465,399","        462","  3,009,018","      1,618","     68,899","  2,938,501"," 12,516,807","  1,300,462","    435,591","  1,409,597","     75,135","          －","  1,150,363","    208,422","          －","  2,167,219","          －","          －","          －","  4,104,134","          －"
"74年 6月"," 34,988,991"," 30,882,144","  4,952,125","  6,227,657","  2,591,517","  3,636,140","    248,302","          －","          －","  5,494,183","     26,054","          －","          －","          －","  2,524,504","     10,089","  3,048,998","      1,849","     44,172","  3,002,977","  3,559,829","    183,175","    387,291","  1,456,075","     77,903","          －","  1,055,121","    270,514","          －","  1,360,324","          －","          －","          －","  4,106,847","          －"
"74年 7月"," 31,178,311"," 28,963,966","  5,363,341","  8,468,395","  7,114,955","  1,353,440","    154,567","    111,858","     42,709","  4,154,771","      1,236","          －","          －","          －","  2,866,329","        114","  3,555,089","    153,515","     57,491","  3,344,083","    199,039","    165,099","    452,264","  1,372,242","     72,631","          －","  1,116,093","    144,608","          －","    878,148","          －","          －","          －","  2,214,345","          －"
"74年 8月"," 25,395,674"," 21,643,161","  4,862,932","  2,529,045","  1,411,477","  1,117,568","    158,287","    130,466","     27,821","  3,979,055","        124","          －","          －","          －","  2,358,473","        268","  3,534,413","    516,476","     34,338","  2,983,599","    110,426","    141,622","    465,581","  1,372,501","     87,868","          －","  1,063,583","    212,317","          －","    766,666","          －","          －","          －","  3,752,513","          －"
"74年 9月"," 25,953,970"," 22,539,258","  4,438,265","  5,078,982","  3,577,993","  1,500,989","    161,420","    132,358","     29,062","  4,144,796","        151","          －","          －","          －","  2,366,964","        171","  2,408,163","    243,747","     28,045","  2,136,371","     78,160","    205,487","    372,772","  1,353,159","     81,823","          －","    921,758","    188,284","          －","    738,903","          －","          －","          －","  3,414,712","          －"
"74年 10月"," 25,289,825"," 21,474,018","  4,798,431","  2,829,897","    670,448","  2,159,449","    192,090","    167,462","     24,628","  4,190,776","        -42","          －","          －","          －","  2,720,458","        358","  2,506,849","     43,154","     31,215","  2,432,480","    103,662","    361,192","    398,393","  1,294,186","     77,412","          －","    891,724","    257,589","          －","    851,043","          －","          －","          －","  3,815,807","          －"
"74年 11月"," 25,024,433"," 21,874,166","  4,887,175","  2,941,415","    282,485","  2,658,930","    236,249","    210,184","     26,065","  4,180,905","        148","          －","          －","          －","  2,436,780","        586","  3,101,067","      3,145","    570,456","  2,527,466","     77,807","     81,359","    431,621","  1,401,118","     76,924","          －","    985,976","    249,345","          －","    785,691","          －","          －","          －","  3,150,267","          －"
"74年 12月"," 39,778,498"," 36,449,771","  5,599,402","  6,871,388","  3,815,947","  3,055,441","    251,911","    222,473","     29,438","  4,604,721","        128","          －","          －","          －","  2,474,320","      8,459"," 12,542,165","      2,750","  9,269,795","  3,269,620","     60,199","     68,191","    447,504","  1,421,711","     75,020","          －","  1,038,931","    203,378","          －","    782,343","          －","          －","          －","  3,328,727","          －"
"75年","415,621,261","369,485,821"," 71,408,614"," 83,293,809"," 39,765,037"," 43,528,772","  3,252,649","  2,846,640","    406,009"," 47,865,000","      1,485","          －","          －","          －"," 53,708,612","     21,269"," 43,783,387","    950,763","  2,037,736"," 40,794,888"," 18,468,530","  9,156,216","  5,978,372","  8,193,615","    902,963","          －"," 14,074,737","  2,206,461","          －","  7,170,102","          －","          －","          －"," 46,135,440","          －"
"75年 1月"," 33,544,880"," 30,308,160","  6,153,996","  7,813,871","  3,849,350","  3,964,521","    217,661","    189,496","     28,165","  4,441,673","        592","          －","          －","          －","  3,231,852","        169","  3,516,013","      2,605","    434,479","  3,078,929","     55,634","    344,579","    488,403","  1,634,880","     77,664","          －","  1,132,679","    223,126","          －","    975,368","          －","          －","          －","  3,236,720","          －"
"75年 2月"," 24,591,589"," 21,405,087","  4,173,043","  4,324,115","    294,383","  4,029,732","    184,450","    146,962","     37,488","  3,916,245","        104","          －","          －","          －","  2,517,004","        124","  2,276,315","      1,579","     84,853","  2,189,883","     37,920","    217,274","    368,663","  1,452,639","     74,034","          －","    866,677","    225,883","          －","    770,597","          －","          －","          －","  3,186,502","          －"
"75年 3月"," 37,649,625"," 34,557,544","  5,933,560"," 14,824,953","  4,992,066","  9,832,887","    222,197","    176,414","     45,783","  4,242,327","        199","          －","          －","          －","  2,259,442","        291","  2,674,631","      1,832","     86,266","  2,586,533","     52,622","    445,197","    477,822","  1,288,397","     95,057","          －","  1,123,639","    183,576","          －","    733,634","          －","          －","          －","  3,092,081","          －"
"75年 4月"," 41,970,515"," 37,740,894","  5,678,761","  8,687,795","  2,487,853","  6,199,942","    273,493","    239,481","     34,012","  4,343,509","         76","          －","          －","          －","  4,129,792","      1,017","  3,508,474","      1,751","     82,590","  3,424,133","     86,452","  5,544,851","    570,518","  2,304,234","     83,440","          －","  1,157,273","    173,487","          －","  1,197,722","          －","          －","          －","  4,229,621","          －"
"75年 5月"," 50,162,082"," 46,409,805","  5,910,843","  7,785,292","  5,127,236","  2,658,056","    314,912","    284,834","     30,078","  3,013,310","         48","          －","          －","          －","  6,735,624","        656","  3,726,988","      1,435","     64,808","  3,660,745"," 13,682,144","  1,360,645","    520,051","    200,147","     74,315","          －","  1,181,344","    197,731","          －","  1,705,755","          －","          －","          －","  3,752,277","          －"
"75年 6月"," 41,260,222"," 33,609,314","  6,038,637","  7,285,233","  3,634,443","  3,650,790","    594,786","    558,283","     36,503","  4,314,095","         20","          －","          －","          －","  4,912,463","      8,532","  3,717,397","      1,265","     75,317","  3,640,815","  3,666,414","    204,273","    484,380","    196,176","     74,459","          －","  1,176,256","    204,990","          －","    731,203","          －","          －","          －","  7,650,908","          －"
"75年 7月"," 32,710,348"," 30,641,384","  6,273,475","  8,587,402","  7,364,494","  1,222,908","    165,555","    128,304","     37,251","  3,768,128","        310","          －","          －","          －","  4,698,104","          2","  4,461,381","    212,089","     45,511","  4,203,781","    195,395","    194,722","    538,586","    193,902","     74,142","          －","  1,194,469","    131,031","          －","    164,780","          －","          －","          －","  2,068,964","          －"
"75年 8月"," 30,052,761"," 25,812,334","  5,998,373","  3,322,999","  1,827,823","  1,495,176","    353,264","    314,372","     38,892","  3,753,969","       -156","          －","          －","          －","  5,222,634","        414","  4,523,153","    447,320","     94,561","  3,981,272","    215,983","    127,741","    474,015","    173,524","     75,785","          －","  1,215,993","    160,817","          －","    193,826","          －","          －","          －","  4,240,427","          －"
"75年 9月"," 29,421,877"," 25,262,492","  5,576,116","  4,930,668","  2,746,512","  2,184,156","    305,332","    271,496","     33,836","  3,675,861","         57","          －","          －","          －","  4,853,192","        174","  3,504,079","    218,104","     41,821","  3,244,154","    137,064","    106,018","    443,219","    173,492","     76,104","          －","  1,142,639","    177,597","          －","    160,880","          －","          －","          －","  4,159,385","          －"
"75年 10月"," 27,342,892"," 23,450,469","  6,446,355","  2,927,552","    490,976","  2,436,576","    238,849","    209,024","     29,825","  3,806,177","         96","          －","          －","          －","  4,182,487","        286","  3,113,794","     60,691","     32,840","  3,020,263","    105,991","    306,312","    483,665","    173,604","     66,836","          －","  1,241,010","    188,086","          －","    169,369","          －","          －","          －","  3,892,423","          －"
"75年 11月"," 28,882,025"," 25,245,276","  6,200,418","  3,098,852","    432,268","  2,666,584","    189,336","    163,105","     26,231","  4,002,055","         89","          －","          －","          －","  5,621,760","        674","  3,397,062","     -2,928","     27,528","  3,372,462","    109,355","    245,137","    507,682","    192,495","     67,521","          －","  1,241,292","    190,806","          －","    180,742","          －","          －","          －","  3,636,749","          －"
"75年 12月"," 38,032,445"," 35,043,062","  7,025,037","  9,705,077","  6,517,633","  3,187,444","    192,814","    164,869","     27,945","  4,587,651","         50","          －","          －","          －","  5,344,258","      8,930","  5,364,100","      5,020","    967,162","  4,391,918","    123,556","     59,467","    621,368","    210,125","     63,606","          －","  1,401,466","    149,331","          －","    186,226","          －","          －","          －","  2,989,383","          －"
"76年","514,905,176","467,090,945"," 78,153,976","104,856,508"," 53,233,977"," 51,622,531","  5,197,785","  4,403,663","    794,122"," 58,872,627","  8,112,750","          －","          －","          －"," 68,216,404","     18,340"," 83,113,634","    879,486","  9,854,364"," 72,379,784"," 19,761,701"," 10,133,304","  7,474,263","  2,885,534","    758,491","          －"," 14,900,423","    552,617","          －","  4,082,588","          －","          －","          －"," 47,814,231","          －"
"76年 1月"," 43,227,412"," 39,071,649","  5,532,474","  9,418,744","  4,471,659","  4,947,085","    182,721","    162,659","     20,062","  3,802,573","    218,581","          －","          －","          －","  5,987,650","        110"," 11,234,976","      3,888","  7,266,673","  3,964,415","     85,612","    361,241","    523,405","    208,834","     64,594","          －","  1,125,926","    154,152","          －","    170,056","          －","          －","          －","  4,155,763","          －"
"76年 2月"," 31,466,004"," 28,221,608","  5,918,565","  5,355,915","    491,694","  4,864,221","    238,244","    200,320","     37,924","  3,805,146","    311,296","          －","          －","          －","  5,112,660","        251","  4,591,098","      1,432","    523,430","  4,066,236","     65,896","    253,099","    552,948","    216,505","     70,578","          －","  1,374,046","    184,750","          －","    170,611","          －","          －","          －","  3,244,396","          －"
"76年 3月"," 44,430,762"," 40,355,979","  6,583,216"," 16,980,930","  7,309,989","  9,670,941","    241,591","    198,743","     42,848","  4,103,466","    402,521","          －","          －","          －","  3,944,709","        125","  4,903,215","      2,090","    207,231","  4,693,894","     68,779","    449,575","    621,685","    229,215","     74,153","          －","  1,387,512","    181,468","          －","    183,819","          －","          －","          －","  4,074,783","          －"
"76年 4月"," 49,808,594"," 45,493,379","  7,331,794"," 10,685,032","  3,465,715","  7,219,317","    626,766","    589,718","     37,048","  5,331,501","    653,813","          －","          －","          －","  5,891,564","        289","  5,601,531","      1,879","     97,086","  5,502,566","    118,830","  6,366,981","    683,434","    248,844","     73,408","          －","  1,533,137","    149,907","          －","    196,548","          －","          －","          －","  4,315,215","          －"
"76年 5月"," 57,547,271"," 53,151,763","  6,300,258","  9,539,976","  6,556,460","  2,983,516","    808,485","    756,485","     52,000","  5,178,424","    643,189","          －","          －","          －","  6,084,135","        630","  6,286,751","      1,332","     85,505","  6,199,914"," 13,124,103","  1,402,594","    647,012","    249,823","     68,250","          －","  1,379,546","    -63,265","          －","  1,501,852","          －","          －","          －","  4,395,508","          －"
"76年 6月"," 48,532,470"," 43,568,426","  7,081,072","  6,785,499","  3,144,146","  3,641,353","    677,639","    616,205","     61,434","  5,989,687","    429,945","          －","          －","          －","  5,276,322","      8,369","  8,435,359","      1,421","     57,947","  8,375,991","  5,134,095","    226,587","    670,238","    287,797","     62,187","          －","  1,618,625","    -41,787","          －","    926,792","          －","          －","          －","  4,964,044","          －"
"76年 7月"," 48,562,344"," 45,063,713","  6,435,080"," 13,146,472"," 10,618,534","  2,527,938","    396,962","    310,917","     86,045","  5,060,571","    523,481","          －","          －","          －","  5,983,422","        155","  9,902,481","    184,495","     89,379","  9,628,607","    677,786","    169,791","    789,606","    249,358","     61,666","          －","  1,419,538","    -24,745","          －","    272,089","          －","          －","          －","  3,498,631","          －"
"76年 8月"," 37,604,593"," 33,758,267","  6,254,066","  4,335,691","  1,942,369","  2,393,322","    396,993","    305,063","     91,930","  5,127,131","    925,091","          －","          －","          －","  5,984,760","        152","  8,411,746","    424,771","     52,506","  7,934,469","    115,365","    141,467","    584,173","    232,387","     62,496","          －","  1,064,479","     -7,730","          －","    130,000","          －","          －","          －","  3,846,326","          －"
"76年 9月"," 37,430,901"," 33,463,562","  5,961,104","  7,371,388","  4,597,395","  2,773,993","    336,262","    285,825","     50,437","  5,380,711","  1,433,784","          －","          －","          －","  5,691,056","        110","  5,149,964","    199,580","     33,880","  4,916,504","     97,608","    125,733","    562,478","    225,213","     62,681","          －","    951,852","     -3,875","          －","    117,493","          －","          －","          －","  3,967,339","          －"
"76年 10月"," 32,678,804"," 28,802,101","  6,427,822","  3,517,811","    286,740","  3,231,071","    301,286","    265,211","     36,075","  4,309,123","  1,122,578","          －","          －","          －","  5,731,490","        106","  5,017,338","     49,997","     31,190","  4,936,151","     91,395","    316,349","    530,699","    218,140","     54,048","          －","  1,038,528","        747","          －","    124,641","          －","          －","          －","  3,876,703","          －"
"76年 11月"," 35,945,868"," 32,247,811","  6,992,673","  3,870,776","    660,639","  3,210,137","    283,827","    246,433","     37,394","  5,617,978","    682,180","          －","          －","          －","  6,432,944","        557","  5,951,504","      6,272","    872,739","  5,072,493","     90,888","    263,889","    635,290","    239,842","     55,039","          －","    966,718","     24,149","          －","    139,557","          －","          －","          －","  3,698,057","          －"
