縣市別碼(新),鄉鎮市區碼(新),醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床, 漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察病床,其他,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床,產科病床
35,04,2,110,61,49,0,61,0,61,0,0,0,0,0,0,4,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,1,0,19,0,0
35,05,3,891,289,244,358,388,259,289,99,0,259,0,0,0,27,0,0,5,14,8,12,37,10,0,0,4,0,8,0,0,4,12,103,0,0
35,08,1,51,20,31,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,0
37,01,9,2977,1831,954,192,1768,255,1688,80,143,112,0,0,0,255,20,0,65,156,1,16,0,57,0,0,6,5,24,0,0,45,106,198,0,0
37,02,4,1654,739,225,690,829,600,619,210,120,480,0,0,0,59,0,0,10,20,0,0,0,0,0,0,0,3,2,0,0,7,22,102,0,0
37,03,1,89,49,40,0,49,0,49,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,1,0,15,0,0
37,04,2,63,40,23,0,40,0,40,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0
37,05,7,948,364,284,300,424,240,364,60,0,240,0,0,0,42,0,0,0,35,2,0,78,0,0,0,0,0,0,0,0,7,12,108,0,0
37,06,1,40,36,4,0,36,0,36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,07,2,81,57,24,0,57,0,57,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0
