縣市別碼(新),鄉鎮市區碼(新),醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床, 漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察病床,其他,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床,產科病床
37,08,3,333,221,112,0,221,0,221,0,0,0,0,0,0,15,0,0,6,19,5,0,28,0,0,0,0,0,0,0,0,4,10,25,0,0
37,10,1,39,39,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,15,1,52,52,0,0,9,43,9,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,17,1,691,378,113,200,428,150,378,50,0,150,0,0,0,35,0,0,0,5,0,0,12,10,0,0,0,0,0,0,0,3,5,43,0,0
38,01,2,544,293,201,50,343,0,293,50,0,0,0,0,0,40,0,0,1,12,0,0,44,0,0,0,0,0,34,0,0,4,6,60,0,0
38,02,2,738,438,230,70,434,74,414,20,24,50,0,0,0,36,0,0,8,25,0,0,70,0,0,0,6,0,0,0,0,6,8,71,0,0
38,03,4,1337,253,141,943,446,750,253,193,0,750,0,0,0,16,0,0,10,9,8,0,0,0,0,4,0,0,0,0,0,4,15,75,0,0
38,04,2,354,234,120,0,234,0,234,0,0,0,0,0,0,19,0,0,0,20,0,0,12,0,0,0,13,0,0,0,0,6,5,45,0,0
38,06,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0
39,01,5,1639,800,409,430,910,320,800,110,0,320,0,0,0,76,2,0,13,51,0,8,69,12,0,0,19,0,13,0,0,19,8,119,0,0
39,02,1,74,21,53,0,21,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,2,0,27,0,0
39,03,1,499,306,193,0,306,0,306,0,0,0,0,0,0,41,0,0,12,16,0,6,40,10,0,0,15,0,2,0,0,6,15,30,0,0
39,04,2,341,220,121,0,220,0,220,0,0,0,0,0,0,24,0,0,0,14,3,0,30,8,0,0,0,0,0,0,0,2,3,37,0,0
39,05,1,42,20,22,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
39,06,4,529,346,183,0,346,0,346,0,0,0,0,0,0,30,0,0,3,11,0,0,58,12,0,0,0,0,3,0,0,6,10,50,0,0
39,13,1,135,98,37,0,98,0,98,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,2,2,12,0,0
40,01,2,1593,1070,399,124,1095,99,1070,25,0,99,0,0,0,104,4,0,8,42,5,10,20,16,0,0,0,9,43,0,0,15,12,111,0,0
40,03,1,965,600,235,130,650,80,600,50,0,80,0,0,0,47,5,0,7,15,0,23,30,10,0,0,0,0,12,0,0,11,15,60,0,0
40,14,1,540,112,58,330,92,390,40,52,72,278,40,0,0,8,0,0,0,2,0,0,36,0,0,0,8,0,4,0,0,0,0,0,0,0
43,01,10,2255,1341,734,180,1360,161,1280,80,61,100,0,0,0,136,0,0,30,74,0,19,108,10,0,0,3,0,0,0,0,24,94,236,0,0
43,02,3,139,124,15,0,124,0,124,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
43,03,2,1175,871,284,20,841,50,821,20,50,0,0,0,0,68,0,0,7,23,6,0,16,10,0,0,0,0,0,0,0,2,34,117,1,0
43,04,3,177,101,76,0,101,0,101,0,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,42,0,0
43,07,1,333,0,0,333,60,273,0,60,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,11,2,51,50,1,0,50,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,13,2,686,210,76,400,266,344,156,110,54,290,0,0,0,12,0,0,0,10,0,0,40,0,0,0,0,0,0,0,0,2,0,12,0,0
43,15,2,262,23,19,220,143,100,23,120,0,100,0,0,0,7,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0
43,16,1,194,144,50,0,144,0,144,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0
44,01,3,471,237,118,116,273,80,237,36,0,80,0,0,0,23,4,0,8,26,0,0,0,0,0,0,0,0,6,0,0,7,9,35,0,0
45,01,4,1730,1074,566,90,991,173,901,90,173,0,0,0,0,130,0,4,22,50,10,27,46,32,0,0,25,6,31,0,0,16,35,132,0,0
45,02,1,257,85,52,120,115,90,85,30,0,90,0,0,0,11,0,0,0,6,0,0,24,0,0,0,0,0,10,0,0,1,0,0,0,0
45,03,3,1590,149,57,1384,337,1196,149,188,0,1196,0,0,0,9,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,1,6,26,0,0
45,04,1,382,177,64,139,266,52,177,89,0,50,2,0,0,12,2,0,3,8,0,0,20,0,0,0,0,0,0,0,0,4,4,11,0,0
45,06,1,215,0,15,200,40,160,0,40,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
45,08,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,01,5,1211,605,343,263,702,166,605,97,0,166,0,0,0,68,2,0,15,24,0,8,94,9,0,0,0,0,12,0,0,12,19,80,0,0
46,02,1,25,20,5,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
46,03,1,59,32,27,0,32,0,32,0,0,0,0,0,0,4,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
90,03,1,251,131,63,57,134,54,112,22,19,35,0,0,0,9,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,3,20,15,0,0
91,01,1,46,40,6,0,40,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
