縣市別碼(新),鄉鎮市區碼(新),醫院家數,醫事人員總計,醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,鑲牙生,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機
07,36,5,210,34,0,0,16,0,8,1,5,0,88,49,1,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,8,66,39
07,37,1,64,7,0,0,6,0,6,0,3,1,30,1,0,0,0,0,3,3,3,0,0,0,0,1,0,0,0,2,2,11,8
07,38,4,816,120,0,6,44,0,39,0,27,0,509,29,0,0,0,8,10,1,9,0,3,0,10,1,0,0,0,6,24,188,28
11,01,2,69,10,0,0,5,0,2,0,1,0,31,12,0,0,0,2,1,0,2,0,2,0,1,0,0,0,0,3,4,43,20
11,03,1,106,15,0,1,4,0,2,2,5,0,42,25,0,1,0,2,2,3,0,0,0,0,2,0,0,0,0,1,22,32,10
11,04,1,168,31,0,1,12,0,8,2,10,0,77,15,0,0,0,3,7,0,0,0,0,0,2,0,0,0,0,1,9,44,57
11,06,2,1408,309,13,20,67,1,43,0,34,0,750,92,0,0,0,13,12,2,10,2,5,1,28,4,2,0,0,12,58,319,29
11,07,2,587,78,6,6,31,0,27,0,18,0,332,27,0,0,0,7,17,5,16,2,5,0,5,3,2,0,0,12,17,266,35
12,01,3,1545,227,0,14,68,0,68,0,56,0,969,73,1,1,0,12,17,2,11,0,4,0,16,4,2,0,0,10,100,377,161
12,04,5,1474,233,1,16,63,3,66,2,47,2,892,76,0,0,0,14,15,7,15,1,6,0,10,4,1,0,0,15,52,230,262
22,01,4,2927,433,21,30,141,2,130,2,101,0,1719,158,0,3,0,25,44,15,32,1,13,1,42,8,5,1,0,74,540,956,276
22,02,8,1082,138,4,3,49,0,41,0,35,1,574,123,0,0,0,14,31,8,28,1,5,0,22,3,2,0,0,15,20,272,132
31,01,8,2660,489,2,18,128,0,99,1,90,1,1528,155,0,1,0,19,40,8,31,0,7,1,29,9,4,0,0,21,110,397,139
31,02,5,779,94,11,2,48,1,32,2,29,3,400,85,0,0,0,8,23,3,16,0,4,1,11,6,0,0,0,9,23,294,73
31,03,4,608,103,0,12,27,3,23,1,25,0,297,67,0,1,0,6,19,4,7,0,2,0,6,4,1,0,0,10,34,208,31
31,04,7,1869,339,4,36,93,0,64,2,74,0,1014,100,0,0,0,21,34,7,31,1,6,0,30,8,3,1,1,11,44,469,250
31,05,6,2752,510,21,38,142,1,114,1,100,0,1527,144,0,0,0,22,38,6,25,0,15,0,36,8,4,0,0,36,248,604,471
31,06,8,1243,192,6,5,68,0,54,0,38,1,659,99,0,0,0,17,36,2,28,2,7,0,19,8,2,0,0,19,115,251,233
31,07,1,163,22,0,1,9,0,8,0,8,0,78,24,0,0,0,2,6,0,2,0,0,0,3,0,0,0,0,1,10,37,33
31,08,1,11,2,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2
31,09,3,895,112,11,14,39,1,32,1,20,0,567,42,0,0,0,5,12,0,15,0,4,0,13,5,2,0,0,12,36,203,5
31,10,5,1623,285,0,4,69,0,77,0,42,0,981,61,0,0,0,16,10,1,19,5,12,3,33,3,2,0,0,25,153,271,303
31,11,1,746,78,0,14,38,0,30,0,31,0,482,22,0,0,0,6,12,4,12,0,2,0,10,4,1,0,0,6,4,234,5
31,12,1,33,4,0,0,3,0,3,0,2,0,7,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,10,4
31,13,4,248,29,0,0,12,0,7,0,7,0,101,49,0,0,0,5,9,5,7,2,0,0,13,2,0,0,0,0,25,79,20
31,14,1,30,4,0,0,2,0,1,0,1,0,10,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1
31,21,1,13,2,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,8,4
31,23,1,163,17,0,0,11,0,2,0,1,0,101,4,0,0,0,1,0,0,16,0,10,0,0,0,0,0,0,13,2,25,63
31,27,1,94,17,0,2,6,0,4,1,5,0,45,4,0,0,0,0,6,1,1,0,1,0,0,1,0,0,0,0,7,33,5
32,01,9,3306,435,4,13,129,0,170,3,101,2,1964,239,1,1,0,23,59,9,77,1,23,1,30,16,5,0,0,50,160,734,322
32,02,10,1033,141,4,9,61,0,56,2,44,0,468,149,0,0,0,10,27,20,20,2,0,1,8,10,1,0,0,6,63,367,75
32,04,2,530,67,0,7,29,0,29,0,21,0,271,70,0,0,0,4,10,9,5,1,0,1,5,1,0,0,0,4,24,242,29
32,06,2,107,16,0,0,9,0,2,0,2,0,43,17,0,0,0,1,5,0,7,1,4,0,0,0,0,0,0,5,6,30,33
32,07,3,6463,1318,43,94,261,2,230,8,138,1,3832,236,0,0,0,43,35,8,26,4,15,0,131,13,6,10,9,49,255,1442,84
32,09,2,730,125,0,8,40,1,33,4,21,0,409,46,0,0,0,6,8,6,9,0,4,2,6,1,1,0,0,7,20,288,0
32,10,5,1262,180,6,7,48,0,43,4,36,0,733,134,0,0,0,10,21,5,10,2,3,0,15,4,1,0,0,6,198,325,21
32,11,1,115,17,1,1,8,0,5,0,5,0,63,4,0,0,0,1,6,0,3,0,0,0,0,1,0,0,0,1,2,27,3
33,01,1,46,6,0,0,2,0,0,1,0,0,18,11,0,0,0,2,0,0,3,1,2,0,0,0,0,0,0,3,4,20,10
33,03,4,499,62,0,2,28,2,19,3,17,1,251,69,0,0,0,4,9,3,15,0,8,0,4,1,1,0,0,11,16,129,116
33,05,3,633,87,0,2,26,0,40,0,26,0,296,103,1,0,0,7,19,4,6,0,2,0,10,3,1,0,0,5,27,131,15
33,06,1,230,29,0,1,10,0,10,1,7,0,132,22,0,0,0,2,4,1,6,0,3,0,2,0,0,0,0,5,24,122,4
34,01,2,834,118,3,10,42,0,33,0,26,0,520,47,0,0,0,6,12,0,5,0,2,0,6,3,1,0,0,4,43,231,31
34,02,2,1852,234,0,12,76,0,67,0,57,3,1099,168,0,0,0,18,37,9,26,2,7,0,25,10,2,0,0,17,187,530,217
34,03,2,196,18,0,0,12,0,9,0,5,1,112,23,0,0,0,3,2,2,2,3,2,0,2,0,0,0,0,5,10,32,60
34,05,1,51,6,0,0,3,0,4,0,4,0,19,6,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,23,5
34,06,1,34,3,0,0,3,0,0,0,0,0,17,5,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,3,2,5,9
34,07,2,267,23,0,0,14,0,7,0,6,0,151,29,0,0,0,4,8,2,12,1,7,0,2,1,0,0,0,10,12,51,101
35,01,7,1135,147,1,5,52,0,51,3,41,2,554,150,0,0,0,11,38,15,29,1,7,0,12,16,0,0,0,24,52,489,155
35,02,1,161,22,0,0,10,0,8,0,6,0,84,19,0,0,0,2,5,1,3,0,0,0,1,0,0,0,0,2,20,55,21
35,03,1,55,6,0,0,4,0,4,0,8,0,21,8,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,3,16,1
35,04,2,92,13,0,0,5,0,5,0,7,0,41,12,0,0,0,2,2,3,0,0,0,0,2,0,0,0,0,0,2,28,5
35,05,3,734,85,3,6,27,5,40,2,26,1,384,95,0,0,0,7,17,3,14,1,7,0,6,4,1,0,0,12,125,213,121
35,08,1,42,5,0,0,3,0,2,0,1,0,12,10,0,0,0,1,3,1,2,1,0,0,1,0,0,0,0,1,3,9,3
37,01,9,4641,839,34,78,198,2,214,1,116,2,2773,160,0,0,0,46,35,9,19,6,11,3,72,12,5,6,0,33,308,1343,189
37,02,4,1250,140,3,17,63,0,49,0,37,0,764,69,0,0,0,23,23,0,25,4,13,3,7,6,3,1,0,18,91,490,30
37,03,1,64,9,0,3,4,0,3,0,3,0,21,14,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,1,14,21
