age,value
0,4617
1,5293
2,4949
3,6013
4,5205
5,4415
6,5150
7,5131
8,5106
9,5035
10,4754
11,5082
12,5053
13,5419
14,5555
15,6119
16,5485
17,4961
18,5979
19,5832
20,5694
21,5484
22,5625
23,5420
24,5410
25,5604
26,5163
27,5623
28,5213
29,5208
30,5794
31,6607
32,7045
33,7794
34,8339
35,8498
36,8650
37,8433
38,8057
39,8778
40,7438
41,7259
42,6848
43,7054
44,7147
45,7113
46,7128
47,6810
48,6313
49,6449
50,6425
51,6237
52,6367
53,6193
54,5814
55,5866
56,5560
57,5399
58,5055
59,5064
60,5028
61,4895
62,4547
63,4454
64,4433
65,3599
66,3440
67,2944
68,2713
69,2194
70,1842
71,2199
72,2204
73,2149
74,1976
75,2010
76,1817
77,1622
78,1583
79,1386
80,1367
81,1220
82,1074
83,1129
84,1011
85,997
86,927
87,815
88,701
89,620
90,504
91,391
92,334
93,234
94,179
95,115
96,94
97,58
98,40
99,20
100,64
