age,value
0,1272
1,1390
2,1230
3,1300
4,960
5,802
6,748
7,708
8,762
9,710
10,760
11,738
12,756
13,829
14,888
15,1124
16,1115
17,1055
18,1950
19,2316
20,2437
21,2564
22,2307
23,2245
24,2090
25,2229
26,2017
27,2229
28,1987
29,1953
30,2036
31,2191
32,2104
33,2146
34,2163
35,1936
36,2093
37,2035
38,1923
39,2066
40,1834
41,1865
42,1896
43,1984
44,2068
45,2101
46,2139
47,2185
48,2050
49,2502
50,2420
51,2547
52,2403
53,2438
54,2196
55,2592
56,2377
57,2404
58,2492
59,2319
60,2004
61,2122
62,1614
63,1683
64,1559
65,1118
66,1093
67,918
68,791
69,677
70,682
71,745
72,682
73,675
74,620
75,624
76,577
77,609
78,619
79,501
80,484
81,473
82,423
83,392
84,325
85,268
86,249
87,228
88,175
89,168
90,143
91,133
92,101
93,71
94,81
95,49
96,29
97,29
98,25
99,18
100,46
