age,value
0,3262
1,3461
2,3421
3,3930
4,3483
5,3136
6,3668
7,3623
8,3702
9,3888
10,4016
11,4309
12,4470
13,4755
14,5058
15,5931
16,5503
17,5458
18,6756
19,6731
20,6808
21,6730
22,7002
23,6748
24,6654
25,6851
26,6382
27,6752
28,6107
29,5810
30,6314
31,6713
32,6927
33,7126
34,7241
35,7004
36,7136
37,6918
38,6668
39,7114
40,6526
41,6570
42,6618
43,6479
44,6789
45,7272
46,7363
47,7257
48,6948
49,7372
50,7194
51,7529
52,7545
53,7408
54,7344
55,7321
56,7121
57,6716
58,6281
59,6654
60,6420
61,5921
62,5846
63,5365
64,5514
65,4590
66,4099
67,3511
68,3077
69,2686
70,2569
71,2998
72,3238
73,3335
74,3198
75,3380
76,3037
77,2839
78,2690
79,2466
80,2275
81,2124
82,1927
83,1699
84,1685
85,1470
86,1257
87,1041
88,925
89,786
90,579
91,431
92,342
93,282
94,191
95,136
96,101
97,70
98,52
99,35
100,57
