age,value
0,4649
1,5181
2,4768
3,5884
4,4943
5,4404
6,5192
7,5542
8,5746
9,5975
10,6296
11,6541
12,7185
13,7617
14,7961
15,9280
16,8536
17,8171
18,9632
19,9419
20,9482
21,9238
22,9106
23,8898
24,8649
25,9142
26,8519
27,9304
28,8920
29,8730
30,9855
31,10273
32,10756
33,11080
34,11187
35,11226
36,11642
37,11303
38,10993
39,11721
40,10258
41,9791
42,9807
43,9740
44,10206
45,10354
46,10539
47,10591
48,9806
49,11581
50,10834
51,10761
52,11206
53,10948
54,10728
55,10277
56,10443
57,9886
58,9229
59,9620
60,9508
61,8933
62,8522
63,8530
64,9375
65,6977
66,7152
67,6371
68,5765
69,5408
70,4464
71,5244
72,5707
73,5471
74,5660
75,5831
76,5487
77,5074
78,4876
79,4403
80,4244
81,3910
82,3623
83,3262
84,3061
85,2621
86,2171
87,1861
88,1641
89,1267
90,955
91,774
92,513
93,455
94,345
95,211
96,147
97,97
98,64
99,36
100,66
