SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
新寮大橋,Sinliaoda Bridge,新北市,雙溪區,雙溪流域,雙溪,121.8347690,25.0317970,334241.91,2769559.19,2015-07-07,生化需氧量,Biochemical Oxygen Demand,BOD5,<1.0,mg/L
新寮大橋,Sinliaoda Bridge,新北市,雙溪區,雙溪流域,雙溪,121.8347690,25.0317970,334241.91,2769559.19,2015-07-07,溶氧(電極法),Dissolved Oxygen,DO,8.0,mg/L
新寮大橋,Sinliaoda Bridge,新北市,雙溪區,雙溪流域,雙溪,121.8347690,25.0317970,334241.91,2769559.19,2015-07-07,懸浮固體,Suspended Solid,SS,5.3,mg/L
新寮大橋,Sinliaoda Bridge,新北市,雙溪區,雙溪流域,雙溪,121.8347690,25.0317970,334241.91,2769559.19,2015-07-07,氣溫,Temperature,TMP,31.4,℃
新寮大橋,Sinliaoda Bridge,新北市,雙溪區,雙溪流域,雙溪,121.8347690,25.0317970,334241.91,2769559.19,2015-07-07,導電度,Conductivity,EC,130,μmho/cm25℃
新寮大橋,Sinliaoda Bridge,新北市,雙溪區,雙溪流域,雙溪,121.8347690,25.0317970,334241.91,2769559.19,2015-07-07,酸鹼值,pH,pH,7.5,
新寮大橋,Sinliaoda Bridge,新北市,雙溪區,雙溪流域,雙溪,121.8347690,25.0317970,334241.91,2769559.19,2015-07-07,水溫,Water Temperature,WT,29.5,℃
新寮大橋,Sinliaoda Bridge,新北市,雙溪區,雙溪流域,雙溪,121.8347690,25.0317970,334241.91,2769559.19,2015-07-07,河川污染分類指標,River Pollution Index,RPI,1.0,
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,大腸桿菌群,Coliform Group,Coliform,380,CFU/100mL
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,溶氧飽和度,Dissolved Oxygen Saturation,DOS,104.8,%
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,氯鹽,Chloride,Cl,-,mg/L
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,氨氮,NH3-N,NH3-N,<0.01,mg/L
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,化學需氧量,Chemical Oxygen Demand,COD,6.1,mg/L
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,生化需氧量,Biochemical Oxygen Demand,BOD5,<1.0,mg/L
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,溶氧(電極法),Dissolved Oxygen,DO,8.3,mg/L
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,懸浮固體,Suspended Solid,SS,1.3,mg/L
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,氣溫,Temperature,TMP,30.9,℃
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,導電度,Conductivity,EC,158,μmho/cm25℃
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,酸鹼值,pH,pH,8.5,
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,水溫,Water Temperature,WT,26.6,℃
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,2015-07-09,河川污染分類指標,River Pollution Index,RPI,1.0,
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,大腸桿菌群,Coliform Group,Coliform,2500,CFU/100mL
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,溶氧飽和度,Dissolved Oxygen Saturation,DOS,32.6,%
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,氯鹽,Chloride,Cl,6020,mg/L
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,氨氮,NH3-N,NH3-N,1.26,mg/L
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,化學需氧量,Chemical Oxygen Demand,COD,20.3,mg/L
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,生化需氧量,Biochemical Oxygen Demand,BOD5,2.7,mg/L
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,溶氧(電極法),Dissolved Oxygen,DO,2.2,mg/L
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,懸浮固體,Suspended Solid,SS,30.2,mg/L
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,氣溫,Temperature,TMP,26.9,℃
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,導電度,Conductivity,EC,17700,μmho/cm25℃
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,酸鹼值,pH,pH,7.6,
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,水溫,Water Temperature,WT,29.7,℃
時潮橋(原為復興橋),Fusing Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.16,2745832.23,2015-07-09,河川污染分類指標,River Pollution Index,RPI,4.0,
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,大腸桿菌群,Coliform Group,Coliform,20000,CFU/100mL
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,溶氧飽和度,Dissolved Oxygen Saturation,DOS,62.7,%
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,氯鹽,Chloride,Cl,-,mg/L
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,氨氮,NH3-N,NH3-N,3.42,mg/L
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,化學需氧量,Chemical Oxygen Demand,COD,14.5,mg/L
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,生化需氧量,Biochemical Oxygen Demand,BOD5,4.2,mg/L
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,溶氧(電極法),Dissolved Oxygen,DO,4.7,mg/L
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,懸浮固體,Suspended Solid,SS,13.4,mg/L
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,氣溫,Temperature,TMP,31.7,℃
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,導電度,Conductivity,EC,248,μmho/cm25℃
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,酸鹼值,pH,pH,7.3,
