月,總計, 亞洲, 　香港, 　印尼, 　日本, 　韓國, 　中國大陸, 　馬來西亞, 　新加坡, 　泰國, 　越南, 中東, 　科威特, 　沙烏地阿拉伯, 歐洲, 　法國, 　德國, 　義大利, 　英國, 非洲, 　奈及利亞, 北美洲, 　加拿大, 　美國, 中美洲, 　墨西哥, 　巴拿馬, 南美洲, 　阿根廷, 　巴西, 大洋洲, 　澳大利亞, 　紐西蘭
2000M01,342385,184876,6550,6887,92689,19265,16312,12159,9843,7635,1304,18019,2030,5366,49069,4488,14976,4073,5019,9648,745,64877,3258,61619,1428,1297,4,3973,157,1501,10309,9097,968
2000M02,280342,158881,3866,5694,81695,20388,9988,10651,8151,6841,788,12814,2016,5036,36726,3465,10250,3043,3738,6725,5,53050,2885,50164,999,884,2,2363,90,694,8651,7886,626
2000M03,356549,202294,5704,7313,98727,23342,15227,17206,11252,6504,1196,19722,1683,8515,48492,4210,14518,3733,4487,8561,843,62227,3268,58959,1866,1761,5,3656,162,1349,9539,8159,1144
2000M04,373106,220203,6095,7774,110813,26685,16940,14027,13679,6734,1311,12818,2063,4196,52535,4479,14952,3556,5363,4924,802,66469,3594,62871,1841,1707,2,4559,210,1572,9581,8095,1264
2000M05,392928,216872,6634,8189,103672,24841,18133,14148,15270,8750,1768,21338,4417,8039,53749,4352,15002,3625,5852,9479,1333,73782,4361,69421,1974,1819,5,3317,449,845,12220,10578,1255
2000M06,359273,207203,5954,7234,100490,23983,17147,13160,16452,6951,1091,16217,115,6422,47953,4041,15243,3188,4917,8610,1430,63920,2786,61134,1511,1351,3,3930,128,1541,9727,8513,921
2000M07,417599,230302,6031,8880,111458,26393,17477,16745,16252,8102,1176,16537,1901,6715,54994,5217,15774,3876,5463,8758,7,89244,3334,85908,2131,1911,3,4829,309,2118,10627,9380,993
2000M08,378666,203386,5689,7685,98312,23629,15383,14764,14438,6693,1210,18986,2237,8356,48458,4744,14617,3749,5281,11333,897,79012,3342,75670,1734,1505,7,3995,164,1682,11597,10488,900
2000M09,368741,215313,6840,8418,101424,24549,16357,16017,15658,7015,1228,16685,4104,6314,49600,5396,16056,3751,4601,7552,141,63469,3506,59963,1631,1374,8,3593,139,1621,10695,9263,1164
2000M10,388717,219493,7187,8399,107488,24126,17744,13778,13186,8071,1286,17090,1488,10177,52334,5916,13419,4653,5334,7440,1023,75010,3669,71341,2548,1518,2,3628,93,1354,11016,9956,797
2000M11,386969,214259,7227,9373,105833,22987,18021,13010,11790,7411,1229,20161,3691,5251,53680,5508,16026,3568,5378,7930,1993,75049,3065,71979,1464,1075,11,3711,160,1077,10553,9355,970
2000M12,345951,188032,6058,8523,92203,21289,15711,11071,11003,5979,1188,20355,5110,10753,48159,5676,13226,2801,5546,11782,1104,62465,2987,59478,1385,1143,12,3828,176,1957,9863,8801,917
2001M01,308611,162879,5707,6741,71059,19286,15503,10965,9993,6505,1457,16977,1881,6267,43714,4717,12679,2891,4258,8146,943,61358,2425,58933,1006,882,9,3083,101,967,11318,10112,933
2001M02,296618,161677,5086,5310,78344,19121,12069,11039,9924,6090,830,15358,1827,6488,40339,4091,11135,3171,5333,7107,930,58403,2602,55801,875,693,3,3005,110,1302,9730,8625,850
2001M03,326755,181494,6409,6973,83979,19870,17479,12752,9541,6268,1388,16821,1852,8276,43211,3845,12676,3336,4468,9366,2,61536,2797,58739,1537,1197,5,2899,88,999,9733,8553,964
2001M04,348753,186292,6844,8298,83667,21017,18636,13106,10090,7684,1240,23571,4788,7898,49250,8841,13183,3564,4221,11954,4,62545,3001,59544,1332,1151,6,2588,90,901,11180,9662,1189
2001M05,296228,159813,5687,8223,70562,17766,16194,10870,8878,6559,1133,17530,2566,6834,41095,5379,12098,2985,4044,6446,1066,55777,3017,52760,1287,911,2,3596,81,1959,10558,9163,1007
2001M06,296514,160494,5219,8187,74914,17034,15228,10642,8516,6350,1153,18132,4954,8201,41666,6942,11820,2545,3574,8247,1939,53214,2884,50330,1383,1011,11,3499,105,1387,9760,8487,960
2001M07,321125,165516,5173,7736,70858,19572,16563,11431,10732,6533,1233,23990,5353,11001,48914,10979,12328,3433,3720,9303,1904,57154,2748,54406,1564,1412,20,3606,80,1719,10913,9370,1178
2001M08,268757,146442,5441,7032,59244,16703,16479,11994,8956,5122,1187,18372,1626,7735,37899,5074,10790,3578,4040,4977,3,46602,3601,43001,1364,1179,22,3294,84,1363,9660,8251,1068
2001M09,270332,149510,5193,6320,62789,15347,14807,12897,9561,5142,1072,21427,3147,11711,33897,4795,9886,2686,2979,9087,1734,42903,2740,40163,1790,1631,16,2982,99,1543,8585,7568,707
2001M10,338598,192487,7144,6753,84108,21545,20803,15053,10977,6542,1438,18536,3622,6036,47142,6226,13268,3673,4383,6583,899,58190,3398,54792,1721,1480,37,2507,195,870,11135,9629,1133
2001M11,276211,156941,5661,6773,65420,16909,17067,10888,8900,5192,1092,14424,4049,5136,39430,7290,10940,2293,3516,3228,1,50536,2508,48027,1411,1238,9,1666,88,698,8419,7407,828
2001M12,295679,170534,5702,7059,69622,23116,18802,11407,8832,5972,1161,18340,2681,7340,42253,4344,13500,2621,4574,5180,668,46308,2491,43817,1719,1504,12,2519,113,1339,8594,7450,897
2002M01,259857,152910,5079,5002,58055,19042,16730,11671,9724,5851,1057,13294,609,6359,33006,4283,10132,2448,3359,4147,1939,43876,2014,41862,1376,997,16,2469,80,1150,8323,7325,885
