表11 青年勞工初次,,,,,,,尋職前做過的準備,,,,
 中華民國 ,,,,,,, 105年 10月 ,,,, 單位：人，％ 
項目別,樣本數,合計,,,有做,,準備,,,,沒有做準備
,,,計,增加打工經驗,考取專業證照,,做職業興趣分析,找老師諮詢就業方向,參加就業講座,其他,
總計," 4,047 ", 100.00 , 54.06 , 28.57 , 25.17 ,, 21.28 , 9.45 , 7.97 , 0.25 , 45.94 
性別,,,,,,,,,,,
男," 1,641 ", 100.00 , 50.75 , 26.80 , 20.69 ,, 21.07 , 9.29 , 6.09 , 0.31 , 49.25 
女," 2,406 ", 100.00 , 57.13 , 30.21 , 29.32 ,, 21.47 , 9.59 , 9.72 , 0.19 , 42.87 
年齡,,,,,,,,,,,
15~19歲, 129 , 100.00 , 32.31 , 21.58 , 9.78 ,, 7.69 , 9.85 , 2.05 , -   , 67.69 
20~24歲," 1,061 ", 100.00 , 53.03 , 31.76 , 23.60 ,, 21.14 , 10.94 , 7.96 , 0.19 , 46.97 
25~29歲," 2,857 ", 100.00 , 57.22 , 27.67 , 27.87 ,, 22.98 , 8.58 , 8.69 , 0.31 , 42.78 
教育程度,,,,,,,,,,,
國中及以下, 72 , 100.00 , 23.84 , 16.20 , 2.50 ,, 3.49 , 3.79 , 3.52 , -   , 76.16 
高中（職）, 796 , 100.00 , 36.54 , 25.43 , 10.77 ,, 10.23 , 6.10 , 1.62 , 0.13 , 63.46 
專科, 200 , 100.00 , 42.03 , 21.99 , 23.86 ,, 13.92 , 5.66 , 5.62 , 0.42 , 57.97 
大學," 2,599 ", 100.00 , 62.08 , 31.91 , 32.23 ,, 26.13 , 9.56 , 9.57 , 0.26 , 37.92 
碩士及以上, 380 , 100.00 , 66.53 , 23.53 , 26.60 ,, 29.90 , 21.81 , 17.47 , 0.47 , 33.47 
專科以上科系,,,,,,,,,,,
人文, 669 , 100.00 , 62.00 , 33.75 , 29.32 ,, 29.01 , 12.33 , 9.24 , 0.14 , 38.00 
社會," 1,329 ", 100.00 , 62.39 , 34.50 , 32.28 ,, 25.00 , 10.38 , 12.04 , 0.21 , 37.61 
科技," 1,240 ", 100.00 , 58.86 , 24.19 , 30.07 ,, 24.42 , 10.45 , 8.95 , 0.45 , 41.14 
說明1：本問項可複選。,,,,,,,,,,,
說明2：專科以上科系可複選。,,,,,,,,,,,
