id,行業別,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
133,不織布業,115217849,132590584,143448337,133867353,156246658,198077782,229028974,306823268,274984165,258295226,273824243,238516558,288734195,289200373,278118338,265651210,266543507
134,繩、纜、網、氈、毯製造,28428515,34444767,42920179,43628607,45005731,48925510,49044846,48432516,51913643,51698999,51536006,48484713,56899971,60241218,59185026,59493567,57395620
135,印染整理,1098174983,1132418543,1153908852,1075159241,1015446889,994281513,928412242,847338424,795312639,758706283,735660323,672926076,732894872,711135433,676075740,695474566,715787426
139,其他紡織品製造,750285988,899311177,1012052748,924783058,942408509,949389522,987679922,888819195,837319685,862987736,810691673,723324711,825481546,833852264,817125010,810146035,813645609
13,紡織業合計,7539856902,7757061153,7958853043,7441794605,7369800522,7219947666,7102233534,6432586857,6213871378,6061172586,5555220839,4951541559,5445534364,5304012547,5053629435,4990006598,4844000295
141,梭織成衣,56820367,58148547,78947565,70919472,64070158,61216411,59922305,53041060,48872256,49248705,48365102,30060281,27089032,28274282,27618191,26765614,25453170
142,針織成衣,183327367,177273180,183238272,168157263,159252422,148854769,154483928,147961980,150862276,137690605,127936185,117280557,125176884,118804751,120983501,125400805,128000456
143,紡織帽製造,5014194,5595363,6335218,6087494,5648935,5100491,4759364,3810832,3481229,3688715,3356232,2313043,2576401,2603539,2605913,2494445,2511125
144,紡織鞋製造,21648935,20067691,21217659,20928693,21262587,20273608,18670607,16903488,15334003,16344668,14692819,12860417,13593051,13624640,13706265,13615624,14308819
145,服飾品製造,63033416,60958166,62155810,55823100,55601164,51553909,51806666,51661850,55070471,54044290,51614468,47918833,49154484,51244357,48801289,52360077,52156259
149,其他紡織製品製造,252985450,295695580,329161839,319869060,325611976,314473889,314284838,295091676,286693305,294128489,296732956,289287961,318673301,268502377,292475708,352499432,360343863
14,成衣、服飾品及其他紡織製品製造合計,582829729,617738527,681056363,641785083,631447242,601473077,603927708,568470886,560313540,555145472,542697762,499721092,536263153,483053946,506190867,573135997,582773692
15,皮革、毛皮及其製品製造,286656712,307838327,322985186,302077143,313918439,311595399,310256564,295113314,281682621,274987061,268596206,259911762,254482011,242049836,232364835,229973564,218481237
16,木竹製品製造,406054284,392171849,391359673,336085514,321595918,319469825,334403409,334665118,336355645,332647470,318311227,279329985,294984913,283231015,271078916,277900916,275155290
171,非金屬家具及裝設品製造,61010408,53514208,48897119,43735670,42784524,37685284,40644198,39492964,39660532,39833510,35998294,31691793,34275206,35160919,34897591,34871403,34328002
172,金屬家具及裝設品製造,72893085,77462158,81439978,73327086,70207126,70542147,73935093,70849700,68990626,69975558,68246437,60240495,70555795,71839411,75418624,76035753,73171817
173,家具及裝設品表面塗裝,18272586,17584273,18555202,17018616,18366476,19152553,19946913,21202147,22309815,23211629,22748579,21988441,23580378,24715386,24343940,27370958,27450334
17,家具及裝設品製造合計,152176079,148560639,148892299,134081371,131358125,127379984,134526204,131544811,130960973,133020697,126993310,113920729,128411379,131715716,134660155,138278114,134950153
181,紙漿製造業,438031618,432500512,473203259,435043828,413755612,447629657,472925060,477440409,502647600,514073140,514660109,464181585,497389552,454424383,430533593,420891737,415353957
182,紙製造業,1368730644,1312298372,1366952564,1263870671,1328467755,1365176241,1424174821,1366185535,1377921770,1432555503,1340343996,1287153157,1249948402,1124718212,1160812164,1101569020,1028965259
183,加工紙製造業,56472467,58495567,70058348,68626437,74611715,75434712,74579012,75267496,52133133,51751819,52450961,52261235,58859503,61421657,59694738,68291492,69330919
184,紙容器製造業,91023812,93989138,104884666,102875656,107546529,112479357,114168646,129179312,141842683,148910000,150358404,148955255,165043646,162092808,165885283,164149475,179735316
189,其他紙製品製造業,123344214,124647077,126634394,124845849,132160748,143318147,159455621,168351508,178894348,186845892,193149111,182784063,182817215,184168114,187393135,191688390,186949441
18,紙漿、紙及紙製品製造合計,2077602755,2021930666,2141733231,1995262440,2056542359,2144038114,2245303160,2216424260,2253439534,2334136354,2250962581,2135335295,2154058318,1986825174,2004318913,1946590114,1880334892
191,印刷業,287953402,293189793,317589662,329402699,353377748,393019992,413455891,429831906,437300024,453925222,450742277,423633838,446236404,454747782,460218935,466742640,471225816
192,製版業,30115794,24323755,24894521,19756070,22298740,20872769,22509925,22221101,22909200,19943103,20528252,18492824,17955884,15860325,16191060,15583456,11735852
193,裝訂及印刷工業,10972227,13102341,17044016,20152239,21914147,23719624,25407565,26409972,26326200,28231554,29101899,29540944,31801307,33983376,34976549,36054613,35668272
194,印刷有關服務業,39723472,42519764,43531261,41345096,41175094,47630083,33612447,37754417,36552403,35353149,36052439,35641406,40816558,41066813,42833439,41991495,42023619
19,印刷及有關事業合計,368764895,373135653,403059460,410656105,438765730,485242468,494985828,516217396,523087827,537453028,536424867,507309012,536810153,545658296,554219983,560372204,560653559
211,基本化學材料製造,1378453008,1458788175,1530908863,1435695930,1500560507,1567865523,1616921959,1654887911,1604111667,1730873876,1866268800,1790325606,1711303925,1664315969,1673989903,1641239419,1614544591
212,人造纖維製造,3842594992,3632759220,3629930197,3580992840,3618762082,3647851342,3627151978,3404455147,3421017594,3505900177,3072499974,2893662701,3324794478,3276951494,3189775766,3259926764,3110735323
213,合成樹脂、塑膠及橡膠製造,1488193268,1545987761,1440363780,1454835281,1509401392,1545150996,1461720036,1410827955,1596982290,,1579809131,1329701414,1425399374,1501852425,1514714086,1467653779,1353562919
219,其他化學材料製造,268927655,281678006,327079562,308831872,311381171,336463394,352607725,359385259,369756043,366851519,357594605,613946119,758431559,790949907,831194729,861790979,877435973
21,化學材料製造業合計,7009582918,6861418669,7033906383,6765884422,6885539041,7061581651,7141832658,6880448353,6805713259,7200607862,6876172510,6627635840,7219929336,7234069795,7209674484,7230610941,6956278806
221,塗料、漆料及相關產品製造,430760532,412376807,456129913,402428746,396385964,418575464,428369841,403493301,402378047,375365351,379576204,380239423,417590477,438662518,426206061,394610385,333207353
222,藥品製造,303258451,304583641,346716379,352966322,355761641,372355485,396614307,416868494,430920251,449907866,467156472,490027944,538217184,584203516,621275440,680145292,734563305
223,清潔用品製造,68040680,69950308,70715603,60724397,60750781,66159771,66798225,72811224,75347484,77227273,78219006,76787062,83800126,79196063,78230684,85851440,86378932
224,化妝品製造,20755114,21640165,26282531,26624138,28431059,32366388,33247591,37164275,41084027,45914945,49941501,48773300,59526340,66611602,71942081,79990571,88096068
229,其他化學製品製造,229其他化學製品製造,1067543096,1496129599,1612764275,1586465441,1649579973,1683684086,1808879020,1799039637,1794737215,1738578440,1666128315,2120010899,2202418500,2110033667,1880392351,1836667830
22,化學製品製造業合計,1890357873,2304680520,2512608701,2429209046,2490909418,2573141194,2733908984,2729376931,2744467024,2744326650,2713471623,2661956044,3219145026,3371092199,3307687933,3120990039,3078913488
231,石油煉製,1366281171,1292239771,1153876445,1223973399,925753179,1094016434,1105508492,1146516600,1222089482,1331038421,1472742624,1645584820,1760232135,1743741711,1827076980,1920808371,1928534525
239,其他石油及煤製品製造,727691585,682081960,419356617,771465614,454433406,489763238,407793835,389203019,365377130,421993098,354429904,401885199,428980679,495038338,500264932,417950640,455443146
23,石油及煤製品製造業合計,2093972756,1974321731,1573233062,1995439013,1380186585,1583779672,1513302327,1535719619,1587466612,1753031519,1827172528,2047470019,2189212814,2238780049,2327341912,2338759011,2383977671
24,橡膠製品製造業,779047654,816021082,834004298,786130766,855885026,936253809,972049107,960148228,950600553,987979425,1003805855,973866642,1142815159,1184936371,1160626931,1187970121,1221665794
25,塑膠製品製造業,3239695299,3495445572,3712452662,3584816753,3930538429,4044853487,4255693977,4214966371,4346002436,4599145426,4439333777,4380314960,4991640357,4930394813,4952067051,5048439067,5116473563
261,陶瓷器及其製品製造,516796779,480708465,441305957,360147095,335693213,360704949,405052842,411709747,424842258,426162722,368301029,293076619,325429842,334815721,331791646,351231877,358605568
262,玻璃及玻璃製品製造,585058582,637897532,702108272,669835664,756907999,828079953,1031793724,1312538168,1645300489,1842565769,1935939177,1764379256,2074354059,2226069879,2339572508,2500284645,2467805641
263,水泥及水泥製品製造,2079305157,1928415370,1865616839,1925700715,1992551643,1977313501,2039670076,2182067149,2148326950,2010368082,1844408387,1704962505,1778375551,1839195946,1770180862,1899344593,1835255952
264,耐火材料製造,24722817,25613592,27874087,28236716,29077848,33800383,43418522,47504052,49188072,50050056,50516253,34029347,40012805,41964877,39278381,44125453,44391172
