表33、青年勞工初次就業年齡─按性別、年齡、教育程度別分,,,,,,,
,,,中華民國,97年10月,,,單位：人，%，歲
項    目    別,樣 本 數,合    計,15~18歲,19~21歲,22~25歲,26~29歲,平均年齡
,,,,,,,
,,,,,,,
  部分工時工作, 441 , 100.00 , 56.67 , 24.40 , 17.54 , 1.39 , 18.85 
  僱用類型,,,,,,,
  一般員工," 3,833 ", 100.00 , 28.09 , 20.86 , 45.28 , 5.76 , 21.03 
  派遣員工, 179 , 100.00 , 39.95 , 21.90 , 32.70 , 5.44 , 20.20 
  工作年資別,,,,,,,
  未滿1年, 247 , 100.00 , 25.04 , 11.93 , 54.75 , 8.28 , 21.77 
  1~未滿3年," 1,340 ", 100.00 , 21.35 , 11.81 , 55.25 , 11.59 , 21.95 
  3~未滿6年," 1,448 ", 100.00 , 22.28 , 21.03 , 52.92 , 3.77 , 21.36 
  6~未滿10年, 766 , 100.00 , 41.30 , 38.79 , 19.91 , - , 19.32 
  10年及以上, 211 , 100.00 , 76.44 , 23.56 , - , - , 17.58 
  每月工作收入別  ,,,,,,,
"  未滿17,280元", 337 , 100.00 , 60.14 , 25.80 , 13.47 , 0.59 , 18.52 
"  17,280 ~未滿2萬元", 309 , 100.00 , 54.15 , 24.50 , 19.74 , 1.60 , 18.94 
  2萬~未滿2萬5千元, 792 , 100.00 , 36.58 , 27.22 , 34.59 , 1.60 , 20.11 
  2萬5千~未滿3萬元," 1,021 ", 100.00 , 25.32 , 22.03 , 49.22 , 3.44 , 21.04 
  3萬~未滿3萬元5千元, 785 , 100.00 , 16.40 , 18.10 , 58.92 , 6.58 , 21.94 
  3萬5千元~未滿4萬元, 357 , 100.00 , 14.52 , 15.34 , 56.87 , 13.27 , 22.48 
  4萬~未滿4萬5千元, 204 , 100.00 , 10.57 , 11.09 , 55.69 , 22.66 , 23.24 
  4萬5千元~未滿5萬元, 100 , 100.00 , 15.07 , 7.32 , 61.61 , 16.00 , 22.84 
  5萬元以上, 107 , 100.00 , 11.95 , 8.22 , 66.24 , 13.60 , 22.94 
