表25、青年勞工目前工作平均每月工作收入,,,,,,,─按性別、年齡、教育程度別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%，元
  金融及保險業, 176 , 100.00 , 1.12 , 2.77 , 9.52 ,, 21.81 , 32.35 , 12.42 , 9.68 , 4.29 , 6.04 ," 32,807 "
  不動產及租賃業, 51 , 100.00 , 11.20 , 7.60 , 20.64 ,, 25.72 , 15.21 , 6.18 , 7.33 , - , 6.12 ," 28,808 "
  專業科學及技術服務業, 244 , 100.00 , 4.71 , 5.63 , 14.16 ,, 25.41 , 22.22 , 9.08 , 9.45 , 5.28 , 4.07 ," 30,079 "
  教育服務業, 32 , 100.00 , 6.38 , 8.88 , 9.73 ,, 21.30 , 22.76 , 18.83 , 7.93 , 1.78 , 2.41 ," 29,435 "
  醫療保健及社會福利服務業, 138 , 100.00 , 6.33 , 6.40 , 12.63 ,, 20.73 , 20.94 , 15.02 , 9.52 , 3.11 , 5.31 ," 31,165 "
  文化運動及休閒服務業, 82 , 100.00 , 14.46 , 10.99 , 18.54 ,, 21.92 , 24.54 , 0.74 , 3.81 , 1.89 , 3.11 ," 26,842 "
  其他服務業, 212 , 100.00 , 13.35 , 12.46 , 23.99 ,, 26.56 , 18.41 , 2.63 , 2.34 , 0.27 , - ," 24,070 "
  公共行政業, 37 , 100.00 , 15.23 , 26.29 , 7.87 ,, 17.28 , 21.37 , 3.94 , 4.95 , 2.02 , 1.06 ," 24,908 "
  規模別,,,,,,,,,,,,,
  29人以下," 1,388 ", 100.00 , 7.99 , 11.12 , 25.09 ,, 27.32 , 18.23 , 5.42 , 2.26 , 1.61 , 0.96 ," 25,833 "
  30人～49人, 304 , 100.00 , 8.29 , 10.21 , 23.20 ,, 25.67 , 18.22 , 8.38 , 3.30 , 1.52 , 1.22 ," 26,275 "
  50人～199人, 678 , 100.00 , 7.02 , 5.90 , 21.34 ,, 31.06 , 16.91 , 8.06 , 5.70 , 2.54 , 1.48 ," 27,418 "
  200人～499人, 434 , 100.00 , 10.58 , 6.90 , 18.52 ,, 24.98 , 22.42 , 7.51 , 5.02 , 1.55 , 2.51 ," 27,496 "
  500人以上," 1,208 ", 100.00 , 8.88 , 4.49 , 12.30 ,, 20.25 , 21.89 , 14.04 , 8.43 , 4.03 , 5.68 ," 30,871 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表27、青年勞工目前工作平均每月工作收入,,,,,,,─按職業、工作性質、工作年資別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%，元
項    目    別,樣 本 數,合    計,"未滿17,280元","17,280~
未滿2萬元","2萬~未滿
2萬5千元",,"2萬5千~未滿
3萬元","3萬~未滿
3萬5千元","3萬5千元~
未滿4萬元","4萬~未滿
4萬5千元","4萬5千元~
未滿5萬元",5萬元及以上,"平均
每月薪資"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 8.40 , 7.71 , 19.75 ,, 25.45 , 19.56 , 8.91 , 5.08 , 2.48 , 2.66 ," 27,831 "
  職業別,,,,,,,,,,,,,
  行政、企業主管及經理人員, 62 , 100.00 , 2.07 , 4.62 , 8.97 ,, 10.95 , 21.94 , 9.02 , 7.26 , 17.39 , 17.78 ," 45,577 "
  專業人員, 548 , 100.00 , 0.49 , 2.32 , 3.16 ,, 14.45 , 25.35 , 21.58 , 16.39 , 7.72 , 8.54 ," 36,555 "
  技術員及助理專業人員, 862 , 100.00 , 2.87 , 4.10 , 16.60 ,, 32.54 , 23.56 , 11.62 , 4.82 , 1.51 , 2.38 ," 29,098 "
  事務工作人員," 1,072 ", 100.00 , 4.05 , 8.74 , 28.20 ,, 30.72 , 18.10 , 6.04 , 2.55 , 0.56 , 1.06 ," 26,233 "
  服務工作人員及售貨員, 858 , 100.00 , 26.27 , 10.61 , 17.21 ,, 21.95 , 14.98 , 4.48 , 2.92 , 0.77 , 0.81 ," 22,891 "
