表6 青年勞工現職,,,,,,,工作平均每月薪資,,,,,,,
,,,,, 中華民國 ,, 103年10月 ,,,,, 單位：人，％，元 ,,
項目別,樣本數,合計,"未滿
工業," 1,253 ", 100.00 , 4.12 , 1.93 , 22.21 ,, 23.50 , 22.54 , 10.81 , 7.53 , 3.61 , 3.76 ," 30,069 ",
礦業及土石採取業, 46 , 100.00 , - , 3.30 , 17.23 ,, 28.23 , 14.24 , 8.94 , 17.15 , 5.65 , 5.27 ," 31,816 ",
製造業, 903 , 100.00 , 4.23 , 2.12 , 22.24 ,, 23.79 , 22.29 , 9.97 , 7.28 , 4.07 , 4.01 ," 30,071 ",
電力及燃氣供應業, 96 , 100.00 , - , 1.92 , 15.22 ,, 21.12 , 34.47 , 12.38 , 7.99 , 5.10 , 1.79 ," 30,986 ",
用水供應及污染整治業, 78 , 100.00 , 5.93 , - , 15.52 ,, 38.00 , 21.16 , 11.21 , 5.41 , - , 2.77 ," 28,685 ",
營造業, 130 , 100.00 , 3.09 , 0.54 , 22.76 ,, 19.62 , 24.51 , 17.88 , 9.78 , - , 1.81 ," 30,162 ",
服務業," 2,713 ", 100.00 , 9.04 , 1.50 , 20.91 ,, 28.99 , 20.79 , 8.20 , 5.43 , 2.34 , 2.80 ," 28,416 ",
批發及零售業, 812 , 100.00 , 10.12 , 1.59 , 25.12 ,, 29.42 , 19.49 , 6.44 , 4.42 , 1.63 , 1.77 ," 27,156 ",
運輸及倉儲業, 125 , 100.00 , 6.58 , 0.53 , 9.34 ,, 28.84 , 25.48 , 13.70 , 6.45 , 6.18 , 2.90 ," 31,076 ",
住宿及餐飲業, 220 , 100.00 , 17.76 , 1.33 , 19.67 ,, 35.42 , 16.07 , 5.39 , 2.08 , 1.14 , 1.13 ," 25,399 ",
資訊及通訊傳播業, 163 , 100.00 , 8.79 , 0.35 , 13.52 ,, 26.35 , 28.29 , 6.22 , 7.63 , 3.90 , 4.96 ," 30,166 ",
金融及保險業, 200 , 100.00 , 2.06 , 2.35 , 6.11 ,, 21.56 , 36.52 , 9.61 , 10.13 , 1.75 , 9.91 ," 35,681 ",
不動產業, 87 , 100.00 , 2.52 , 2.17 , 14.73 ,, 45.13 , 9.95 , 13.38 , 7.23 , 3.12 , 1.78 ," 29,278 ",
專業、科學及技術服務業, 242 , 100.00 , 1.20 , 0.88 , 13.46 ,, 27.63 , 24.89 , 12.32 , 8.15 , 5.63 , 5.85 ," 32,157 ",
支援服務業, 117 , 100.00 , 6.23 , 0.52 , 34.37 ,, 33.33 , 15.44 , 4.12 , 4.76 , 0.70 , 0.54 ," 26,453 ",
公共行政及國防;強制性社會安全, 140 , 100.00 , 10.69 , 8.60 , 20.16 ,, 10.44 , 30.86 , 9.30 , 5.90 , 3.49 , 0.56 ," 28,272 ",
教育服務業, 173 , 100.00 , 5.87 , 3.95 , 12.75 ,, 23.87 , 29.30 , 12.23 , 9.04 , 2.34 , 0.65 ," 29,443 ",
醫療保健及社會工作服務業, 230 , 100.00 , 3.39 , - , 18.96 ,, 23.09 , 19.06 , 16.74 , 9.25 , 2.89 , 6.62 ," 32,193 ",
藝術、娛樂及休閒服務業, 59 , 100.00 , 10.66 , - , 37.95 ,, 28.95 , 18.20 , 3.99 , 0.27 , - , - ," 25,449 ",
其他服務業, 145 , 100.00 , 15.41 , 5.15 , 26.43 ,, 22.19 , 18.28 , 3.89 , 1.77 , 4.65 , 2.22 ," 25,822 ",
說明：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,,,
表6 青年勞工現職,,,,,,,工作平均每月薪資(續),,,,,,,
,,,,, 中華民國 ,, 103年10月 ,,,,, 單位：人，％，元 ,,
項目別,樣本數,合計,"未滿
19,273元","19,273~未滿
2萬元","2萬~未滿
2萬5千元",,"2萬5千~未滿
3萬元","3萬~未滿
3萬5千元","3萬5千元~未滿
4萬元","4萬~未滿
4萬5千元","4萬5千元~未滿
5萬元","5萬元
及以上","平均
每月薪資",
,,,,,,,,,,,,,,std
總計," 4,034 ", 100.00 , 7.52 , 1.64 , 21.32 , -   , 27.29 , 21.34 , 9.01 , 6.07 , 2.72 , 3.10 ," 28,925 ",
職業,,,,,,,,,,,,,,
民意代表、主管及經理人員, 33 , 100.00 , - , - , - ,, 1.05 , 6.67 , 53.32 , 16.34 , 7.70 , 14.92 ," 39,527 ",
專業人員, 636 , 100.00 , 1.32 , 0.03 , 6.01 ,, 13.04 , 22.89 , 19.77 , 15.72 , 8.83 , 12.40 ," 37,335 ",
技術員及助理專業人員, 973 , 100.00 , 3.01 , 0.42 , 17.47 ,, 30.64 , 26.41 , 10.03 , 7.26 , 2.46 , 2.30 ," 29,934 ",
事務支援人員," 1,144 ", 100.00 , 5.82 , 2.49 , 25.92 ,, 34.57 , 22.30 , 5.23 , 3.07 , 0.52 , 0.07 ," 26,683 ",
服務及銷售工作人員, 653 , 100.00 , 19.08 , 1.80 , 27.57 ,, 28.90 , 13.25 , 4.17 , 2.22 , 1.67 , 1.35 ," 25,065 ",
農林漁牧業生產人員, 34 , 100.00 , 0.77 , 1.38 , 19.73 ,, 47.45 , 18.37 , 12.31 , - , - , - ," 27,476 ",
技藝有關工作人員, 172 , 100.00 , 4.32 , 5.35 , 25.19 ,, 24.05 , 26.41 , 8.03 , 3.83 , 1.96 , 0.86 ," 27,814 ",
機械設備操作及組裝人員, 222 , 100.00 , 3.99 , 0.86 , 33.33 ,, 27.19 , 21.27 , 7.58 , 3.83 , 1.05 , 0.91 ," 27,444 ",
基層技術工及勞力工, 167 , 100.00 , 15.45 , 6.35 , 28.11 ,, 24.40 , 21.50 , 2.05 , 2.14 , - , - ," 24,111 ",
工作地區,,,,,,,,,,,,,,
工作地區," 1,782 ", 100.00 , 6.63 , 1.02 , 15.42 ,, 28.02 , 23.30 , 10.14 , 7.68 , 3.64 , 4.15 ," 30,340 ",
中部地區," 1,049 ", 100.00 , 8.76 , 2.09 , 27.14 ,, 28.55 , 18.82 , 7.18 , 3.44 , 1.90 , 2.13 ," 27,331 ",
南部地區, 911 , 100.00 , 8.81 , 2.90 , 31.94 ,, 23.82 , 18.64 , 7.68 , 4.21 , 0.93 , 1.07 ," 26,532 ",
東部地區, 292 , 100.00 , 7.82 , 3.53 , 35.32 ,, 25.94 , 12.78 , 7.53 , 4.21 , 1.54 , 1.34 ," 26,550 ",
規模,,,,,,,,,,,,,,
