表013、青年勞工目前工作平均每月工作收入,,,,,,,,─按性別、年齡、教育程度、大專以上科系別分,,,,,
,,,,,,中華民國,,九十五年七月,,,,,單位：人，%，元
項    目    別,加  權  後        樣  本  數,合    計,"15,840元
以       下","15,840元 ~ 
 未滿2萬元","2萬元   ~ 
 未滿2.5萬元","2.5萬元 ~
未滿3萬元",,3萬元   ~                        未滿3.5萬元,"3.5萬元 ~
未滿4萬",4萬元   ~                        未滿4.5萬元,"4.5萬元  ~
未滿5萬元",5萬元以上,平均薪資
項    目    別,加  權  後        樣  本  數,合    計,"15,840元
以       下","15,840元 ~ 
 未滿2萬元","2萬元   ~ 
 未滿2.5萬元","2.5萬元 ~
未滿3萬元",,3萬元   ~                        未滿3.5萬元,"3.5萬元 ~
未滿4萬",4萬元   ~                        未滿4.5萬元,"4.5萬元  ~
未滿5萬元",5萬元以上,平均薪資
總                                 計,4968,100,4.47,7.18,18.58,22.82,,21.92,10.83,7.6,2.96,3.64,29356
  工 作 年 資,,,,,,,,,,,,,
3年以下,2769,100,5.51,8.1,19.68,24.3,,20.73,10.54,6.37,2.03,2.73,28197
3～5年,1523,100,3.92,6.38,16.73,20.85,,22.81,11.05,9.8,4.13,4.33,30880
6～10年,620,100,1.56,5.02,16.96,21.23,,25.51,12.1,7.51,4.35,5.76,30799
10年以上,56,100, - ,6.92,32.34,20.78,,16.71,5.34,9.72,1.7,6.5,29259
  職          業    ,,,,,,,,,,,,,
企業主管及經理人員,75,100, - ,3.34,3.57,19.19,,24,9.51,12.92,7.8,19.66,40224
專業人員,863,100,1.07,0.76,4.77,13.41,,24.69,18.29,19.43,8.44,9.14,36445
技術員及助理專業人員,1523,100,1.36,4.4,15.41,26.21,,26.39,12.26,7.6,2.42,3.93,30823
事務工作人員,1107,100,2.18,10.72,32.06,28.28,,16.38,6.72,2.29,0.65,0.72,25845
服務工作人員及售貨員,638,100,19.4,10.57,19.73,19.27,,16.24,7.77,3.68,1.94,1.41,24363
農林漁牧工作人員,13,100, - ,1.31,37.97,28.47,,25.02,7.23, - , - , - ,26158
技術工及有關工作人員,267,100,2.12,12.14,13.96,24.13,,25.88,11.7,7.91,2.16, - ,28389
機械設備操作及組裝工,268,100,1.93,9.73,28.4,21.08,,22.1,7.7,4.54,1.44,3.08,27397
非技術工及體力工,214,100,15.54,16.67,21.25,20.46,,18.4,4.42,1.12,1.12,1.03,23403
,,,,,,,,,,,,,
-18-,,,,,,,,-19-,,,,,
