"表05 青年勞工現職工作
",,,,,,,,"平均每月薪資
人文, 535 , 100.00 , 5.34 , 3.73 , 26.53 , 32.86 ,, 18.56 , 7.83 , 2.91 , 1.00 , 1.25 ," 26,977 "
社會," 1,286 ", 100.00 , 2.08 , 4.71 , 22.93 , 30.70 ,, 22.67 , 9.05 , 4.81 , 0.67 , 2.39 ," 28,466 "
科技," 1,086 ", 100.00 , 2.12 , 2.73 , 13.43 , 22.15 ,, 22.67 , 12.05 , 11.32 , 5.48 , 8.06 ," 32,941 "
行業,,,,,,,,,,,,,
農、林、漁、牧業, 68 , 100.00 , 4.31 , 7.48 , 44.49 , 17.32 ,, 21.55 , 3.11 , 1.74 , - , - ," 25,204 "
工業," 1,345 ", 100.00 , 2.80 , 6.04 , 24.75 , 26.24 ,, 18.46 , 8.45 , 6.84 , 2.57 , 3.86 ," 28,844 "
礦業及土石採取業, 40 , 100.00 , 5.10 , 14.43 , 25.11 , 5.69 ,, 16.50 , 12.60 , 14.63 , - , 5.93 ," 28,974 "
製造業, 985 , 100.00 , 2.99 , 6.23 , 25.53 , 25.50 ,, 17.35 , 8.44 , 6.91 , 2.88 , 4.18 ," 28,877 "
電力及燃氣供應業, 106 , 100.00 , - , - , 14.76 , 17.68 ,, 20.52 , 18.30 , 14.64 , 3.80 , 10.29 ," 33,733 "
用水供應及污染整治業, 95 , 100.00 , 4.12 , 4.26 , 22.38 , 42.97 ,, 17.69 , 5.07 , 3.51 , - , - ," 26,364 "
營造業, 119 , 100.00 , 0.93 , 4.54 , 18.02 , 31.41 ,, 28.89 , 8.70 , 6.39 , - , 1.11 ," 28,698 "
服務業," 2,651 ", 100.00 , 10.48 , 7.49 , 22.83 , 25.01 ,, 18.07 , 7.27 , 4.51 , 1.68 , 2.66 ," 26,722 "
批發及零售業, 771 , 100.00 , 14.11 , 7.36 , 25.49 , 24.30 ,, 17.15 , 5.61 , 3.00 , 0.94 , 2.05 ," 25,361 "
運輸及倉儲業, 126 , 100.00 , 4.31 , 5.51 , 17.69 , 29.06 ,, 25.60 , 4.86 , 1.81 , 2.00 , 9.16 ," 29,668 "
住宿及餐飲業, 184 , 100.00 , 19.81 , 6.26 , 27.94 , 28.87 ,, 10.19 , 3.53 , 1.82 , 0.98 , 0.60 ," 23,105 "
資訊及通訊傳播業, 163 , 100.00 , 11.02 , 7.58 , 12.26 , 26.22 ,, 21.67 , 10.15 , 7.39 , 1.74 , 1.96 ," 27,846 "
金融及保險業, 204 , 100.00 , 0.38 , 4.88 , 10.04 , 21.82 ,, 27.26 , 16.08 , 8.72 , 4.28 , 6.54 ," 33,603 "
不動產業, 99 , 100.00 , 4.03 , 7.23 , 17.92 , 31.08 ,, 11.22 , 1.77 , 7.52 , 2.22 , 17.00 ," 30,858 "
專業、科學及技術服務業, 212 , 100.00 , 3.08 , 6.13 , 17.60 , 24.81 ,, 19.44 , 13.22 , 10.39 , 2.31 , 3.02 ," 30,090 "
支援服務業, 150 , 100.00 , 4.74 , 10.01 , 28.15 , 28.23 ,, 20.60 , 3.77 , 1.21 , 3.26 , - ," 25,863 "
