"類型 Class","觀光遊憩區","縣市別","1月 Jan.","2月 Feb.","3月 Mar.","4月 Apr.","5月 May","6月 Jun.","7月 Jul.","8月 Aug.","9月 Sep.","10月 Oct.","11月 Nov.","12月 Dec.","合計",,,,,,,,
,"武陵國家森林遊樂區◎
Wuling National Forest Recreation Area",臺中市 Taichung City,"32,308 ","70,487 ","30,196 ","16,114 ","12,324 ","19,848 ","34,676 ","29,811 ","15,817 ","25,057 ","47,631 ","34,311 ","368,580 ",,,,,,,,
,"奧萬大國家森林遊樂區
Aowanda National Forest Recreation Area",南投縣 Nantou County,"16,509 ","32,095 ","5,988 ","2,938 ","2,531 ","3,587 ","5,495 ","5,742 ","4,697 ","21,694 ","76,148 ","105,934 ","283,358 ",,,,,,,,
Forest Recreation Areas,惠蓀林場                                                                                                       Huisun Forest Recreation Area,南投縣 Nantou County,"10,260 ","27,600 ","11,845 ","13,593 ","11,233 ","16,876 ","16,035 ","14,728 ","16,452 ","20,788 ","19,302 ","12,720 ","191,432 ",,,,,,,,
,"溪頭森林遊樂區
Sitou Forest Recreation Area",南投縣 Nantou County,"73,932 ","103,835 ","101,184 ","97,238 ","96,658 ","131,555 ","164,079 ","142,991 ","132,001 ","125,428 ","130,427 ","88,349 ","1,387,677 ",,,,,,,,
,"合歡山國家森林遊樂區
Hehuanshan National Forest Recreation Area",南投縣 Nantou County,"1,786 ","1,939 ","1,537 ","1,773 ","2,298 ","2,821 ","3,097 ","2,655 ","2,277 ","2,625 ","2,752 ","2,426 ","27,986 ",,,,,,,,
,"阿里山國家森林遊樂區◎
Alishan National Forest Recreation Area",嘉義縣 Chiayi County,"150,852 ","186,552 ","298,672 ","230,723 ","140,853 ","138,049 ","146,244 ","145,546 ","134,402 ","143,538 ","172,775 ","175,360 ","2,063,566 ",,,,,,,,
,"墾丁國家森林遊樂區◎
Kenting National Forest Recreation Area",屏東縣 Pingtung County,"9,588 ","25,470 ","15,292 ","16,509 ","11,597 ","14,020 ","17,931 ","12,932 ","10,315 ","18,476 ","14,474 ","14,254 ","180,858 ",,,,,,,,
,"雙流國家森林遊樂區
Shuangliou National Forest Recreation Area",屏東縣 Pingtung County,"3,451 ","8,985 ","4,236 ","5,665 ","3,778 ","6,587 ","7,306 ","5,084 ","4,077 ","7,833 ","8,056 ","4,299 ","69,357 ",,,,,,,,
,"太平山國家森林遊樂區
Taipingshan National Forest Recreation Area",宜蘭縣 Yilan County,"14,890 ","31,224 ","15,118 ","15,557 ","13,641 ","25,534 ","29,568 ","29,616 ","14,342 ","19,304 ","24,604 ","23,362 ","256,760 ",,,,,,,,
,"棲蘭森林遊樂區
Cilan Forest Recreation Area",宜蘭縣 Yilan County,"9,006 ","18,079 ","7,268 ","6,786 ","5,762 ","9,689 ","12,075 ","10,751 ","5,800 ","7,262 ","8,960 ","5,846 ","107,284 ",,,,,,,,
