"類型 Class","觀光遊憩區","縣市別","1月 Jan.","2月 Feb.","3月 Mar.","4月 Apr.","5月 May","6月 Jun.","7月 Jul.","8月 Aug.","9月 Sep.","10月 Oct.","11月 Nov.","12月 Dec.","合計",,,,,,,,
,和平島濱海公園                                                                                        Hepingdao Seashore Park,基隆市 Keelung City,"5,185 ","13,894 ","13,427 ","14,235 ","15,894 ","31,801 ","28,803 ","30,440 ","18,616 ","18,622 ","17,302 ","11,799 ","220,018 ",,,,,,,,
,"美麗華摩天輪
Miramar Ferris Wheel",臺北市 Taipei City,"24,969 ","36,629 ","24,827 ","22,514 ","24,380 ","30,841 ","33,512 ","36,702 ","23,947 ","25,898 ","26,647 ","31,018 ","341,884 ",,,,,,,,
,"臺北101景觀臺
TAIPEI 101 OBSERVATORY",臺北市 Taipei City,"184,472 ","143,191 ","184,454 ","219,488 ","182,200 ","170,253 ","165,218 ","210,005 ","190,095 ","193,091 ","207,302 ","206,936 ","2,256,705 ",,,,,,,,
民營遊憩區,關渡自然公園                                                                                                Guandu Nature Park,臺北市 Taipei City,"7,442 ","8,718 ","11,786 ","8,612 ","10,427 ","8,845 ","9,488 ","8,976 ","9,779 ","18,363 ","15,713 ","8,584 ","126,733 ",,,,,,,,
,"台北當代藝術館 
Museum of Contemporary Art, Taipei",臺北市 Taipei City,"10,368 ","11,438 ","12,793 ","12,294 ","16,170 ","17,100 ","17,703 ","17,431 ","17,881 ","20,392 ","17,018 ","19,081 ","189,669 ",,,,,,,,
,八仙海岸                                                                                                     Formosa Fun Coast,新北市 New Taipei City,"8,042 ","10,770 ","6,768 ","4,892 ","3,065 ","38,841 ","98,042 ","97,449 ","21,930 ","16,104 ","9,619 ","11,191 ","326,713 ",,,,,,,,
,"野柳海洋世界◎
Yeliou Ocean World",新北市 New Taipei City,"3,290 ","7,393 ","7,820 ","8,873 ","12,577 ","13,536 ","8,992 ","13,602 ","10,649 ","15,250 ","20,408 ","11,755 ","134,145 ",,,,,,,,
,"雲仙樂園 
Yun Hsien Holiday Resort",新北市 New Taipei City,"9,996 ","27,327 ","12,187 ","8,834 ","10,507 ","12,888 ","13,751 ","14,668 ","10,072 ","10,973 ","13,574 ","11,398 ","156,175 ",,,,,,,,
,"三峽鎮大板根森林溫泉渡假村
The Great Roots Forestry Spa Resort",新北市 New Taipei City,"15,167 ","12,618 ","13,491 ","15,177 ","17,774 ","18,492 ","16,878 ","19,136 ","18,985 ","21,820 ","24,146 ","21,072 ","214,756 ",,,,,,,,
Amusememt / Theme Sites,"朱銘美術館 
Juming Museum",新北市 New Taipei City,"4,840 ","11,589 ","12,100 ","9,394 ","10,234 ","12,704 ","15,775 ","18,851 ","9,916 ","14,202 ","12,931 ","7,990 ","140,526 ",,,,,,,,
,"十分瀑布
Shihfen Waterfall",新北市 New Taipei City,"23,247 ","43,355 ","36,621 ","32,884 ","35,779 ","46,781 ","44,865 ","43,161 ","35,779 ","38,189 ","41,037 ","35,128 ","456,826 ",,,,,,,,
,"小人國主題樂園
Window on China Theme Park",桃園縣 Taoyuan County,"36,432 ","109,527 ","48,431 ","43,297 ","42,745 ","44,037 ","143,894 ","143,971 ","34,161 ","33,394 ","39,999 ","23,082 ","742,970 ",,,,,,,,
,"味全埔心牧場 
Wei Chuan Pushin Ranch",桃園縣 Taoyuan County,"14,397 ","26,284 ","25,768 ","24,526 ","39,351 ","20,330 ","16,591 ","16,936 ","28,672 ","35,220 ","37,540 ","14,268 ","299,883 ",,,,,,,,
,"六福村主題遊樂園 
Leofoo Village Theme Park",新竹縣 Hsinchu County,"49,526 ","107,153 ","74,688 ","98,045 ","62,962 ","88,898 ","112,994 ","163,401 ","73,664 ","76,432 ","108,090 ","67,945 ","1,083,798 ",,,,,,,,
,"小叮噹科學遊樂園
Little Ding-Dong Science Park",新竹縣 Hsinchu County,"10,214 ","12,159 ","19,173 ","14,395 ","19,331 ","11,196 ","68,616 ","88,401 ","16,841 ","20,701 ","22,203 ","7,796 ","311,026 ",,,,,,,,
,"萬瑞森林樂園
Wanjui Forest Recreational Area",新竹縣 Hsinchu County,504 ,984 ,"1,457 ","1,283 ","3,041 ","1,713 ","1,058 ","2,028 ","3,893 ","8,363 ","6,982 ","2,628 ","33,934 ",,,,,,,,
,"綠世界生態休閒農場
Green World",新竹縣 Hsinchu County,"20,800 ","82,000 ","38,500 ","39,500 ","34,100 ","34,800 ","34,200 ","35,500 ","22,000 ","47,000 ","40,000 ","21,000 ","449,400 ",,,,,,,,
,"南園清心園林休閒農場
Garden Nan",新竹縣 Hsinchu County,"8,511 ","9,562 ","8,437 ","8,878 ","8,613 ","8,832 ","8,132 ","8,873 ","8,559 ","9,116 ","9,666 ","9,012 ","106,191 ",,,,,,,,
,"香格里拉樂園
Shangrila Paradise",苗栗縣 Miaoli County,"8,227 ","23,992 ","14,415 ","50,401 ","16,794 ","65,681 ","14,230 ","13,622 ","21,588 ","25,718 ","21,241 ","12,770 ","288,679 ",,,,,,,,
,"西湖渡假村
West Lake Resortopia",苗栗縣 Miaoli County,"19,096 ","29,558 ","26,080 ","43,602 ","45,440 ","27,333 ","28,935 ","51,640 ","30,647 ","45,429 ","49,828 ","26,324 ","423,912 ",,,,,,,,
,"飛牛牧場 
Flying Cow Ranch",苗栗縣 Miaoli County,"16,013 ","46,792 ","24,550 ","20,384 ","19,092 ","20,326 ","21,533 ","21,314 ","20,743 ","28,739 ","31,840 ","20,298 ","291,624 ",,,,,,,,
,"麗寶樂園 
LihPaoLand",臺中市 Taichung City,"24,454 ","89,578 ","27,831 ","45,723 ","50,051 ","98,525 ","256,676 ","280,846 ","94,919 ","51,250 ","29,090 ","32,357 ","1,081,300 ",,,,,,,,
,"東勢林場遊樂區
Dongshi Forest Garden",臺中市 Taichung City,"20,577 ","45,588 ","14,929 ","35,212 ","19,851 ","9,789 ","12,966 ","11,810 ","12,526 ","15,736 ","16,586 ","15,003 ","230,573 ",,,,,,,,
,"杉林溪森林遊樂區 
Sun Link Sea Forest Recreation Area",南投縣 Nantou County,"23,075 ","57,036 ","82,845 ","55,842 ","26,713 ","32,979 ","44,695 ","41,088 ","24,845 ","32,194 ","29,852 ","25,937 ","477,101 ",,,,,,,,
民營遊憩區,"九族文化村◎
Formosan Aboriginal Culture Village",南投縣 Nantou County,"61,431 ","248,414 ","125,732 ","73,767 ","46,875 ","73,213 ","67,034 ","77,647 ","47,688 ","68,049 ","65,689 ","66,204 ","1,021,743 ",,,,,,,,
,"泰雅渡假村 
Atayal Village",南投縣 Nantou County,"19,467 ","31,137 ","24,830 ","23,688 ","20,703 ","12,841 ","21,590 ","13,082 ","21,486 ","24,061 ","22,691 ","16,251 ","251,827 ",,,,,,,,
,臺灣民俗村                                                                                                  Taiwan Folk Village,彰化縣 Changhua County,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
,劍湖山世界                                                                                                 JanFuSun Fancyworld,雲林縣 Yunlin County,"47,760 ","162,242 ","91,001 ","61,247 ","48,383 ","103,423 ","124,138 ","143,109 ","71,888 ","76,068 ","122,867 ","78,109 ","1,130,235 ",,,,,,,,
Amusememt / Theme Sites,"走馬瀨農場◎ 
Tsou-Ma-Lai Farm",臺南市 Tainan City,"186,603 ","316,622 ","37,150 ","44,095 ","28,510 ","33,532 ","45,758 ","28,574 ","22,843 ","62,765 ","37,123 ","31,751 ","875,326 ",,,,,,,,
,"頑皮世界
Leopard King Safari Zoo",臺南市 Tainan City,"10,371 ","59,031 ","20,130 ","16,174 ","8,831 ","8,118 ","13,823 ","9,868 ","6,528 ","12,785 ","13,422 ","10,976 ","190,057 ",,,,,,,,
,"陽明高雄海洋探索館 
YM Museum of Marine Exploration Kaohsiung",高雄市 Kaohsiung City,"4,733 ","11,475 ","8,234 ","8,256 ","4,555 ","4,324 ","6,648 ","8,784 ","6,487 ","11,033 ","7,499 ","3,027 ","85,055 ",,,,,,,,
,"8大森林博覽樂園
Bada Forest Theme Park",屏東縣 Pingtung County,"9,677 ","38,706 ","24,692 ","19,806 ","8,084 ","9,279 ","16,997 ","13,609 ","10,057 ","12,893 ","14,679 ","15,465 ","193,944 ",,,,,,,,
,"大路觀主題樂園
Dalukuanlamd",屏東縣 Pingtung County,807 ,"3,104 ",771 ,"1,481 ","1,333 ",0 ,0 ,506 ,485 ,"1,093 ","1,546 ",307 ,"11,433 ",,,,,,,,
,"小墾丁渡假村
Kentington Resort",屏東縣 Pingtung County,"5,818 ","13,803 ","9,558 ","17,549 ","14,910 ","18,345 ","22,081 ","16,255 ","19,286 ","18,589 ","15,907 ","13,105 ","185,206 ",,,,,,,,
,"花蓮海洋公園◎
Hualien Ocean Park",花蓮縣 Hualien County,"16,831 ","64,915 ","24,570 ","38,110 ","27,150 ","47,930 ","85,404 ","84,076 ","36,674 ","48,210 ","35,710 ","25,586 ","535,166 ",,,,,,,,
,"原生應用植物園◎
Yuan Sen Applied Botanical Garden",臺東縣 Taitung County,"11,785 ","18,384 ","15,120 ","20,381 ","16,598 ","19,275 ","28,718 ","29,791 ","14,617 ","19,462 ","20,419 ","15,517 ","230,067 ",,,,,,,,
,"布農部落◎
Bunun Leisure Farming",臺東縣 Taitung County,"6,205 ","12,802 ","6,567 ","7,711 ","7,065 ","8,108 ","14,070 ","12,426 ","5,431 ","8,666 ","9,110 ","7,245 ","105,406 ",,,,,,,,
,"民俗文化村◎
Shanhou  Folk Cultural Village",金門縣 Kinmen County ,"4,591 ","8,231 ","6,339 ","10,168 ","14,312 ","14,476 ","16,144 ","14,342 ","13,133 ","15,203 ","12,738 ","7,359 ","137,036 ",,,,,,,,
寺廟,"清水祖師廟
Cingshui Zushih Temple",新北市 New Taipei City,904 ,"5,000 ",925 ,"1,940 ","1,238 ",999 ,"1,716 ",984 ,"1,262 ","1,953 ","1,390 ","1,376 ","19,687 ",,,,,,,,
,"法鼓山世界佛教教育園
Dharma Drum Mountain World Center for Buddhist Education",新北市 New Taipei City,"21,550 ","72,969 ","29,604 ","27,161 ","25,933 ","24,785 ","22,322 ","22,820 ","25,981 ","26,298 ","29,494 ","36,668 ","365,585 ",,,,,,,,
,"萬和宮
Wan-He Temple",臺中市 Taichung City,"26,900 ","57,990 ","24,100 ","28,700 ","30,530 ","25,800 ","25,330 ","56,750 ","38,390 ","24,550 ","29,170 ","26,530 ","394,740 ",,,,,,,,
,"大甲鎮瀾宮
Da Jia Jenn Lann Temple",臺中市 Taichung City,"93,400 ","1,860,350 ","186,950 ","393,610 ","159,500 ","62,150 ","83,900 ","61,250 ","80,150 ","70,350 ","69,800 ","73,750 ","3,195,160 ",,,,,,,,
,"中臺禪寺 
Chung-Tai Buddhist Temple",南投縣 Nantou County,"238,499 ","261,143 ","306,781 ","362,378 ","287,713 ","244,992 ","251,165 ","291,357 ","258,455 ","204,898 ","256,111 ","266,784 ","3,230,276 ",,,,,,,,
Temples,"北港朝天宮
BeiGang ChaoTian Temple",雲林縣 Yunlin County,"189,500 ","2,562,800 ","1,312,000 ","629,500 ","169,600 ","135,000 ","163,200 ","138,400 ","276,300 ","173,200 ","186,400 ","226,500 ","6,162,400 ",,,,,,,,
,"新港奉天宮
Hsin Kang Feng Tian Temple",嘉義縣 Chiayi County,"300,000 ","350,000 ","390,000 ","480,000 ","450,000 ","440,000 ","450,000 ","120,000 ","150,000 ","120,000 ","110,000 ","100,000 ","3,460,000 ",,,,,,,,
,"南鯤鯓代天府                                                                                            Daitianfu Temple, Nankunshen",臺南市 Tainan City,"889,650 ","818,600 ","750,550 ","585,500 ","955,000 ","695,500 ","893,500 ","495,000 ","798,000 ","1,000,000 ","880,350 ","610,000 ","9,371,650 ",,,,,,,,
,"麻豆代天府                                                                                               Daitianfu Temple, Madou",臺南市 Tainan City,"364,800 ","477,266 ","405,676 ","484,708 ","515,002 ","386,252 ","412,001 ","267,800 ","329,600 ","391,400 ","280,160 ","266,152 ","4,580,817 ",,,,,,,,
,佛光山                                                                                                       Foguangshan,高雄市 Kaohsiung City,"195,551 ","4,163,386 ","338,559 ","479,927 ","376,044 ","345,400 ","408,519 ","407,277 ","355,442 ","236,979 ","398,807 ","521,475 ","8,227,366 ",,,,,,,,
古蹟、歷史建物,"北投溫泉博物館 
Beitou Hot Spring Museum",臺北市 Taipei City,"43,794 ","26,273 ","40,520 ","30,264 ","32,084 ","34,153 ","33,724 ","42,358 ","53,084 ","47,226 ","55,241 ","50,133 ","488,854 ",,,,,,,,
,龍山寺                                                                                                              Lung Shan Temple,臺北市 Taipei City,"238,678 ","375,201 ","240,643 ","192,092 ","200,254 ","202,456 ","214,973 ","173,591 ","207,105 ","212,081 ","204,497 ","200,624 ","2,662,195 ",,,,,,,,
,"台北故事館
Taipei Story House",臺北市 Taipei City,"8,074 ","9,127 ","19,309 ","9,490 ","9,093 ","9,061 ","8,906 ","8,356 ","9,365 ","11,098 ","11,262 ","10,300 ","123,441 ",,,,,,,,
,"臺北市孔廟 
Taipei Confucius Temple",臺北市 Taipei City,"43,646 ","74,508 ","43,205 ","38,858 ","40,862 ","34,217 ","36,926 ","33,821 ","34,725 ","32,568 ","33,459 ","32,656 ","479,451 ",,,,,,,,
,"淡水紅毛城 
Fort San Domingo, Tamsui",新北市 New Taipei City,"59,960 ","85,209 ","82,249 ","79,686 ","79,870 ","77,064 ","72,748 ","68,948 ","67,956 ","85,502 ","88,183 ","72,624 ","919,999 ",,,,,,,,
,"林本源園邸( 林家花園) 
The Lin Family Mans",新北市 New Taipei City,"27,012 ","60,463 ","34,359 ","27,216 ","16,267 ","24,845 ","24,819 ","28,884 ","23,076 ","35,449 ","39,533 ","28,331 ","370,254 ",,,,,,,,
,"滬尾砲臺
Huwei Fort",新北市 New Taipei City,"11,445 ","18,034 ","18,147 ","14,474 ","16,915 ","14,018 ","11,713 ","13,936 ","12,801 ","14,154 ","15,603 ","13,391 ","174,631 ",,,,,,,,
Historic Sites,"前清淡水關稅務司官邸
Tamsui Customs Officer's Residence",新北市 New Taipei City,"21,620 ","35,415 ","26,292 ","21,743 ","20,275 ","19,696 ","18,580 ","17,507 ","20,306 ","25,842 ","25,115 ","21,870 ","274,261 ",,,,,,,,
,"三峽鎮歷史文物館
Sansia Historical Relic Hall",新北市 New Taipei City,"3,936 ","8,700 ","4,536 ","4,664 ","3,215 ","3,212 ","7,804 ","4,726 ","3,092 ","4,472 ","5,127 ","2,564 ","56,048 ",,,,,,,,
,"北埔遊憩區
Beipu Scenic Area",新竹縣 Hsinchu County,"39,500 ","45,510 ","33,150 ","34,100 ","36,430 ","27,560 ","27,040 ","32,760 ","32,760 ","23,855 ","22,833 ","22,130 ","377,628 ",,,,,,,,
,"鹿港龍山寺
Longshan Temple, Lugang",彰化縣 Changhua County,"47,335 ","514,700 ","66,435 ","42,430 ","42,245 ","45,000 ","70,000 ","23,456 ","46,010 ","56,665 ","44,715 ","45,816 ","1,044,807 ",,,,,,,,
,"彰化孔子廟 
Confucius Temple, Chunghua",彰化縣 Changhua County,"3,827 ","2,643 ","3,496 ","4,671 ","1,784 ","2,144 ","15,411 ","1,159 ","2,776 ","1,959 ","1,207 ","4,593 ","45,670 ",,,,,,,,
,"延平郡王祠
Koxinga Shrine",臺南市 Tainan City,"22,253 ","25,181 ","26,046 ","26,271 ","25,800 ","17,337 ","19,101 ","21,575 ","20,599 ","17,704 ","18,690 ","16,848 ","257,405 ",,,,,,,,
,"赤嵌樓
Fort Provintia",臺南市 Tainan City,"70,441 ","127,263 ","85,455 ","89,519 ","74,018 ","71,563 ","88,178 ","91,090 ","77,567 ","71,580 ","80,760 ","74,768 ","1,002,202 ",,,,,,,,
,"臺南孔子廟
Confucius Temple, Tainan",臺南市 Tainan City,"18,411 ","36,688 ","17,157 ","18,743 ","14,043 ","16,778 ","21,931 ","21,214 ","16,046 ","18,954 ","20,396 ","27,775 ","248,136 ",,,,,,,,
,"祀典武廟
War God Temple",臺南市 Tainan City,"49,309 ","108,067 ","59,423 ","63,343 ","50,477 ","49,831 ","59,154 ","61,884 ","55,110 ","49,517 ","55,669 ","51,331 ","713,115 ",,,,,,,,
,"五妃廟 
Five Concubines Temple",臺南市 Tainan City,"3,769 ","8,143 ","4,180 ","4,500 ","4,259 ","5,962 ","5,634 ","4,280 ","4,786 ","8,680 ","5,330 ","5,805 ","65,328 ",,,,,,,,
,"大天后宮
Great Empress of Heaven Temple",臺南市 Tainan City,"48,219 ","101,705 ","50,877 ","54,391 ","43,076 ","42,675 ","50,336 ","52,775 ","47,354 ","42,359 ","47,592 ","43,855 ","625,214 ",,,,,,,,
,"安平小鎮
Anping Recreation Area",臺南市 Tainan City,"136,291 ","266,869 ","146,678 ","172,611 ","130,939 ","139,596 ","164,883 ","166,648 ","134,942 ","146,752 ","162,337 ","153,852 ","1,922,398 ",,,,,,,,
,"基隆嶼
Keelung Islet",基隆市 Keelung City,46 ,375 ,"1,273 ","2,001 ","3,465 ","3,167 ","1,518 ",794 ,961 ,"1,366 ",217 ,82 ,"15,265 ",,,,,,,,
其他,"八里左岸公園
Bali Zou-an",新北市 New Taipei City,"162,000 ","340,000 ","218,000 ","224,000 ","228,000 ","219,000 ","241,000 ","244,000 ","217,000 ","238,000 ","240,000 ","174,000 ","2,745,000 ",,,,,,,,
,"淡水金色水岸
Golden Coast",新北市 New Taipei City,"210,000 ","360,000 ","241,000 ","236,000 ","239,000 ","238,000 ","250,000 ","252,000 ","234,000 ","246,000 ","249,000 ","198,000 ","2,953,000 ",,,,,,,,
,"三峽老街
Sansia Old Street",新北市 New Taipei City,"192,000 ","192,000 ","161,000 ","153,000 ","115,000 ","117,000 ","129,000 ","142,000 ","160,000 ","172,000 ","176,000 ","159,000 ","1,868,000 ",,,,,,,,
,"鶯歌老街
Yingge Historic Street",新北市 New Taipei City,"53,697 ","69,906 ","42,357 ","68,997 ","52,737 ","56,451 ","52,206 ","53,013 ","47,388 ","48,168 ","48,012 ","52,701 ","645,633 ",,,,,,,,
,"大湖草莓文化館
Dahu Strawberry Culture Museum",苗栗縣 Miaoli County,"80,000 ","68,000 ","92,000 ","91,400 ","97,400 ","69,400 ","49,800 ","39,000 ","60,200 ","71,600 ","84,600 ","101,200 ","904,600 ",,,,,,,,
,"客家大院
Hakka House",苗栗縣 Miaoli County,"40,850 ","83,080 ","105,868 ","241,220 ","115,714 ","113,472 ","95,128 ","82,400 ","38,166 ","78,363 ","78,363 ","64,182 ","1,136,806 ",,,,,,,,
,"田尾公路花園 
Tienwei Highway Garden",彰化縣 Changhua County,"200,000 ","1,080,000 ","95,000 ","70,000 ","60,000 ","60,000 ","50,000 ","80,000 ","90,000 ","92,000 ","120,000 ","130,000 ","2,127,000 ",,,,,,,,
,"溪州公園 
Sijhou Park",彰化縣 Changhua County,"14,711 ","423,566 ","37,677 ","12,085 ","21,637 ","16,212 ","11,159 ","25,037 ","26,082 ","18,344 ","23,375 ","17,646 ","647,531 ",,,,,,,,
Others,"臺灣玻璃館
Taiwan Glass Gallery",彰化縣 Changhua County,"62,962 ","211,473 ","100,958 ","120,780 ","109,595 ","109,954 ","98,708 ","101,756 ","104,060 ","118,908 ","103,032 ","83,464 ","1,325,650 ",,,,,,,,
,"臺塑六輕阿媽公園
No. 6 Cracker Ama Park",雲林縣 Yunlin County,308 ,130 ,329 ,659 ,842 ,905 ,750 ,566 ,847 ,775 ,"1,525 ",826 ,"8,462 ",,,,,,,,
,草嶺                                                                                                                 Tsaoling,雲林縣 Yunlin County,"12,480 ","24,640 ","36,480 ","56,400 ","24,480 ","17,440 ","13,920 ","17,000 ","15,440 ","32,240 ","16,240 ","10,240 ","277,000 ",,,,,,,,
,"駁二藝術特區
Pier-2 Art Center",高雄市 Kaohsiung City,"280,395 ","445,694 ","206,970 ","136,870 ","244,286 ","97,362 ","173,282 ","488,920 ","276,655 ","332,399 ","269,549 ","285,550 ","3,237,932 ",,,,,,,,
,"愛河
Love River",高雄市 Kaohsiung City,"32,686 ","67,389 ","45,518 ","45,347 ","35,245 ","33,783 ","46,483 ","48,303 ","44,583 ","61,527 ","32,686 ","35,670 ","529,220 ",,,,,,,,
,"金針山休閒農業區
Mt. Jinjhen Recreation Farming Area",臺東縣 Taitung County,"11,089 ","10,600 ","10,350 ","3,600 ","5,800 ","6,500 ","8,200 ","9,000 ","7,000 ","3,500 ","3,500 ","5,500 ","84,639 ",,,,,,,,
,"蘭嶼
Lanyu (Orchid Island)",臺東縣 Taitung County,"2,193 ","7,259 ","6,888 ","12,125 ","8,651 ","18,411 ","32,438 ","24,132 ","17,052 ","9,637 ","4,661 ","4,661 ","148,108 ",,,,,,,,
